,player,position,Fantasy Points,FP deviation
12,Darrius Heyward-Bey,WR,1.9975,0.623825563225
133,Ty Montgomery,WR,1.795,1.12310581277
82,Cordarrelle Patterson,WR,1.666,2.78975446948
25,Greg Salas,WR,1.62,1.45384547551
47,Bryan Walters,WR,1.53,1.96528199842
110,DeAnthony Thomas,WR,1.4975,1.11368382707
167,Aaron Burbridge,WR,1.44,1.08280499937
26,Cecil Shorts,WR,1.35,1.62944775921
176,Jakeem Grant,WR,1.20666666667,1.90266479794
88,Nick Williams,WR,1.16,
95,Jaron Brown,WR,1.1575,1.02568269947
72,Josh Bellamy,WR,1.105,0.954594154602
172,Ricardo Louis,WR,1.045,1.01395266162
150,Lucky Whitehead,WR,0.885,0.44192759588
130,Keith Mumphery,WR,0.8525,0.55781568043
183,Jalin Marshall,WR,0.846666666667,1.11500373691
173,Charone Peake,WR,0.815,1.15258405333
174,Demarcus Robinson,WR,0.815,0.120208152802
111,Devin Street,WR,0.8,
127,Taylor Gabriel,WR,0.76,0.815189139607
157,Chris Moore,WR,0.655,0.585690475707
71,Griff Whalen,WR,0.56,
169,Trevor Davis,WR,0.483333333333,0.475219247646
149,Cameron Meredith,WR,0.4225,0.56594316558
168,Jordan Payton,WR,0.406666666667,0.366924152017
0,Andre Caldwell,WR,0.4,0.692820323028
177,Tyreek Hill,WR,0.4,0.357631094845
67,Deonte Thompson,WR,0.39,0.212837966538
93,Rashad Ross,WR,0.3875,0.345482754032
182,Roger Lewis,WR,0.375,0.176776695297
73,Brenton Bersin,WR,0.3675,0.37871493237
94,Russell Shepard,WR,0.335,0.0994987437107
184,Nelson Spruce,WR,0.326666666667,0.548573908725
39,Eric Weems,WR,0.31,0.440529983845
163,Cody Core,WR,0.223333333333,0.230289672659
181,Alex Erickson,WR,0.1325,0.103722385883
109,Walt Powell,WR,0.13,0.253640165063
151,Chris Harper,WR,0.0,
49,Jeremy Ross,WR,0.0,
46,Vincent Brown,WR,0.0,
41,James Jones,WR,0.0,
175,Anthony Dable,WR,0.0,
32,Dwayne Bowe,WR,0.0,
62,Nick Toon,WR,0.0,
17,Riley Cooper,WR,0.0,
14,Brandon Tate,WR,0.0,0.0
180,Devon Cajuste,WR,0.0,
8,Matt Slater,WR,0.0,
2,Jerome Simpson,WR,0.0,
59,Keshawn Martin,WR,0.0,
66,Rueben Randle,WR,0.0,
148,Evan Spencer,WR,0.0,
68,Chris Givens,WR,0.0,
74,Brittan Golden,WR,0.0,
77,Aaron Dobson,WR,0.0,
81,Marlon Brown,WR,0.0,
116,T.J. Jones,WR,0.0,
118,Jonathan Krause,WR,0.0,
122,Kain Colter,WR,0.0,
124,Corey Washington,WR,0.0,
135,Vince Mayle,WR,0.0,
145,Geremy Davis,WR,0.0,
147,DeAndrew White,WR,0.0,
155,Darius Jennings,WR,0.0,
92,Frankie Hammond,WR,0.0,
