Player,Team,Games Played,Receptions,Receiving Yards,Yards / Reception,Receiving Yards / Game,Yards after Catch,Receiving Touchdowns,Longest Reception,Receptions of 25+ Yards,100 Yard Games,Targets,Drops,% Caught,Fumbles,Fumbles Lost,First Downs Receiving,First Down %
"Escobar, Gavin",DAL,16,9,105,11.7,6.6,22,4,26,1,0,13,1,69.2%,0,0,7,77.8%
"Carrier, Derek",SF,11,9,105,11.7,9.5,42,0,23,0,0,14,0,64.3%,1,0,4,44.4%
"Weems, Eric",ATL,16,10,102,10.2,6.4,31,2,40,1,0,11,0,90.9%,0,0,5,50.0%
"Norwood, Kevin",SEA,9,9,102,11.3,11.3,43,0,31,1,0,10,0,90.0%,0,0,5,55.6%
"Campanaro, Michael",BAL,4,7,102,14.6,25.5,34,1,19,0,0,9,0,77.8%,0,0,5,71.4%
"Huff, Josh",PHI,12,8,98,12.3,8.2,80,0,44,1,0,18,3,44.4%,1,1,4,50.0%
"Brown, Justin",PIT,8,12,94,7.8,11.8,29,0,18,0,0,21,1,57.1%,1,1,4,33.3%
"Tolbert, Mike",CAR,8,12,93,7.8,11.6,102,0,18,0,0,17,3,70.6%,0,0,4,33.3%
"Jenkins, A.J.",KC,9,9,93,10.3,10.3,48,0,27,1,0,15,0,60.0%,0,0,5,55.6%
"Powell, Bilal",NYJ,15,11,92,8.4,6.1,101,0,20,0,0,16,0,68.8%,0,0,5,45.5%
"Morgan, Joseph",NO,5,4,92,23.0,18.4,23,0,62,1,0,10,1,40.0%,0,0,3,75.0%
"Griffin, Ryan",HOU,16,10,91,9.1,5.7,38,1,25,1,0,16,1,62.5%,0,0,5,50.0%
"Wright, James",CIN,11,5,91,18.2,8.3,37,0,30,1,0,16,1,31.3%,0,0,5,100.0%
"Brown, Mike",JAX,5,7,88,12.6,17.6,22,0,17,0,0,15,3,46.7%,1,1,5,71.4%
"Hillis, Peyton",NYG,9,10,87,8.7,9.7,101,0,26,1,0,16,1,62.5%,0,0,2,20.0%
"Graham, T.J.",NYJ,12,3,87,29.0,7.3,22,1,67,1,0,8,0,37.5%,0,0,2,66.7%
"Crowell, Isaiah",CLE,16,9,87,9.7,5.4,71,0,19,0,0,14,0,64.3%,0,0,4,44.4%
"Grimes, Jonathan",HOU,16,6,86,14.3,5.4,74,0,31,1,0,8,0,75.0%,0,0,4,66.7%
"Hewitt, Ryan",CIN,16,10,86,8.6,5.4,60,0,19,0,0,15,1,66.7%,0,0,3,30.0%
"Sudfeld, Zach",NYJ,16,5,85,17.0,5.3,61,0,38,1,0,7,0,71.4%,0,0,3,60.0%
"Streater, Rod",OAK,3,9,84,9.3,28.0,29,1,17,0,0,13,1,69.2%,0,0,5,55.6%
"Tyms, Brian",NE,11,5,82,16.4,7.5,4,1,43,1,0,11,0,45.5%,0,0,3,60.0%
"Young, Darrel",WSH,16,11,81,7.4,5.1,53,2,20,0,0,14,0,78.6%,0,0,5,45.5%
"Ta'ufo'ou, Will",JAX,16,7,81,11.6,5.1,71,0,26,1,0,8,0,87.5%,0,0,4,57.1%
"Taylor, Stepfan",ARZ,14,11,79,7.2,5.6,70,3,18,0,0,15,0,73.3%,0,0,5,45.5%
"Paulsen, Logan",WSH,16,13,78,6.0,4.9,52,1,16,0,0,16,2,81.3%,1,1,2,15.4%
"Owusu, Chris",[],8,6,78,13.0,9.8,3,1,36,1,0,6,0,100.0%,0,0,4,66.7%
"Martin, Keshawn",HOU,16,6,78,13.0,4.9,57,0,32,1,0,12,0,50.0%,0,0,3,50.0%
"Miller, Zach",SEA,3,6,76,12.7,25.3,37,0,24,0,0,7,0,85.7%,0,0,3,50.0%
"Green, Virgil",DEN,13,6,74,12.3,5.7,45,1,38,1,0,6,0,100.0%,0,0,5,83.3%
"Fauria, Joseph",DET,7,6,74,12.3,10.6,33,1,26,1,0,12,1,50.0%,0,0,4,66.7%
"Jones-Drew, Maurice",OAK,12,11,71,6.5,5.9,67,0,12,0,0,16,1,68.8%,0,0,3,27.3%
"Sherman, Anthony",KC,16,10,71,7.1,4.4,68,1,24,0,0,14,1,71.4%,0,0,4,40.0%
"Fells, Darren",ARZ,10,5,71,14.2,7.1,20,0,24,0,0,11,1,45.5%,0,0,4,80.0%
"Morgan, Josh",CHI,14,10,70,7.0,5.0,50,1,13,0,0,19,1,52.6%,0,0,4,40.0%
"Stocker, Luke",TB,13,7,41,5.9,3.2,21,0,11,0,0,11,0,63.6%,0,0,2,28.6%
"Johnson, Will",PIT,16,6,41,6.8,2.6,34,0,18,0,0,10,1,60.0%,0,0,3,50.0%
"Jernigan, Jerrel",NYG,2,6,40,6.7,20.0,9,0,11,0,0,9,1,66.7%,0,0,2,33.3%
"Collins, Jed",DET,16,5,39,7.8,2.4,40,1,24,0,0,6,0,83.3%,0,0,2,40.0%
"Dobson, Aaron",NE,4,3,38,12.7,9.5,22,0,16,0,0,5,0,60.0%,0,0,2,66.7%
"Niklas, Troy",ARZ,7,3,38,12.7,5.4,18,0,17,0,0,3,0,100.0%,0,0,2,66.7%
"Eifert, Tyler",CIN,1,3,37,12.3,37.0,10,0,20,0,0,3,0,100.0%,0,0,2,66.7%
"Conner, John",NYJ,12,2,35,17.5,2.9,27,1,26,1,0,3,0,66.7%,0,0,2,100.0%
"Leonhardt, Brian",OAK,12,6,35,5.8,2.9,8,1,12,0,0,8,0,75.0%,0,0,2,33.3%
"Woodhead, Danny",SD,3,5,34,6.8,11.3,34,0,14,0,0,6,1,83.3%,0,0,4,80.0%
"Heyward-Bey, Darrius",PIT,16,3,33,11.0,2.1,1,0,17,0,0,5,1,60.0%,1,1,1,33.3%
"Reaves, Darrin",CAR,6,5,31,6.2,5.2,42,0,16,0,0,8,0,62.5%,0,0,1,20.0%
"Posey, DeVier",HOU,1,1,30,30.0,30.0,4,0,30,1,0,1,0,100.0%,0,0,1,100.0%
"Bohanon, Tommy",NYJ,4,2,30,15.0,7.5,31,0,16,0,0,2,0,100.0%,0,0,2,100.0%
"McDonald, Vance",SF,8,2,30,15.0,3.8,26,0,21,0,0,8,2,25.0%,1,1,0,0.0%
"Supernaw, Phillip",[],8,3,30,10.0,3.8,23,0,29,1,0,3,0,100.0%,0,0,1,33.3%
"Coleman, Derrick",SEA,5,2,29,14.5,5.8,24,1,15,0,0,2,0,100.0%,0,0,2,100.0%
"Grice, Marion",ARZ,10,7,29,4.1,2.9,43,0,15,0,0,11,0,63.6%,0,0,3,42.9%
"Battle, Jackie",TEN,16,5,28,5.6,1.8,24,0,12,0,0,5,0,100.0%,0,0,2,40.0%
"Fiedorowicz, C.J.",HOU,15,4,28,7.0,1.9,10,1,9,0,0,7,0,57.1%,0,0,1,25.0%
"Peerman, Cedric",CIN,16,3,27,9.0,1.7,26,0,17,0,0,5,0,60.0%,0,0,1,33.3%
"Lorig, Erik",NO,10,9,27,3.0,2.7,37,1,14,0,0,10,1,90.0%,0,0,2,22.2%
"Thompson, Chris",WSH,2,6,27,4.5,13.5,37,1,9,0,0,7,0,85.7%,0,0,2,33.3%
"Toussaint, Fitzgerald",BAL,4,3,27,9.0,6.8,31,0,15,0,0,6,0,50.0%,0,0,1,33.3%
"Stevens, Craig",TEN,5,2,26,13.0,5.2,17,0,20,0,0,2,0,100.0%,0,0,1,50.0%
"Broyles, Ryan",DET,5,2,25,12.5,5.0,9,0,21,0,0,5,0,40.0%,0,0,2,100.0%
"Blake, Antwon",PIT,16,1,25,25.0,1.6,13,0,25,1,0,1,0,100.0%,0,0,1,100.0%
"Thompson, Juwan",DEN,15,4,25,6.3,1.7,20,0,14,0,0,7,1,57.1%,0,0,0,0.0%
"Thompson, Taylor",TEN,3,2,24,12.0,8.0,11,0,13,0,0,4,1,50.0%,0,0,2,100.0%
"Prosch, Jay",HOU,16,1,24,24.0,1.5,18,0,24,0,0,4,1,25.0%,0,0,1,100.0%
"Kuhn, John",GB,16,4,23,5.8,1.4,26,0,9,0,0,4,0,100.0%,0,0,0,0.0%
"Boykin, Jarrett",GB,13,3,23,7.7,1.8,28,0,11,0,0,12,3,25.0%,0,0,1,33.3%
"Randle, Joseph",DAL,16,4,23,5.8,1.4,32,0,14,0,0,5,0,80.0%,0,0,1,25.0%
"Whalen, Griff",IND,10,2,23,11.5,2.3,1,0,18,0,0,3,0,66.7%,0,0,2,100.0%
"Latimer, Cody",DEN,8,2,23,11.5,2.9,15,0,14,0,0,4,0,50.0%,0,0,1,50.0%
"Archer, Dri",PIT,12,7,23,3.3,1.9,27,0,15,0,0,10,1,70.0%,0,0,0,0.0%
"White, James",NE,3,5,23,4.6,7.7,26,0,11,0,0,5,0,100.0%,0,0,1,20.0%
"Brock, Kevin",CIN,14,5,21,4.2,1.5,11,0,10,0,0,6,1,83.3%,0,0,2,40.0%
"Hoskins, Gator",MIA,11,3,21,7.0,1.9,14,0,14,0,0,4,0,75.0%,0,0,2,66.7%
"Ridley, Stevan",NE,6,4,20,5.0,3.3,28,0,7,0,0,5,0,80.0%,0,0,0,0.0%
"Harris, Demetrius",KC,8,3,20,6.7,2.5,5,0,10,0,0,5,0,60.0%,0,0,1,33.3%
"Peterson, Adrian",MIN,1,2,18,9.0,18.0,21,0,9,0,0,3,0,66.7%,0,0,1,50.0%
"Dalton, Andy",CIN,16,1,18,18.0,1.1,18,1,18,0,0,1,0,100.0%,0,0,1,100.0%
"Olawale, Jamize",OAK,16,5,18,3.6,1.1,9,2,7,0,0,6,0,83.3%,0,0,2,40.0%
"Street, Devin",DAL,16,2,18,9.0,1.1,6,0,9,0,0,7,0,28.6%,0,0,1,50.0%
"Watts, Trey",STL,14,3,18,6.0,1.3,17,0,11,0,0,4,0,75.0%,0,0,2,66.7%
"Wilson, Russell",SEA,16,1,17,17.0,1.1,3,0,17,0,0,1,0,100.0%,0,0,1,100.0%
"Brate, Cameron",TB,5,1,17,17.0,3.4,2,0,17,0,0,1,0,100.0%,0,0,1,100.0%
"Webb, Joe",CAR,7,1,16,16.0,2.3,2,0,16,0,0,3,0,33.3%,0,0,1,100.0%
"Polk, Chris",PHI,14,2,16,8.0,1.1,24,0,15,0,0,3,0,66.7%,0,0,1,50.0%
"Fleener, Coby",IND,16,51,774,15.2,48.4,305,8,73,6,2,92,5,55.4%,0,0,40,78.4%
"Smith, Torrey",BAL,16,49,767,15.7,47.9,178,11,53,7,0,92,6,53.3%,0,0,38,77.6%
"Miller, Heath",PIT,16,66,761,11.5,47.6,349,3,49,5,1,91,5,72.5%,1,1,42,63.6%
"Landry, Jarvis",MIA,16,84,758,9.0,47.4,463,5,25,2,0,112,2,75.0%,1,0,48,57.1%
"Bowe, Dwayne",KC,15,60,754,12.6,50.3,247,0,37,3,0,95,7,63.2%,2,0,42,70.0%
"Garcon, Pierre",WSH,16,68,752,11.1,47.0,349,3,70,3,1,105,0,64.8%,0,0,32,47.1%
"Britt, Kenny",STL,16,48,748,15.6,46.8,173,3,63,9,2,84,2,57.1%,0,0,33,68.8%
"Jennings, Greg",MIN,16,59,742,12.6,46.4,210,6,38,5,0,92,3,64.1%,1,0,40,67.8%
"Marshall, Brandon",CHI,13,61,721,11.8,55.5,240,8,47,4,2,106,4,57.5%,1,1,41,67.2%
"Wright, Kendall",TEN,14,57,715,12.5,51.1,379,6,48,7,1,93,0,61.3%,1,1,33,57.9%
"Witten, Jason",DAL,16,64,703,11.0,43.9,244,5,34,3,0,90,2,71.1%,0,0,48,75.0%
"Ertz, Zach",PHI,16,58,702,12.1,43.9,249,3,35,5,1,89,3,65.2%,1,1,42,72.4%
"Woods, Robert",BUF,16,65,699,10.8,43.7,215,5,37,8,1,104,5,62.5%,1,1,35,53.8%
"Crabtree, Michael",SF,16,68,698,10.3,43.6,270,4,51,6,0,108,7,63.0%,0,0,35,51.5%
"Brown, John",ARZ,16,48,696,14.5,43.5,192,5,75,6,1,103,2,46.6%,0,0,31,64.6%
"Holmes, Andre",OAK,16,47,693,14.7,43.3,205,4,77,7,1,98,6,48.0%,0,0,32,68.1%
"Hurns, Allen",JAX,16,51,677,13.3,42.3,221,6,63,7,2,97,6,52.6%,0,0,26,51.0%
"Jones, James",OAK,16,73,666,9.1,41.6,245,6,42,5,1,112,5,65.2%,3,1,40,54.8%
"Washington, Nate",TEN,16,40,647,16.2,40.4,155,2,80,5,1,72,5,55.6%,0,0,26,65.0%
"Wheaton, Markus",PIT,16,53,644,12.2,40.3,173,2,47,4,0,86,2,61.6%,0,0,33,62.3%
"Cook, Jared",STL,16,52,634,12.2,39.6,272,3,59,5,0,99,5,52.5%,0,0,32,61.5%
"Donnell, Larry",NYG,16,63,623,9.9,38.9,228,6,32,2,0,92,2,68.5%,4,4,36,57.1%
"Williams, Terrance",DAL,16,37,621,16.8,38.8,103,8,51,5,0,65,1,56.9%,0,0,30,81.1%
"Gabriel, Taylor",CLE,16,36,621,17.3,38.8,270,1,70,6,0,72,2,50.0%,0,0,26,72.2%
"Clay, Charles",MIA,14,58,605,10.4,43.2,271,3,41,4,1,84,3,69.0%,0,0,31,53.4%
"Wright, Jarius",MIN,16,42,588,14.0,36.8,335,2,87,6,2,62,4,67.7%,0,0,25,59.5%
"Cotchery, Jerricho",CAR,15,48,580,12.1,38.7,210,1,47,4,0,78,1,61.5%,0,0,29,60.4%
"Cooper, Riley",PHI,16,55,577,10.5,36.1,163,3,50,1,0,95,3,57.9%,1,1,25,45.5%
"Austin, Miles",CLE,12,47,568,12.1,47.3,208,2,31,3,0,72,3,65.3%,0,0,34,72.3%
"Shorts III, Cecil",JAX,13,53,557,10.5,42.8,263,1,53,3,2,110,5,48.2%,1,1,26,49.1%
"Douglas, Harry",ATL,12,51,556,10.9,46.3,247,2,41,2,2,74,1,68.9%,0,0,28,54.9%
"Cooks, Brandin",NO,10,53,550,10.4,55.0,168,3,50,4,0,69,1,76.8%,0,0,25,47.2%
"Bryant, Martavis",PIT,10,26,549,21.1,54.9,197,8,94,6,2,49,3,53.1%,0,0,16,61.5%
"Robinson, Allen",JAX,10,48,548,11.4,54.8,164,2,54,4,0,81,1,59.3%,0,0,26,54.2%
"Kearse, Jermaine",SEA,15,38,537,14.1,35.8,238,1,60,5,0,69,2,55.1%,0,0,21,55.3%
"Rivera, Mychal",OAK,16,58,534,9.2,33.4,186,4,33,4,1,99,5,58.6%,3,1,29,50.0%
"Daniels, Owen",BAL,15,48,527,11.0,35.1,186,4,39,3,0,79,3,60.8%,0,0,32,66.7%
"Paul, Niles",WSH,16,39,507,13.0,31.7,266,1,50,5,0,52,3,75.0%,1,1,20,51.3%
"Hester, Devin",ATL,16,38,504,13.3,31.5,260,2,46,4,0,59,2,64.4%,1,1,21,55.3%
"Jackson, Fred",BUF,14,66,501,7.6,35.8,600,1,34,3,0,90,2,73.3%,3,0,25,37.9%
"Hunter, Justin",TEN,12,28,498,17.8,41.5,188,3,75,5,0,67,4,41.8%,0,0,20,71.4%
"Chandler, Scott",BUF,16,47,497,10.6,31.1,196,3,37,3,1,70,4,67.1%,0,0,28,59.6%
"Thomas, Julius",DEN,13,43,489,11.4,37.6,180,12,35,6,1,62,2,69.4%,1,0,30,69.8%
"Harvin, Percy",[],13,51,483,9.5,37.2,269,1,45,5,2,78,4,65.4%,1,0,23,45.1%
"Helu Jr., Roy",WSH,14,42,477,11.4,34.1,530,2,55,6,0,47,2,89.4%,2,1,16,38.1%
"Johnson, Charles",MIN,12,31,475,15.3,39.6,172,2,56,3,1,59,0,52.5%,1,0,19,61.3%
"Hartline, Brian",MIA,16,39,474,12.2,29.6,146,2,35,3,0,63,4,61.9%,1,0,27,69.2%
"Reed, Jordan",WSH,11,50,465,9.3,42.3,276,0,30,2,1,65,1,76.9%,1,1,23,46.0%
"Welker, Wes",DEN,14,49,464,9.5,33.1,209,2,39,3,0,64,2,76.6%,0,0,24,49.0%
"Gresham, Jermaine",CIN,15,62,460,7.4,30.7,269,5,23,0,0,79,2,78.5%,3,0,24,38.7%
"Fells, Daniel",NYG,16,16,188,11.8,11.8,91,4,27,1,0,20,0,80.0%,1,1,12,75.0%
"Williams, Damien",MIA,16,21,187,8.9,11.7,154,1,32,1,0,27,2,77.8%,0,0,13,61.9%
"Gerhart, Toby",JAX,14,20,186,9.3,13.3,232,0,26,1,0,24,2,83.3%,0,0,10,50.0%
"Turbin, Robert",SEA,16,16,186,11.6,11.6,167,2,34,2,0,20,0,80.0%,0,0,9,56.3%
"Helfet, Cooper",SEA,10,12,185,15.4,18.5,70,2,36,2,0,24,1,50.0%,0,0,9,75.0%
"Juszczyk, Kyle",BAL,16,19,182,9.6,11.4,177,1,33,1,0,27,0,70.4%,2,2,6,31.6%
"Stewart, Jonathan",CAR,13,25,181,7.2,13.9,219,1,22,0,0,31,1,80.6%,0,0,7,28.0%
"Avery, Donnie",KC,6,15,176,11.7,29.3,40,0,27,2,0,26,0,57.7%,1,1,8,53.3%
"Brown, Bryce",BUF,7,16,176,11.0,25.1,184,0,40,1,0,25,1,64.0%,0,0,8,50.0%
"Hill, Josh",NO,16,14,176,12.6,11.0,102,5,37,2,0,20,1,70.0%,0,0,9,64.3%
"Rodgers, Jacquizz",ATL,16,29,173,6.0,10.8,189,1,14,0,0,40,2,72.5%,0,0,9,31.0%
"Herron, Daniel",IND,16,21,173,8.2,10.8,194,0,26,2,0,26,0,80.8%,1,1,7,33.3%
"Salas, Greg",NYJ,10,8,167,20.9,16.7,114,0,51,4,0,23,1,34.8%,0,0,6,75.0%
"Washington, Leon",TEN,16,22,159,7.2,9.9,150,2,25,1,0,31,0,71.0%,0,0,8,36.4%
"Givens, Chris",STL,14,11,159,14.5,11.4,48,1,47,3,0,20,0,55.0%,0,0,5,45.5%
"Inman, Dontrelle",SD,7,12,158,13.2,22.6,17,0,28,1,0,17,1,70.6%,0,0,7,58.3%
"Barnidge, Gary",CLE,13,13,156,12.0,12.0,46,0,28,1,0,25,0,52.0%,0,0,9,69.2%
"Thomas, De'Anthony",KC,12,23,156,6.8,13.0,181,0,30,1,0,31,2,74.2%,0,0,7,30.4%
"McCoy, LeSean",PHI,16,28,155,5.5,9.7,200,0,18,0,0,37,3,75.7%,1,1,10,35.7%
"Morris, Alfred",WSH,16,17,155,9.1,9.7,159,0,26,1,0,26,6,65.4%,0,0,8,47.1%
"Stacy, Zac",STL,13,18,152,8.4,11.7,162,0,17,0,0,23,2,78.3%,0,0,9,50.0%
"Johnson, Chris",NYJ,16,24,151,6.3,9.4,159,1,26,1,0,35,2,68.6%,0,0,9,37.5%
"Bersin, Brenton",CAR,15,13,151,11.6,10.1,39,1,29,1,0,20,1,65.0%,0,0,11,84.6%
"Jackson, Steven",ATL,15,20,148,7.4,9.9,126,0,17,0,0,27,0,74.1%,0,0,6,30.0%
"Mason, Tre",STL,12,16,148,9.3,12.3,165,1,35,2,0,26,2,61.5%,0,0,8,50.0%
"Davis, Knile",KC,16,16,147,9.2,9.2,161,1,70,1,0,25,3,64.0%,1,0,6,37.5%
"Ingram, Mark",NO,13,29,145,5.0,11.2,151,0,14,0,0,36,0,80.6%,2,1,5,17.2%
"Murray, Latavius",OAK,15,17,143,8.4,9.5,156,0,46,1,0,23,2,73.9%,0,0,3,17.6%
"Williams, Mike",BUF,9,8,142,17.8,15.8,39,1,80,1,0,19,0,42.1%,0,0,3,37.5%
"Starks, James",GB,16,18,140,7.8,8.8,127,0,28,1,0,29,3,62.1%,0,0,6,33.3%
"Hughes, Robert",ARZ,16,8,140,17.5,8.8,113,0,49,2,0,12,1,66.7%,0,0,7,87.5%
"Wilson, Marquess",CHI,7,17,140,8.2,20.0,58,1,17,0,0,32,2,53.1%,0,0,7,41.2%
"Hillman, Ronnie",DEN,8,21,139,6.6,17.4,116,1,16,0,0,34,2,61.8%,0,0,6,28.6%
"Thielen, Adam",MIN,16,8,137,17.1,8.6,33,1,44,1,0,13,0,61.5%,0,0,7,87.5%
"Watson, Benjamin",NO,16,20,136,6.8,8.5,80,2,15,0,0,31,2,64.5%,0,0,9,45.0%
"Matthews, Rishard",MIA,14,12,135,11.3,9.6,46,2,23,0,0,22,2,54.5%,1,0,9,75.0%
"McKinnon, Jerick",MIN,11,27,135,5.0,12.3,182,0,17,0,0,41,3,65.9%,0,0,7,25.9%
"Moeaki, Tony",SEA,6,8,134,16.8,22.3,74,1,63,1,0,13,1,61.5%,0,0,6,75.0%
"Gray, MarQueis",[],13,9,134,14.9,10.3,89,0,41,2,0,11,0,81.8%,0,0,4,44.4%
"Sankey, Bishop",TEN,16,18,133,7.4,8.3,151,0,18,0,0,23,0,78.3%,0,0,5,27.8%
"Jones, Jacoby",BAL,16,9,131,14.6,8.2,84,0,31,2,0,18,4,50.0%,0,0,6,66.7%
"Williams, Andre",NYG,16,18,130,7.2,8.1,148,0,24,0,0,37,3,48.6%,0,0,6,33.3%
"Housler, Rob",ARZ,15,9,129,14.3,8.6,89,0,27,1,0,17,0,52.9%,0,0,7,77.8%
"Spiller, C.J.",BUF,9,19,125,6.6,13.9,195,1,25,1,0,22,0,86.4%,0,0,6,31.6%
"Pitta, Dennis",BAL,3,16,125,7.8,41.7,61,0,24,0,0,21,1,76.2%,0,0,7,43.8%
"Robinson, Denard",JAX,13,23,124,5.4,9.5,204,0,19,0,0,31,2,74.2%,0,0,6,26.1%
"Ivory, Chris",NYJ,16,18,123,6.8,7.7,126,1,23,0,0,27,1,66.7%,0,0,4,22.2%
"Thomas, Daniel",MIA,12,13,121,9.3,10.1,121,0,25,1,0,19,0,68.4%,0,0,8,61.5%
"Gillmore, Crockett",BAL,15,10,121,12.1,8.1,58,1,22,0,0,15,2,66.7%,0,0,8,80.0%
"Pettis, Austin",STL,5,12,118,9.8,23.6,56,1,27,1,0,18,2,66.7%,0,0,7,58.3%
"Palmer, Carson",ARZ,6,0,0,-,-,0,0,0,0,0,0,0,-,0,0,0,-
"Allen, Will",PIT,16,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-
"Hill, Shaun",STL,9,1,0,0.0,0.0,8,0,0,0,0,1,0,100.0%,0,0,0,0.0%
"Staley, Joe",SF,16,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-
"Davis, Kellen",DET,6,0,0,-,0.0,0,0,0,0,0,3,0,0.0%,0,0,0,-
"Felton, Jerome",MIN,16,0,0,-,0.0,0,0,0,0,0,2,0,0.0%,0,0,0,-
"Ogbonnaya, Chris",[],7,0,0,-,0.0,0,0,0,0,0,1,1,0.0%,0,0,0,-
"Hoyer, Brian",CLE,14,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-
"Britton, Eben",CHI,10,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-
"Shuler, Mickey",JAX,3,0,0,-,0.0,0,0,0,0,0,3,0,0.0%,0,0,0,-
"Pouncey, Maurkice",PIT,16,1,0,0.0,0.0,-1,0,0,0,0,1,0,100.0%,0,0,0,0.0%
"Maneri, Steve",NE,1,0,0,-,0.0,0,0,0,0,0,1,1,0.0%,0,0,0,-
"Gordon, Richard",[],5,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-
"Hynoski, Henry",NYG,16,0,0,-,0.0,0,0,0,0,0,0,0,-,0,0,0,-
"Hankerson, Leonard",WSH,1,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-
"Bellamy, Josh",CHI,4,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-
"Gray, Cyrus",KC,9,0,0,-,0.0,0,0,0,0,0,0,0,-,0,0,0,-
"Presley, De'Andre",CAR,4,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-
"Thigpen, Marcus",[],9,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-
"James, LaMichael",[],3,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-
"Smith, Rodney",[],4,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-
"Winn, George",DET,12,0,0,-,0.0,0,0,0,0,0,3,1,0.0%,0,0,0,-
"Streeter, Tommy",JAX,2,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-
"Thompson, Jordan",DET,2,0,0,-,0.0,0,0,0,0,0,1,1,0.0%,0,0,0,-
"Manziel, Johnny",CLE,5,0,0,-,0.0,0,0,0,0,0,0,0,-,0,0,0,-
"Carr, Derek",OAK,16,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-
"Burse, Isaiah",DEN,12,0,0,-,0.0,0,0,0,0,0,1,1,0.0%,0,0,0,-
"McDonald, Dewey",IND,12,0,0,-,0.0,0,0,0,0,0,1,1,0.0%,0,0,0,-
"West, Charcandrick",KC,6,0,0,-,0.0,0,0,0,0,0,2,0,0.0%,0,0,0,-
"Martino, Freddie",ATL,1,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-
"Cleveland, Asante",SF,6,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-
"Perry, Senorise",CHI,16,1,-1,-1.0,-0.1,1,0,-1,0,0,1,0,100.0%,0,0,0,0.0%
"Tannehill, Ryan",MIA,16,1,-4,-4.0,-0.3,4,0,0,0,0,1,0,100.0%,1,0,0,0.0%
"Johnson, Storm",JAX,6,1,-4,-4.0,-0.7,1,0,-4,0,0,1,0,100.0%,0,0,0,0.0%
"James, Mike",TB,11,1,-5,-5.0,-0.5,0,0,-5,0,0,1,0,100.0%,0,0,0,0.0%
"Jackson, Gabe",OAK,13,2,-5,-2.5,-0.4,0,0,1,0,0,2,0,100.0%,0,0,0,0.0%
"Roethlisberger, Ben",PIT,16,0,-6,-,-0.4,0,0,-6,0,0,0,0,-,1,0,0,-
"Roberts, Andre",WSH,16,36,453,12.6,28.3,220,2,61,2,0,73,8,49.3%,1,1,28,77.8%
