Player,Team,Games Played,All Purpose Yards,Yards From Scrimmage,Yards From Scrimmage / Game,Touchdowns,Total Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Yards / Game,Rushing Touchdowns,Receiving Yards,Yards / Reception,Receiving Yards / Game,Receiving Touchdowns
"Escobar, Gavin",DAL,16,105,105,6.6,4,105,-,-,-,-,105,11.7,6.6,4
"King, Tavarres",TB,2,13,13,6.5,0,13,-,-,-,-,13,6.5,6.5,0
"Darkwa, Orleans",[],11,71,71,6.5,1,71,23,2.6,2.1,1,48,9.6,4.4,0
"Young, Darrel",WSH,16,113,103,6.4,5,113,22,2.4,1.4,3,81,7.4,5.1,2
"Rivers, Philip",SD,16,102,102,6.4,0,4388,102,2.8,6.4,0,-,-,-,-
"Weems, Eric",ATL,16,136,102,6.4,2,136,-,-,-,-,102,10.2,6.4,2
"Winn, George",DET,12,101,73,6.1,0,101,73,3.8,6.1,0,0,-,0.0,0
"Bolden, Brandon",NE,16,97,97,6.1,1,97,89,3.2,5.6,1,8,4.0,0.5,0
"Cassel, Matt",MIN,3,18,18,6.0,0,443,18,2.0,6.0,0,-,-,-,-
"Green, Virgil",DEN,13,77,77,5.9,1,77,3,1.5,0.2,0,74,12.3,5.7,1
"Stafford, Matthew",DET,16,93,93,5.8,2,4350,93,2.2,5.8,2,-,-,-,-
"Coleman, Derrick",SEA,5,29,29,5.8,1,29,-,-,-,-,29,14.5,5.8,1
"Manziel, Johnny",CLE,5,29,29,5.8,1,204,29,3.2,5.8,1,0,-,0.0,0
"Maehl, Jeff",PHI,8,46,46,5.8,0,46,-,-,-,-,46,9.2,5.8,0
"Carr, Derek",OAK,16,92,92,5.8,0,3362,92,3.2,5.8,0,0,-,0.0,0
"Griffin, Ryan",HOU,16,91,91,5.7,1,91,-,-,-,-,91,9.1,5.7,1
"Niklas, Troy",ARZ,7,38,38,5.4,0,38,-,-,-,-,38,12.7,5.4,0
"Hewitt, Ryan",CIN,16,86,86,5.4,0,86,0,0.0,0.0,0,86,8.6,5.4,0
"Janis, Jeff",GB,3,16,16,5.3,0,16,-,-,-,-,16,8.0,5.3,0
"Sudfeld, Zach",NYJ,16,94,85,5.3,0,94,-,-,-,-,85,17.0,5.3,0
"Johnson, Austin",NO,7,37,37,5.3,1,37,22,2.8,3.1,0,15,7.5,2.1,1
"Archer, Dri",PIT,12,226,63,5.3,0,226,40,4.0,3.3,0,23,3.3,1.9,0
"Stevens, Craig",TEN,5,26,26,5.2,0,26,-,-,-,-,26,13.0,5.2,0
"Ta'ufo'ou, Will",JAX,16,81,81,5.1,0,81,-,-,-,-,81,11.6,5.1,0
"Bush, Reggie",DET,11,550,550,50.0,2,550,297,3.9,27.0,2,253,6.3,23.0,0
"Richardson, Trent",IND,15,748,748,49.9,3,748,519,3.3,34.6,3,229,8.5,15.3,0
"Royal, Eddie",SD,16,892,792,49.5,7,892,14,4.7,0.9,0,778,12.6,48.6,7
"Helu Jr., Roy",WSH,14,693,693,49.5,3,693,216,5.4,15.4,1,477,11.4,34.1,2
"Fleener, Coby",IND,16,774,774,48.4,8,774,-,-,-,-,774,15.2,48.4,8
"Rainey, Bobby",TB,15,934,721,48.1,2,934,406,4.3,27.1,1,315,9.6,21.0,1
"Smith, Torrey",BAL,16,767,767,47.9,11,767,-,-,-,-,767,15.7,47.9,11
"Sproles, Darren",PHI,15,1237,716,47.7,8,1237,329,5.8,21.9,6,387,9.7,25.8,0
"Britt, Kenny",STL,16,762,762,47.6,3,762,14,7.0,0.9,0,748,15.6,46.8,3
"Miller, Heath",PIT,16,761,761,47.6,3,761,-,-,-,-,761,11.5,47.6,3
"Austin, Miles",CLE,12,568,568,47.3,2,568,-,-,-,-,568,12.1,47.3,2
"Spiller, C.J.",BUF,9,731,425,47.2,2,731,300,3.9,33.3,0,125,6.6,13.9,1
"Landry, Jarvis",MIA,16,1912,754,47.1,5,1912,-4,-2.0,-0.3,0,758,9.0,47.4,5
"Garcon, Pierre",WSH,16,752,752,47.0,3,752,-,-,-,-,752,11.1,47.0,3
"Sims, Charles",TB,8,375,375,46.9,1,375,185,2.8,23.1,1,190,10.0,23.8,0
"Ball, Montee",DEN,5,234,234,46.8,1,234,172,3.1,34.4,1,62,6.9,12.4,0
"McFadden, Darren",OAK,16,805,746,46.6,2,805,534,3.5,33.4,2,212,5.9,13.3,0
"Jennings, Greg",MIN,16,742,742,46.4,6,742,-,-,-,-,742,12.6,46.4,6
"Douglas, Harry",ATL,12,556,556,46.3,2,556,-,-,-,-,556,10.9,46.3,2
"Witten, Jason",DAL,16,703,703,43.9,5,703,-,-,-,-,703,11.0,43.9,5
"Crabtree, Michael",SF,16,702,702,43.9,4,702,4,4.0,0.3,0,698,10.3,43.6,4
"Ertz, Zach",PHI,16,702,702,43.9,3,702,-,-,-,-,702,12.1,43.9,3
"Sankey, Bishop",TEN,16,900,702,43.9,2,900,569,3.7,35.6,2,133,7.4,8.3,0
"Williams, DeAngelo",CAR,6,263,263,43.8,0,263,219,3.5,36.5,0,44,8.8,7.3,0
"Woods, Robert",BUF,16,710,699,43.7,5,710,-,-,-,-,699,10.8,43.7,5
"Crowell, Isaiah",CLE,16,694,694,43.4,8,694,607,4.1,37.9,8,87,9.7,5.4,0
"Holmes, Andre",OAK,16,693,693,43.3,4,693,-,-,-,-,693,14.7,43.3,4
"Clay, Charles",MIA,14,605,605,43.2,3,605,-,-,-,-,605,10.4,43.2,3
"Brown, Bryce",BUF,7,377,302,43.1,0,377,126,3.5,18.0,0,176,11.0,25.1,0
"Brown, John",ARZ,16,690,690,43.1,5,690,-6,-2.0,-0.4,0,696,14.5,43.5,5
"Shorts III, Cecil",JAX,13,557,557,42.8,1,589,-,-,-,-,557,10.5,42.8,1
"Robinson, Khiry",NO,10,453,425,42.5,3,453,362,4.8,36.2,3,63,7.9,6.3,0
"Cameron, Jordan",CLE,10,424,424,42.4,2,424,-,-,-,-,424,17.7,42.4,2
"Hurns, Allen",JAX,16,677,677,42.3,6,677,-,-,-,-,677,13.3,42.3,6
"Reed, Jordan",WSH,11,465,465,42.3,0,465,-,-,-,-,465,9.3,42.3,0
"Pitta, Dennis",BAL,3,125,125,41.7,0,125,-,-,-,-,125,7.8,41.7,0
"Jones, James",OAK,16,666,666,41.6,6,666,-,-,-,-,666,9.1,41.6,6
"Hunter, Justin",TEN,12,498,498,41.5,3,498,-,-,-,-,498,17.8,41.5,3
"Wheaton, Markus",PIT,16,1157,663,41.4,2,1157,19,4.8,1.2,0,644,12.2,40.3,2
"Wright, Jarius",MIN,16,659,659,41.2,2,659,71,14.2,4.4,0,588,14.0,36.8,2
"Washington, Nate",TEN,16,647,647,40.4,2,647,-,-,-,-,647,16.2,40.4,2
"Blue, Alfred",HOU,16,641,641,40.1,4,641,528,3.1,33.0,2,113,7.5,7.1,1
"Kaepernick, Colin",SF,16,639,639,39.9,1,4008,639,6.1,39.9,1,-,-,-,-
"Cook, Jared",STL,16,634,634,39.6,3,634,0,0.0,0.0,0,634,12.2,39.6,3
"Gabriel, Taylor",CLE,16,727,631,39.4,1,727,10,2.5,0.6,0,621,17.3,38.8,1
"Tate, Ben",[],11,431,431,39.2,4,431,371,3.1,33.7,4,60,6.7,5.5,0
"Donnell, Larry",NYG,16,623,623,38.9,6,623,-,-,-,-,623,9.9,38.9,6
"Williams, Terrance",DAL,16,621,621,38.8,8,621,-,-,-,-,621,16.8,38.8,8
"Cotchery, Jerricho",CAR,15,580,580,38.7,1,580,-,-,-,-,580,12.1,38.7,1
"Johnson, Charles",MIN,12,464,464,38.7,2,464,-11,-11.0,-0.9,0,475,15.3,39.6,2
"Pettigrew, Brandon",DET,14,70,70,5.0,0,70,-,-,-,-,70,7.0,5.0,0
"Daniel, Chase",KC,3,15,15,5.0,0,172,15,3.8,5.0,0,-,-,-,-
"Smith, Alfonso",SF,6,30,30,5.0,0,30,19,2.7,3.2,0,11,3.7,1.8,0
"Gabbert, Blaine",SF,1,5,5,5.0,0,43,5,5.0,5.0,0,-,-,-,-
"Harris, DuJuan",GB,15,531,75,5.0,0,531,64,4.0,4.3,0,11,11.0,0.7,0
"Broyles, Ryan",DET,5,25,25,5.0,0,25,-,-,-,-,25,12.5,5.0,0
"Goodwin, Marquise",BUF,10,134,50,5.0,0,134,8,2.7,0.8,0,42,42.0,4.2,0
"Sherman, Anthony",KC,16,92,79,4.9,1,92,8,4.0,0.5,0,71,7.1,4.4,1
"Coffman, Chase",TEN,13,64,64,4.9,1,64,-,-,-,-,64,10.7,4.9,1
"Paulsen, Logan",WSH,16,88,78,4.9,1,88,-,-,-,-,78,6.0,4.9,1
"Martin, Keshawn",HOU,16,251,78,4.9,0,251,-,-,-,-,78,13.0,4.9,0
"Gragg, Chris",BUF,10,48,48,4.8,1,48,-,-,-,-,48,6.9,4.8,1
"Williams, Damian",[],3,14,14,4.7,0,14,-,-,-,-,14,14.0,4.7,0
"Conner, John",NYJ,12,67,55,4.6,1,67,20,3.3,1.7,0,35,17.5,2.9,1
"Sanders, Ace",JAX,12,298,55,4.6,0,298,-,-,-,-,55,9.2,4.6,0
"Flacco, Joe",BAL,16,70,70,4.4,2,4056,70,1.8,4.4,2,-,-,-,-
"Peerman, Cedric",CIN,16,70,70,4.4,0,70,43,2.9,2.7,0,27,9.0,1.7,0
"Brees, Drew",NO,16,69,69,4.3,1,5021,68,2.5,4.3,1,1,1.0,0.1,0
"Grant, Ryan",WSH,16,68,68,4.3,0,68,-,-,-,-,68,9.7,4.3,0
"Walters, Bryan",SEA,13,305,55,4.2,0,305,-2,-2.0,-0.2,0,57,9.5,4.4,0
"Palmer, Carson",ARZ,6,25,25,4.2,0,1651,25,3.1,4.2,0,0,-,-,0
"Romo, Tony",DAL,15,61,61,4.1,0,3766,61,2.4,4.1,0,-,-,-,-
"Anderson, Derek",CAR,6,24,24,4.0,0,725,24,3.0,4.0,0,-,-,-,-
"Shepard, Russell",TB,16,63,63,3.9,0,63,0,-,0.0,0,63,15.8,3.9,0
"DiMarco, Patrick",ATL,16,62,62,3.9,1,62,-,-,-,-,62,6.9,3.9,1
"McDonald, Vance",SF,8,30,30,3.8,0,30,-,-,-,-,30,15.0,3.8,0
"Supernaw, Phillip",[],8,30,30,3.8,0,30,-,-,-,-,30,10.0,3.8,0
"Washington, Corey",NYG,14,52,52,3.7,1,52,-,-,-,-,52,10.4,3.7,1
"Casey, James",PHI,16,97,59,3.7,2,97,-,-,-,-,59,19.7,3.7,2
"Stewart, Jeremy",DEN,6,22,22,3.7,0,22,22,3.7,3.7,0,-,-,-,-
"Collins, Jed",DET,16,58,58,3.6,1,58,19,2.4,1.2,0,39,7.8,2.4,1
"Davis, Austin",STL,10,36,36,3.6,0,2037,36,2.3,3.6,0,-,-,-,-
"Brady, Tom",NE,16,57,57,3.6,0,4166,57,1.6,3.6,0,-,-,-,-
"Gray, Cyrus",KC,9,31,31,3.4,1,31,31,3.9,3.4,1,0,-,0.0,0
"Harkey, Cory",STL,16,55,55,3.4,1,55,-,-,-,-,55,6.9,3.4,1
"Watts, Trey",STL,14,48,48,3.4,0,48,30,4.3,2.1,0,18,6.0,1.3,0
"Brate, Cameron",TB,5,17,17,3.4,0,17,-,-,-,-,17,17.0,3.4,0
"Cousins, Kirk",WSH,6,20,20,3.3,0,1730,20,2.9,3.3,0,-,-,-,-
"Harris, Josh",PIT,5,16,16,3.2,0,16,16,1.8,3.2,0,-,-,-,-
"Stocker, Luke",TB,13,41,41,3.2,0,41,-,-,-,-,41,5.9,3.2,0
"Williams, Brandon",CAR,14,80,44,3.1,0,80,-,-,-,-,44,11.0,3.1,0
"Robinson, Adrien",NYG,16,50,50,3.1,1,50,-,-,-,-,50,10.0,3.1,1
"Lorig, Erik",NO,10,31,31,3.1,1,31,4,1.3,0.4,0,27,3.0,2.7,1
"Spaeth, Matt",PIT,15,46,46,3.1,1,46,-,-,-,-,46,15.3,3.1,1
"Sendejo, Andrew",MIN,16,48,48,3.0,0,48,48,48.0,3.0,0,-,-,-,-
"Smith, Lee",BUF,14,42,42,3.0,1,42,-,-,-,-,42,6.0,3.0,1
"Hanna, James",DAL,16,48,48,3.0,0,48,-,-,-,-,48,12.0,3.0,0
"Develin, James",NE,16,48,48,3.0,0,48,5,1.7,0.3,0,43,7.2,2.7,0
"James, LaMichael",[],3,9,9,3.0,0,9,9,1.8,3.0,0,0,-,0.0,0
"McGloin, Matt",OAK,1,3,3,3.0,0,132,3,1.5,3.0,0,-,-,-,-
"Ebron, Eric",DET,13,248,248,19.1,1,248,-,-,-,-,248,9.9,19.1,1
"Thompkins, Kenbrell",[],14,310,267,19.1,0,310,5,2.5,0.4,0,262,12.5,18.7,0
"Jernigan, Jerrel",NYG,2,38,38,19.0,0,38,-2,-2.0,-1.0,0,40,6.7,20.0,0
"Salas, Greg",NYJ,10,195,187,18.7,1,195,20,20.0,2.0,1,167,20.9,16.7,0
"Michael, Christine",SEA,10,187,187,18.7,0,187,175,5.2,17.5,0,12,12.0,1.2,0
"Butler, Brice",OAK,15,280,280,18.7,3,280,-,-,-,-,280,13.3,18.7,2
"Helfet, Cooper",SEA,10,185,185,18.5,2,185,-,-,-,-,185,15.4,18.5,2
"Brown, Marlon",BAL,14,255,255,18.2,0,255,-,-,-,-,255,10.6,18.2,0
"Reaves, Darrin",CAR,6,109,109,18.2,0,109,78,2.5,13.0,0,31,6.2,5.2,0
"Richardson, Paul",SEA,15,647,271,18.1,1,647,-,-,-,-,271,9.3,18.1,1
"Graham, Garrett",HOU,11,197,197,17.9,1,197,-,-,-,-,197,10.9,17.9,1
"Davis, Vernon",SF,14,249,249,17.8,2,249,4,4.0,0.3,0,245,9.4,17.5,2
"Celek, Garrett",SF,3,53,53,17.7,0,53,-,-,-,-,53,26.5,17.7,0
"Brown, Mike",JAX,5,136,88,17.6,0,136,-,-,-,-,88,12.6,17.6,0
"Keenum, Case",HOU,2,35,35,17.5,0,470,35,3.5,17.5,0,-,-,-,-
"Luck, Andrew",IND,16,273,273,17.1,3,5034,273,4.3,17.1,3,-,-,-,-
"Smith, Geno",NYJ,14,238,238,17.0,1,2763,238,4.0,17.0,1,-,-,-,-
"Smith, Alex",KC,15,254,254,16.9,1,3519,254,5.2,16.9,1,-,-,-,-
"Brown, Vincent",OAK,7,118,118,16.9,0,118,-,-,-,-,118,9.8,16.9,0
"Rodgers, Aaron",GB,16,269,269,16.8,2,4650,269,6.3,16.8,2,-,-,-,-
"Aiken, Kamar",BAL,16,267,267,16.7,4,267,-,-,-,-,267,11.1,16.7,3
"Kendricks, Lance",STL,16,259,259,16.2,5,259,-,-,-,-,259,9.6,16.2,5
"Green, Ladarius",SD,14,226,226,16.1,0,226,-,-,-,-,226,11.9,16.1,0
"Bridgewater, Teddy",MIN,13,209,209,16.1,1,3128,209,4.5,16.1,1,-,-,-,-
"Wright, Tim",NE,16,257,257,16.1,6,257,-2,-2.0,-0.1,0,259,10.0,16.2,6
"Patton, Quinton",SF,4,88,64,16.0,0,88,20,20.0,5.0,0,44,14.7,11.0,0
"Hagan, Derek",TEN,16,254,254,15.9,1,254,-,-,-,-,254,13.4,15.9,1
"Williams, Mike",BUF,9,142,142,15.8,1,142,-,-,-,-,142,17.8,15.8,1
"Powell, Bilal",NYJ,15,267,233,15.5,1,267,141,4.3,9.4,1,92,8.4,6.1,0
"Cumberland, Jeff",NYJ,16,247,247,15.4,3,247,-,-,-,-,247,10.7,15.4,3
"Carey, Ka'Deem",CHI,14,215,215,15.4,0,215,158,4.4,11.3,0,57,11.4,4.1,0
"Fitzpatrick, Ryan",HOU,12,184,184,15.3,2,2667,184,3.7,15.3,2,-,-,-,-
"Vick, Michael",NYJ,10,153,153,15.3,0,757,153,5.9,15.3,0,-,-,-,-
"Dray, Jim",CLE,16,242,242,15.1,1,242,-,-,-,-,242,14.2,15.1,1
"Fasano, Anthony",KC,15,226,226,15.1,4,226,-,-,-,-,226,9.0,15.1,4
"Leonard, Brian",NO,1,15,15,15.0,0,15,-,-,-,-,15,15.0,15.0,0
"Grimes, Jonathan",HOU,16,239,239,14.9,0,239,153,3.9,9.6,0,86,14.3,5.4,0
"Toilolo, Levine",ATL,16,238,238,14.9,2,238,-,-,-,-,238,7.7,14.9,2
"Tipton, Zurlon",IND,6,86,86,14.3,1,86,18,1.8,3.0,0,68,11.3,11.3,1
"Brown, Jaron",ARZ,16,229,229,14.3,2,229,-,-,-,-,229,10.4,14.3,2
"Whitehurst, Charlie",TEN,7,100,100,14.3,0,1426,90,4.5,12.9,0,10,-,1.4,0
"Moore, Lance",PIT,14,198,198,14.1,2,198,-,-,-,-,198,14.1,14.1,2
"Rodgers, Richard",GB,16,225,225,14.1,2,225,-,-,-,-,225,11.3,14.1,2
"Jones-Drew, Maurice",OAK,12,167,167,13.9,0,167,96,2.2,8.0,0,71,6.5,5.9,0
"Johnson, Storm",JAX,6,82,82,13.7,2,82,86,3.0,14.3,2,-4,-4.0,-0.7,0
"Myers, Brandon",TB,14,190,190,13.6,0,190,-,-,-,-,190,8.6,13.6,0
"Washington, Leon",TEN,16,1001,216,13.5,2,1001,57,4.4,3.6,0,159,7.2,9.9,2
"Durham, Kris",TEN,4,54,54,13.5,0,54,-,-,-,-,54,9.0,13.5,0
"Polk, Chris",PHI,14,528,188,13.4,5,528,172,3.7,12.3,4,16,8.0,1.1,0
"Tate, Brandon",CIN,16,785,214,13.4,1,785,21,7.0,1.3,0,193,11.4,12.1,1
"Newton, Cam",CAR,14,539,539,38.5,5,3666,539,5.2,38.5,5,-,-,-,-
"Davis, Knile",KC,16,1439,610,38.1,8,1439,463,3.5,28.9,6,147,9.2,9.2,1
"Murray, Latavius",OAK,15,996,567,37.8,2,996,424,5.2,28.3,2,143,8.4,9.5,0
"Thomas, Julius",DEN,13,489,489,37.6,12,489,-,-,-,-,489,11.4,37.6,12
"Blount, LeGarrette",[],16,704,601,37.6,5,704,547,4.4,34.2,5,54,5.4,3.4,0
"Cunningham, Benny",STL,16,1561,598,37.4,4,1561,246,3.7,15.4,3,352,7.8,22.0,1
"Eifert, Tyler",CIN,1,37,37,37.0,0,37,-,-,-,-,37,12.3,37.0,0
"Kearse, Jermaine",SEA,15,552,552,36.8,1,569,15,7.5,1.0,0,537,14.1,35.8,1
"Smith, Antone",ATL,10,366,366,36.6,5,366,144,6.3,14.4,2,222,17.1,22.2,3
"Gerhart, Toby",JAX,14,512,512,36.6,2,512,326,3.2,23.3,2,186,9.3,13.3,0
"Cooper, Riley",PHI,16,577,577,36.1,3,577,-,-,-,-,577,10.5,36.1,3
"Daniels, Owen",BAL,15,527,527,35.1,4,527,-,-,-,-,527,11.0,35.1,4
"Murphy Jr., Louis",TB,11,380,380,34.5,2,380,-,-,-,-,380,12.3,34.5,2
"Stacy, Zac",STL,13,445,445,34.2,1,445,293,3.9,22.5,1,152,8.4,11.7,0
"Hester, Devin",ATL,16,1908,540,33.8,4,1908,36,6.0,2.3,1,504,13.3,31.5,2
"McKnight, Joe",KC,2,132,67,33.5,2,132,3,3.0,1.5,0,64,10.7,32.0,2
"Johnson, Stevie",SF,13,435,435,33.5,3,435,-,-,-,-,435,12.4,33.5,3
"Brown, Donald",SD,13,442,434,33.4,0,442,223,2.6,17.2,0,211,7.3,16.2,0
"Rivera, Mychal",OAK,16,534,534,33.4,4,534,-,-,-,-,534,9.2,33.4,4
"Lee, Marqise",JAX,13,431,431,33.2,1,431,9,3.0,0.7,0,422,11.4,32.5,1
