Player,Team,Games Played,Points,Points / Game,Touchdowns,Passing Touchdowns,Rushing Touchdowns,Receiving Touchdowns,Kicking Points,Field Goals Made,Extra Points Made,Total Kick and Punt Return Touchdowns,Kick Return Touchdowns,Punt Return Touchdowns,Interception Touchdowns,Fumble Recovery Touchdowns,Safeties,Two Point Conversions
"McFadden, Darren",OAK,16,12,0.8,2,0,2,0,-,-,-,0,0,0,-,-,-,0
"Talib, Aqib",DEN,15,12,0.8,2,-,-,-,-,-,-,-,-,-,2,0,0,0
"Flacco, Joe",BAL,16,12,0.8,2,27,2,-,-,-,-,-,-,-,-,-,-,0
"Stafford, Matthew",DET,16,12,0.8,2,22,2,-,-,-,-,-,-,-,-,-,-,0
"Murphy Jr., Louis",TB,11,12,1.1,2,-,-,2,-,-,-,-,-,-,-,-,-,0
"Hartline, Brian",MIA,16,12,0.8,2,-,-,2,-,-,-,-,-,-,-,-,-,0
"Harvin, Percy",[],13,12,0.9,2,-,1,1,-,-,-,0,0,0,-,-,-,0
"Arrington, Kyle",NE,14,12,0.9,2,-,-,-,-,-,-,-,-,-,0,1,0,0
"Greene, Shonn",TEN,13,12,0.9,2,-,2,0,-,-,-,0,0,0,-,-,-,0
"Johnson, Rashad",ARZ,16,12,0.8,2,-,-,-,-,-,-,-,-,-,2,0,0,0
"Casey, James",PHI,16,12,0.8,2,-,-,2,-,-,-,0,0,0,-,-,-,0
"Spiller, C.J.",BUF,9,12,1.3,2,-,0,1,-,-,-,1,1,0,-,-,-,0
"Starks, James",GB,16,12,0.8,2,-,2,0,-,-,-,-,-,-,-,-,-,0
"Gerhart, Toby",JAX,14,12,0.9,2,-,2,0,-,-,-,-,-,-,-,-,-,0
"McKnight, Joe",KC,2,12,6.0,2,-,0,2,-,-,-,0,0,0,-,-,-,0
"Roberts, Andre",WSH,16,12,0.8,2,-,0,2,-,-,-,0,0,0,-,-,-,0
"Dixon, Boobie",BUF,16,12,0.8,2,-,2,0,-,-,-,0,0,0,-,-,-,0
"Parker, Preston",NYG,16,12,0.8,2,-,-,2,-,-,-,0,0,0,-,-,-,0
"Rodgers, Jacquizz",ATL,16,12,0.8,2,-,1,1,-,-,-,0,0,0,0,0,0,0
"Hawkins, Andrew",CLE,15,12,0.8,2,-,0,2,-,-,-,-,-,-,-,-,-,0
"Cameron, Jordan",CLE,10,12,1.2,2,-,-,2,-,-,-,-,-,-,-,-,-,0
"Rudolph, Kyle",MIN,9,12,1.3,2,-,-,2,-,-,-,-,-,-,-,-,-,0
"Ridley, Stevan",NE,6,12,2.0,2,-,2,0,-,-,-,-,-,-,-,-,-,0
"Miller, Bruce",SF,16,12,0.8,2,-,0,2,-,-,-,0,0,0,-,-,-,0
"Lockette, Ricardo",SEA,16,12,0.8,2,-,0,2,-,-,-,-,-,-,0,0,0,0
"Hayward, Casey",GB,16,12,0.8,2,-,-,-,-,-,-,-,-,-,1,1,0,0
"Olawale, Jamize",OAK,16,12,0.8,2,-,0,2,-,-,-,-,-,-,0,0,0,0
"Jenkins, Janoris",STL,14,12,0.9,2,-,-,-,-,-,-,-,-,-,2,0,0,0
"Matthews, Rishard",MIA,14,12,0.9,2,-,0,2,-,-,-,-,-,-,-,-,-,0
"Wright, Jarius",MIN,16,12,0.8,2,-,0,2,-,-,-,-,-,-,-,-,-,0
"Irvin, Bruce",SEA,15,12,0.8,2,-,-,-,-,-,-,-,-,-,2,0,0,0
