Player,Team,Games Played,Points,Points / Game,Touchdowns,Passing Touchdowns,Rushing Touchdowns,Receiving Touchdowns,Kicking Points,Field Goals Made,Extra Points Made,Total Kick and Punt Return Touchdowns,Kick Return Touchdowns,Punt Return Touchdowns,Interception Touchdowns,Fumble Recovery Touchdowns,Safeties,Two Point Conversions
"Ball, Alan",JAX,7,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Free, Doug",DAL,11,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Harris, Ryan",KC,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Ramirez, Manny",DEN,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Barbre, Allen",PHI,1,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Bishop, Desmond",SF,2,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Williams, Tramon",GB,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Griffin, Michael",TEN,16,0,0.0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
"Vickerson, Kevin",KC,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Hilliard, Corey",DET,1,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Bowe, Dwayne",KC,15,0,0.0,0,-,-,0,-,-,-,-,-,-,-,-,-,0
"Miller, Zach",SEA,3,0,0.0,0,-,-,0,-,-,-,-,-,-,-,-,-,0
"Leonard, Brian",NO,1,0,0.0,0,-,-,0,-,-,-,-,-,-,-,-,-,0
"Fields, Brandon",MIA,16,0,0.0,0,-,-,-,0,0,0,-,-,-,-,-,-,0
"Satele, Samson",MIA,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Soliai, Paul",ATL,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Palmer, Carson",ARZ,6,0,0.0,0,11,0,0,-,-,-,-,-,-,-,-,-,0
"McCown, Luke",NO,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"McBriar, Mat",SD,3,0,0.0,0,-,-,-,0,0,0,-,-,-,-,-,-,0
"Romo, Tony",DAL,15,0,0.0,0,34,0,-,-,-,-,-,-,-,-,-,-,0
"Williams, D.J.",CHI,12,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Muhlbach, Don",DET,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Cole, Colin",CAR,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Jenkins, Cullen",NYG,12,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Wells, Scott",STL,16,0,0.0,0,-,0,-,-,-,-,-,-,-,-,-,-,0
"Starks, Randy",MIA,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Allen, Jared",CHI,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Kelly, Tommy",ARZ,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Loeffler, Cullen",MIN,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Wilfork, Vince",NE,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Dansby, Karlos",CLE,12,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Smith, Antonio",OAK,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Roethlisberger, Ben",PIT,16,0,0.0,0,32,0,0,0,0,0,-,-,-,-,-,-,0
"Hardwick, Nick",SD,1,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Phillips, Shaun",[],16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Rivers, Philip",SD,16,0,0.0,0,31,0,-,-,-,-,-,-,-,-,-,-,0
"Adams, Mike",IND,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Lee, Andy",SF,16,0,0.0,0,0,-,-,0,0,0,-,-,-,-,-,-,0
"Jones, Donnie",PHI,16,0,0.0,0,-,-,-,0,0,0,-,-,-,-,-,-,0
"Allen, Will",PIT,16,0,0.0,0,-,-,0,-,-,-,-,-,-,0,0,0,0
"Clemons, Chris",JAX,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Smith, Daryl",BAL,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Edwards, Dwan",CAR,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Babin, Jason",NYJ,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Babineaux, Jonathan",ATL,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Koenen, Michael",TB,16,0,0.0,0,-,-,-,0,0,0,-,-,-,-,-,-,0
"Leonhard, Jim",CLE,16,0,0.0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
"Wilson, George",TEN,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Cribbs, Josh",IND,6,0,0.0,0,-,-,0,-,-,-,0,0,0,-,-,-,0
"Canty, Chris",BAL,11,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Condo, Jon",OAK,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Ladouceur, L.P.",DAL,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Ratliff, Jeremiah",CHI,11,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Ware, DeMarcus",DEN,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Myers, Chris",HOU,16,0,0.0,0,-,0,-,-,-,-,-,-,-,-,-,-,0
"Orlovsky, Dan",DET,1,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Jones, Adam",CIN,16,0,0.0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
"Roby, Courtney",ATL,4,0,0.0,0,-,-,0,-,-,-,-,-,-,-,-,-,0
"Roos, Michael",TEN,5,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Colquitt, Dustin",KC,16,0,0.0,0,0,-,-,0,0,0,-,-,-,-,-,-,0
"Johnson, Derrick",KC,1,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Svitek, Will",TEN,5,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Brown, Ronnie",[],10,0,0.0,0,-,0,0,-,-,-,-,-,-,-,-,-,0
"Denney, John",MIA,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Mosley, C.J.",DET,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Cassel, Matt",MIN,3,0,0.0,0,3,0,-,-,-,-,-,-,-,-,-,-,0
"Patmon, Tyler",DAL,11,6,0.5,1,-,-,-,-,-,-,-,-,-,1,0,0,0
"Galette, Junior",NO,16,4,0.3,0,-,-,-,-,-,-,-,-,-,0,0,2,0
"Suggs, Terrell",BAL,16,2,0.1,0,-,-,-,-,-,-,-,-,-,0,0,1,0
"McDaniel, Tony",SEA,16,2,0.1,0,-,-,-,-,-,-,-,-,-,0,0,1,0
"Rosario, Dante",CHI,16,2,0.1,0,-,-,0,-,-,-,0,0,0,-,-,-,1
"Levy, DeAndre",DET,16,2,0.1,0,-,-,-,-,-,-,-,-,-,0,0,1,0
"Atkins, Geno",CIN,16,2,0.1,0,-,-,-,-,-,-,-,-,-,0,0,1,0
"Mays, Taylor",CIN,16,2,0.1,0,-,-,-,-,-,-,-,-,-,0,0,1,0
"Irving, Nate",DEN,8,2,0.3,0,-,-,-,-,-,-,-,-,-,0,0,1,0
"Carder, Tank",CLE,16,2,0.1,0,-,-,-,-,-,-,-,-,-,0,0,1,0
"Richardson, Sheldon",NYJ,16,2,0.1,0,-,-,-,-,-,-,-,-,-,0,0,1,0
"Fede, Terrence",MIA,11,2,0.2,0,-,-,-,-,-,-,0,0,0,0,0,1,0
"Manning, Peyton",DEN,16,0,0.0,0,39,0,-,-,-,-,-,-,-,-,-,-,0
"Woodson, Charles",OAK,16,0,0.0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
"Hasselbeck, Matt",IND,4,0,0.0,0,2,0,-,-,-,-,-,-,-,-,-,-,0
"Leach, Mike",ARZ,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Lechler, Shane",HOU,16,0,0.0,0,0,-,-,0,0,0,-,-,-,-,-,-,0
"Brady, Tom",NE,16,0,0.0,0,33,0,-,-,-,-,-,-,-,-,-,-,0
"Abraham, John",ARZ,1,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Garza, Roberto",CHI,12,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Vick, Michael",NYJ,10,0,0.0,0,3,0,-,-,-,-,-,-,-,-,-,-,0
"Smith, Justin",SF,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Raiola, Dominic",DET,15,0,0.0,0,-,-,0,-,-,-,-,-,-,0,0,0,0
"Pickett, Ryan",HOU,13,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Moss, Santana",WSH,10,0,0.0,0,-,-,0,-,-,-,-,-,-,-,-,-,0
"Freeney, Dwight",SD,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Clark, Ryan",WSH,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Goodwin, Jonathan",NO,14,0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,0
"Foote, Larry",ARZ,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Harrison, James",PIT,11,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Keisel, Brett",PIT,12,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Zastudil, Dave",ARZ,2,0,0.0,0,-,-,-,0,0,0,-,-,-,-,-,-,0
"Dorenbos, Jon",PHI,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Briggs, Lance",CHI,8,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Tillman, Charles",CHI,2,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Newman, Terence",CIN,13,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Redding, Cory",IND,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Smith, Wade",PHI,5,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Williams, Kevin",SEA,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Pace, Calvin",NYJ,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Polamalu, Troy",PIT,12,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Taylor, Ike",PIT,5,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Osgood, Kassim",SF,13,0,0.0,0,-,-,0,-,-,-,0,0,0,-,-,-,0
"Scifres, Mike",SD,13,0,0.0,0,-,-,-,0,0,0,-,-,-,-,-,-,0
"Johnson, Jarret",SD,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Hall, DeAngelo",WSH,3,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Schaub, Matt",OAK,11,0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,0
"Peters, Jason",PHI,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Cain, Jeremy",CHI,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Geathers, Robert",CIN,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Demps, Quintin",NYG,16,0,0.0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
"Mays, Joe",KC,8,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"McGlynn, Mike",KC,14,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Campbell, Calais",ARZ,14,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Rodgers-Cromartie, Dominique",NYG,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Cason, Antoine",[],14,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Tolbert, Mike",CAR,8,0,0.0,0,-,0,0,-,-,-,0,0,0,-,-,-,0
"Bryant, Red",JAX,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Hawthorne, David",NO,12,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Hayes, Geno",JAX,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Mack, Elbert",HOU,8,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Zuttah, Jeremy",BAL,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Barnidge, Gary",CLE,13,0,0.0,0,-,-,0,-,-,-,-,-,-,-,-,-,0
"Godfrey, Charles",[],12,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Hayden, Nick",DAL,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Groves, Quentin",TEN,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Cousins, Oniel",TB,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"McClain, Jameel",NYG,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Parmele, Jalen",ARZ,1,0,0.0,0,-,0,-,-,-,-,-,-,-,-,-,-,0
"Brown, Duane",HOU,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Harris, Clark",CIN,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Studebaker, Andy",IND,13,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Moore, William",ATL,7,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Owens, Chris",KC,11,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Reynolds, Garrett",DET,10,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Sidbury, Lawrence",TB,1,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Walker, Vance",KC,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Byrd, Jairus",NO,4,0,0.0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
"Lankster, Ellis",NYJ,2,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Levitre, Andy",TEN,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Meredith, Jamon",[],7,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Palmer, Ashlee",DET,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Sanborn, Garrison",BUF,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Wood, Eric",BUF,16,0,0.0,0,-,0,-,-,-,-,-,-,-,-,-,-,0
"Huber, Kevin",CIN,16,0,0.0,0,-,-,-,0,0,0,-,-,-,-,-,-,0
"Johnson, Michael",TB,14,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Maualuga, Rey",CIN,12,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Skuta, Dan",SF,14,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Smith, Andre",CIN,9,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Benard, Marcus",ARZ,12,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Mack, Alex",CLE,5,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Maiava, Kaluka",OAK,4,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Butler, Victor",IND,2,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Ogletree, Kevin",NYG,7,0,0.0,0,-,-,0,-,-,-,-,-,-,-,-,-,0
"Williams, Jason",[],14,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Ayers Jr., Robert",NYG,12,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Baker, Chris",WSH,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Bruton Jr., David",DEN,14,0,0.0,0,-,0,-,-,-,-,-,-,-,0,0,0,0
"Hill, Sammie",TEN,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Peerman, Cedric",CIN,16,0,0.0,0,-,0,0,-,-,-,-,-,-,-,-,-,0
"Pettigrew, Brandon",DET,14,0,0.0,0,-,-,0,-,-,-,-,-,-,-,-,-,0
"Dietrich-Smith, Evan",TB,15,0,0.0,0,-,0,-,-,-,-,-,-,-,-,-,-,0
"Jones, Brad",GB,13,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Lang, T.J.",GB,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Matthews, Clay",GB,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Wynn, Jarius",BUF,11,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Marks, Sen'Derrick",JAX,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Velasco, Fernando",CAR,13,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Brown, Donald",SD,13,0,0.0,0,-,0,0,-,-,-,0,0,0,-,-,-,0
"Humber, Ramon",NO,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"McAfee, Pat",IND,16,0,0.0,0,0,-,-,0,0,0,-,-,-,-,-,-,0
"Powers, Jerraud",ARZ,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Jackson, Tyson",ATL,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Bryant, Desmond",CLE,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Heyward-Bey, Darrius",PIT,16,0,0.0,0,-,-,0,-,-,-,-,-,-,0,0,0,0
"Mitchell, Mike",PIT,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Myers, Brandon",TB,14,0,0.0,0,-,-,0,-,-,-,-,-,-,-,-,-,0
"Shaughnessy, Matt",ARZ,8,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Douzable, Leger",NYJ,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Gorrer, Danny",[],10,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Laurinaitis, James",STL,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Clemons, Chris",ARZ,1,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Davis, Vontae",IND,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Gardner, Andrew",PHI,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Garner, Nate",MIA,10,0,0.0,0,-,-,-,-,-,-,0,0,0,-,-,-,0
"Smith, Sean",KC,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Wake, Cameron",MIA,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Brinkley, Jasper",MIN,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Loadholt, Phil",MIN,11,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Sanford, Jamarca",[],9,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Butler, Darius",IND,14,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Chung, Patrick",NE,16,0,0.0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
"Hoyer, Brian",CLE,14,0,0.0,0,12,0,0,-,-,-,-,-,-,-,-,-,0
"Ohrnberger, Rich",SD,8,0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,0
"Vollmer, Sebastian",NE,15,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Wendell, Ryan",NE,14,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Casillas, Jonathan",[],13,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Morstead, Thomas",NO,16,0,0.0,0,0,-,-,0,0,0,-,-,-,-,-,-,0
"Beatty, Will",NYG,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Mulligan, Matthew",[],4,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Pitoitua, Ropati",TEN,12,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Slauson, Matt",CHI,5,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Woodhead, Danny",SD,3,0,0.0,0,-,0,0,-,-,-,-,-,-,-,-,-,0
"Dunlap, King",SD,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Fokou, Moise",NO,2,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Walker, Reggie",SD,11,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Foster, Ramon",PIT,14,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Hills, Tony",DAL,3,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Hood, Ziggy",JAX,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Johnson, David",SD,14,0,0.0,0,-,-,0,-,-,-,0,0,0,-,-,-,0
"Legursky, Doug",SD,2,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Lewis, Keenan",NO,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"English, Larry",TB,12,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Spillman, C.J.",DAL,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Vasquez, Louis",DEN,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Jean Francois, Ricky",IND,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Wallace, Cody",PIT,15,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Unger, Max",SEA,6,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Bennett, Michael",SEA,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Dotson, Demar",TB,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Miller III, Roy",JAX,14,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Orakpo, Brian",WSH,7,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Rinehart, Chad",SD,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Brown, Everette",WSH,6,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Fiammetta, Tony",CHI,1,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Jansen, J.J.",CAR,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Martin, Sherrod",JAX,13,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Munnerlyn, Captain",MIN,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Schwartz, Geoff",NYG,2,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Williams, Garry",CAR,1,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Britton, Eben",CHI,10,0,0.0,0,-,-,0,-,-,-,-,-,-,-,-,-,0
"Knighton, Terrance",DEN,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Monroe, Eugene",BAL,11,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Ellerbe, Dannell",MIA,1,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Kruger, Paul",CLE,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Oher, Michael",TEN,11,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Webb, Lardarius",BAL,13,0,0.0,0,-,-,-,-,-,-,0,0,0,0,0,0,0
"Barwin, Connor",PHI,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Cushing, Brian",HOU,14,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Jamison, Tim",HOU,13,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Quin, Glover",DET,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Bernadeau, Mackenzy",DAL,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Bush, Rafael",NO,10,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Franks, Dominique",BAL,4,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Hawley, Joe",ATL,4,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Peters, Corey",ATL,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Carrington, Alex",STL,8,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Moats, Arthur",PIT,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Nelson, David",NYJ,6,0,0.0,0,-,-,0,-,-,-,-,-,-,-,-,-,0
"Urbik, Kraig",BUF,16,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Louis, Lance",IND,9,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Melton, Henry",DAL,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Webb, J'Marcus",MIN,1,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Wootton, Corey",MIN,15,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Wright, Major",TB,12,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Dunlap, Carlos",CIN,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Ghee, Brandon",TEN,6,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"McDonald, Clinton",TB,13,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Miles, Jeromy",BAL,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Rey, Vincent",CIN,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Greenway, Chad",MIN,12,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Peterson, Adrian",MIN,1,0,0.0,0,-,0,0,-,-,-,-,-,-,-,-,-,0
"Robison, Brian",MIN,16,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Meriweather, Brandon",WSH,10,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Ventrone, Bubba",SF,8,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Bushrod, Jermon",CHI,14,0,0.0,0,-,-,-,-,-,-,-,-,-,-,-,-,0
"Young, Usama",OAK,6,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
"Dahl, Craig",SF,16,0,0.0,0,-,0,-,-,-,-,-,-,-,0,0,0,0
"DeOssie, Zak",NYG,16,0,0.0,0,-,0,-,-,-,-,-,-,-,-,-,-,0
"DeVito, Mike",KC,1,0,0.0,0,-,-,-,-,-,-,-,-,-,0,0,0,0
