,player,position,Fantasy Points,FP deviation
154,DeAndrew White,WR,0.0,
155,Evan Spencer,WR,0.0,
162,Darius Jennings,WR,0.0,
63,Nick Toon,WR,0.0,
94,Frankie Hammond,WR,0.0,
84,Marlon Brown,WR,0.0,
80,Aaron Dobson,WR,0.0,
78,Kenbrell Thompkins,WR,0.0,
76,Brittan Golden,WR,0.0,
137,Kenny Bell,WR,0.0,
68,Rueben Randle,WR,0.0,
70,Chris Givens,WR,0.0,
