Player,Team,Games Played,Receptions,Receiving Yards,Yards / Reception,Receiving Yards / Game,Yards after Catch,Receiving Touchdowns,Longest Reception,Receptions of 25+ Yards,100 Yard Games,Targets,Drops,% Caught,Fumbles,Fumbles Lost,First Downs Receiving,First Down %
"Woodhead, Danny",SD,16,76,605,8.0,37.8,494,6,39,3,0,87,1,87.4%,1,1,30,39.5%
"Sproles, Darren",NO,15,71,604,8.5,40.3,551,2,48,3,1,89,0,79.8%,0,0,24,33.8%
"Cotchery, Jerricho",PIT,16,46,602,13.1,37.6,231,10,36,5,1,76,2,60.5%,0,0,36,78.3%
"Johnson, Stevie",BUF,12,52,597,11.5,49.8,228,3,45,2,1,101,7,51.5%,1,1,33,63.5%
"Avery, Donnie",KC,16,40,596,14.9,37.3,201,2,51,7,1,72,5,55.6%,1,1,25,62.5%
"Forte, Matt",CHI,16,74,594,8.0,37.1,554,3,34,4,0,94,3,78.7%,0,0,23,31.1%
"Miller, Heath",PIT,14,58,593,10.2,42.4,259,1,31,3,0,78,2,74.4%,1,1,30,51.7%
"Gronkowski, Rob",NE,7,39,592,15.2,84.6,210,4,50,5,3,66,1,59.1%,0,0,31,79.5%
"Woods, Robert",BUF,14,40,587,14.7,41.9,120,3,57,6,0,85,1,47.1%,0,0,26,65.0%
"Jones, Julio",ATL,5,41,580,14.2,116.0,268,2,81,4,3,60,2,68.3%,2,1,25,61.0%
"Walker, Delanie",TEN,15,60,571,9.5,38.1,193,6,33,3,0,86,4,69.8%,1,0,30,50.0%
"Wright, Tim",TB,16,54,571,10.6,35.7,143,5,36,3,0,76,1,71.1%,0,0,30,55.6%
"Givens, Chris",STL,16,34,569,16.7,35.6,265,0,47,6,1,83,2,41.0%,1,1,27,79.4%
"Ginn Jr., Ted",CAR,16,36,556,15.4,34.8,225,5,47,8,0,68,3,52.9%,0,0,24,66.7%
"Moreno, Knowshon",DEN,16,60,548,9.1,34.3,498,3,35,4,0,74,5,81.1%,0,0,29,48.3%
"Bell, Joique",DET,16,53,547,10.3,34.2,564,0,37,5,0,69,6,76.8%,0,0,22,41.5%
"Graham, Garrett",HOU,13,49,545,11.1,41.9,219,5,42,4,1,89,2,55.1%,2,1,26,53.1%
"McCoy, LeSean",PHI,16,52,539,10.4,33.7,624,2,70,4,1,64,2,81.3%,0,0,23,44.2%
"Brown, Marlon",BAL,14,49,524,10.7,37.4,247,7,59,2,0,83,3,59.0%,0,0,29,59.2%
"Kerley, Jeremy",NYJ,12,43,523,12.2,43.6,182,3,26,3,0,72,1,59.7%,0,0,30,69.8%
"Myers, Brandon",NYG,16,47,522,11.1,32.6,179,4,27,5,0,75,2,62.7%,0,0,28,59.6%
"Dobson, Aaron",NE,12,37,519,14.0,43.3,207,4,81,4,1,72,7,51.4%,1,0,25,67.6%
"Bernard, Giovani",CIN,16,56,514,9.2,32.1,536,3,41,5,0,71,2,78.9%,0,0,21,37.5%
"Thomas, Pierre",NO,16,77,513,6.7,32.1,671,3,29,4,0,84,2,91.7%,1,0,21,27.3%
"McCluster, Dexter",KC,15,53,511,9.6,34.1,272,2,43,4,0,83,3,63.9%,0,0,28,52.8%
"Bush, Reggie",DET,14,54,506,9.4,36.1,493,3,77,4,1,80,9,67.5%,0,0,22,40.7%
"Wayne, Reggie",IND,7,38,503,13.2,71.9,175,2,35,4,1,58,4,65.5%,0,0,28,73.7%
"Celek, Brent",PHI,16,32,502,15.7,31.4,303,6,42,8,0,51,3,62.7%,1,1,22,68.8%
"Reed, Jordan",WSH,9,45,499,11.1,55.4,256,3,38,3,1,60,3,75.0%,0,0,30,66.7%
"Durham, Kris",DET,16,38,490,12.9,30.6,135,2,40,4,0,85,5,44.7%,1,1,25,65.8%
"Sanders, Ace",JAX,15,51,484,9.5,32.3,303,1,51,5,0,87,3,58.6%,0,0,22,43.1%
"Brown, Vincent",SD,16,41,472,11.5,29.5,93,1,51,2,1,69,1,59.4%,0,0,28,68.3%
"Roberts, Andre",ARZ,16,43,471,11.0,29.4,120,2,34,3,0,76,1,56.6%,0,0,22,51.2%
"Patterson, Cordarrelle",MIN,16,45,469,10.4,29.3,291,4,79,2,1,77,3,58.4%,0,0,19,42.2%
"Ertz, Zach",PHI,16,36,469,13.0,29.3,171,4,38,4,0,56,1,64.3%,0,0,25,69.4%
"Thompkins, Kenbrell",NE,12,32,466,14.6,38.8,143,4,49,4,1,70,7,45.7%,0,0,21,65.6%
"Little, Greg",CLE,16,41,465,11.3,29.1,191,2,47,4,1,99,6,41.4%,0,0,22,53.7%
"Burleson, Nate",DET,9,39,461,11.8,51.2,221,1,47,4,1,54,2,72.2%,1,0,23,59.0%
"Gresham, Jermaine",CIN,14,46,458,10.0,32.7,282,4,30,4,0,67,3,68.7%,3,3,24,52.2%
"Moore, Lance",NO,13,37,457,12.4,35.2,64,2,44,3,0,54,2,68.5%,0,0,26,70.3%
"Holmes, Santonio",NYJ,11,23,456,19.8,41.5,128,1,69,7,1,59,4,39.0%,0,0,19,82.6%
"Jones, Jacoby",BAL,12,37,455,12.3,37.9,117,2,66,4,1,67,1,55.2%,0,0,20,54.1%
"Sanu, Mohamed",CIN,16,47,455,9.7,28.4,262,2,32,1,0,78,6,60.3%,1,1,28,59.6%
"Housler, Rob",ARZ,13,39,454,11.6,34.9,210,1,31,3,0,57,4,68.4%,1,0,22,56.4%
"Moss, Santana",WSH,16,42,452,10.8,28.3,186,2,28,2,0,78,7,53.8%,1,1,28,66.7%
"Matthews, Rishard",MIA,16,41,448,10.9,28.0,183,2,29,1,1,67,1,61.2%,0,0,26,63.4%
"Avant, Jason",PHI,16,38,447,11.8,27.9,90,2,31,2,0,76,1,50.0%,1,1,23,60.5%
"Brown, Mike",JAX,11,32,446,13.9,40.5,171,2,43,3,1,56,3,57.1%,2,1,20,62.5%
"Eifert, Tyler",CIN,15,39,445,11.4,29.7,244,2,61,4,0,59,2,66.1%,0,0,19,48.7%
"Underwood, Tiquan",TB,12,24,440,18.3,36.7,105,4,85,3,1,46,3,52.2%,0,0,19,79.2%
"Wright, Jarius",MIN,16,26,434,16.7,27.1,124,3,42,5,0,43,1,60.5%,0,0,20,76.9%
"Cobb, Randall",GB,6,31,433,14.0,72.2,188,4,48,4,2,47,1,66.0%,0,0,18,58.1%
"Holmes, Andre",OAK,10,25,431,17.2,43.1,129,1,40,4,1,52,1,48.1%,0,0,21,84.0%
"Vereen, Shane",NE,8,47,427,9.1,53.4,307,3,50,1,1,69,7,68.1%,0,0,25,53.2%
"Nelson, David",NYJ,12,36,423,11.8,35.3,115,2,31,4,0,60,2,60.0%,0,0,20,55.6%
"Austin, Tavon",STL,13,40,418,10.5,32.2,236,4,81,4,1,69,7,58.0%,1,1,17,42.5%
"Pettigrew, Brandon",DET,14,41,416,10.2,29.7,203,2,31,2,0,63,3,65.1%,1,1,19,46.3%
"Blackmon, Justin",JAX,4,29,415,14.3,103.8,212,1,67,2,2,48,1,60.4%,0,0,17,58.6%
"Rivera, Mychal",OAK,16,38,407,10.7,25.4,112,4,37,3,0,60,3,63.3%,0,0,25,65.8%
"Pettis, Austin",STL,16,38,399,10.5,24.9,122,4,31,3,0,63,4,60.3%,0,0,25,65.8%
"Bell, Le'Veon",PIT,13,45,399,8.9,30.7,469,0,43,4,0,66,6,68.2%,0,0,13,28.9%
"Cumberland, Jeff",NYJ,15,26,398,15.3,26.5,163,4,47,6,0,40,1,65.0%,0,0,15,57.7%
"Winslow, Kellen",NYJ,12,31,388,12.5,32.3,129,2,34,4,0,47,0,66.0%,0,0,20,64.5%
"Jackson, Fred",BUF,16,47,387,8.2,24.2,430,1,37,1,0,66,5,71.2%,1,0,16,34.0%
"Miller, Zach",SEA,14,33,387,11.7,27.6,158,5,60,2,0,56,1,58.9%,0,0,18,54.5%
"Green, Ladarius",SD,16,17,376,22.1,23.5,166,3,60,8,0,30,0,56.7%,0,0,15,88.2%
"Hankerson, Leonard",WSH,10,30,375,12.5,37.5,140,3,29,3,0,50,2,60.0%,0,0,21,70.0%
"Ellington, Andre",ARZ,15,39,371,9.5,24.7,274,1,38,3,0,58,4,67.2%,0,0,21,53.8%
"Beasley, Cole",DAL,14,39,368,9.4,26.3,190,2,23,0,0,54,1,72.2%,1,0,20,51.3%
"Robinson, Aldrick",WSH,16,18,365,20.3,22.8,82,2,62,5,0,46,3,39.1%,0,0,14,77.8%
"Bess, Davone",CLE,14,42,362,8.6,25.9,147,2,20,0,0,86,9,48.8%,0,0,23,54.8%
"Graham, T.J.",BUF,16,23,361,15.7,22.6,91,2,47,6,0,57,3,40.4%,1,1,13,56.5%
"Lewis, Marcedes",JAX,11,25,359,14.4,32.6,231,4,41,7,0,47,3,53.2%,1,1,17,68.0%
"Hunter, Justin",TEN,14,18,354,19.7,25.3,97,4,57,5,2,42,0,42.9%,0,0,16,88.9%
"Murray, DeMarco",DAL,14,53,350,6.6,25.0,396,1,22,0,0,66,4,80.3%,1,0,18,34.0%
"Kearse, Jermaine",SEA,15,22,346,15.7,23.1,56,4,43,4,0,38,2,57.9%,0,0,16,72.7%
"Johnson, Chris",TEN,16,42,345,8.2,21.6,401,4,66,3,0,52,4,80.8%,1,1,10,23.8%
"Carlson, John",MIN,13,32,344,10.8,26.5,169,1,30,2,0,47,1,68.1%,0,0,19,59.4%
"Clark, Dallas",BAL,12,31,343,11.1,28.6,169,3,45,3,0,52,4,59.6%,0,0,19,61.3%
"Ogbonnaya, Chris",CLE,16,48,343,7.2,21.4,293,2,17,0,0,75,6,64.0%,1,1,15,31.3%
"Hill, Stephen",NYJ,12,24,342,14.3,28.5,99,1,51,4,1,58,1,41.4%,1,1,15,62.5%
"Rodgers, Jacquizz",ATL,15,52,341,6.6,22.7,388,2,22,0,0,62,1,83.9%,1,1,12,23.1%
"Williams, DeAngelo",CAR,15,26,333,12.8,22.2,397,1,72,2,0,36,1,72.2%,2,1,10,38.5%
"Reece, Marcel",OAK,16,32,331,10.3,20.7,237,2,45,3,0,54,4,59.3%,0,0,12,37.5%
"Thigpen, Marcus",MIA,16,8,97,12.1,6.1,88,1,50,1,0,11,1,72.7%,0,0,4,50.0%
"Hillis, Peyton",NYG,7,13,96,7.4,13.7,106,0,16,0,0,21,0,61.9%,1,1,5,38.5%
"Britt, Kenny",TEN,12,11,96,8.7,8.0,6,0,15,0,0,35,4,31.4%,0,0,5,45.5%
"Thompson, Deonte",BAL,7,10,96,9.6,13.7,21,0,33,1,0,19,0,52.6%,0,0,4,40.0%
"Starks, James",GB,13,10,89,8.9,6.8,111,1,23,0,0,13,1,76.9%,0,0,3,30.0%
"Mastrud, Jeron",OAK,16,6,88,14.7,5.5,56,0,41,1,0,13,1,46.2%,0,0,3,50.0%
"Gerhart, Toby",MIN,14,13,88,6.8,6.3,83,0,13,0,0,19,1,68.4%,0,0,3,23.1%
"Manningham, Mario",SF,6,9,85,9.4,14.2,20,0,14,0,0,23,2,39.1%,0,0,5,55.6%
"Broyles, Ryan",DET,6,8,85,10.6,14.2,36,0,22,0,0,14,3,57.1%,0,0,4,50.0%
"Brown, Bryce",PHI,16,8,84,10.5,5.3,94,0,35,1,0,13,1,61.5%,0,0,2,25.0%
"Hogan, Chris",BUF,16,10,83,8.3,5.2,30,0,16,0,0,17,0,58.8%,0,0,4,40.0%
"Scheffler, Tony",DET,5,7,82,11.7,16.4,30,0,22,0,0,12,3,58.3%,0,0,4,57.1%
"Forsett, Justin",JAX,9,15,82,5.5,9.1,109,0,14,0,0,16,0,93.8%,1,0,5,33.3%
"Lockette, Ricardo",SEA,8,5,82,16.4,10.3,16,0,33,2,0,7,0,71.4%,0,0,3,60.0%
"Kuhn, John",GB,15,13,81,6.2,5.4,87,0,20,0,0,19,1,68.4%,0,0,2,15.4%
"Pascoe, Bear",NYG,16,12,81,6.8,5.1,52,0,14,0,0,20,1,60.0%,0,0,3,25.0%
"Harris, Dwayne",DAL,13,9,80,8.9,6.2,37,2,24,0,0,14,2,64.3%,0,0,5,55.6%
"Summers, Frank",BUF,15,7,79,11.3,5.3,69,1,34,1,0,8,0,87.5%,0,0,5,71.4%
"Smith, Lee",BUF,16,5,78,15.6,4.9,42,0,28,1,0,9,1,55.6%,0,0,4,80.0%
"Pead, Isaiah",STL,10,11,78,7.1,7.8,70,0,14,0,0,15,0,73.3%,0,0,2,18.2%
"Morris, Alfred",WSH,16,9,78,8.7,4.9,80,0,17,0,0,12,2,75.0%,0,0,2,22.2%
"Burton, Stephen",JAX,4,8,76,9.5,19.0,37,0,22,0,0,13,1,61.5%,0,0,4,50.0%
"Grimes, Jonathan",HOU,2,6,76,12.7,38.0,65,0,31,1,0,6,0,100.0%,1,1,2,33.3%
"Ballard, Jake",ARZ,8,7,75,10.7,9.4,38,2,29,1,0,9,0,77.8%,0,0,5,71.4%
"Davis, Knile",KC,16,11,75,6.8,4.7,97,0,17,0,0,15,1,73.3%,1,0,4,36.4%
"Hanna, James",DAL,16,12,73,6.1,4.6,59,0,21,0,0,15,0,80.0%,0,0,2,16.7%
"Young, Darrel",WSH,13,4,71,17.8,5.5,41,1,62,1,0,9,3,44.4%,0,0,1,25.0%
"Taylor, Stepfan",ARZ,16,8,71,8.9,4.4,61,0,29,1,0,9,0,88.9%,0,0,2,25.0%
"Davis, Fred",WSH,10,7,70,10.0,7.0,20,1,23,0,0,18,1,38.9%,0,0,5,71.4%
"Johnson, David",PIT,5,4,70,17.5,14.0,35,0,32,1,0,6,0,66.7%,0,0,3,75.0%
"Egnew, Michael",MIA,16,7,69,9.9,4.3,30,0,14,0,0,11,0,63.6%,0,0,2,28.6%
"Bohanon, Tommy",NYJ,16,11,69,6.3,4.3,61,0,21,0,0,16,1,68.8%,0,0,4,36.4%
"Smith, Alfonso",ARZ,16,10,68,6.8,4.3,84,0,10,0,0,13,0,76.9%,0,0,1,10.0%
"Ingram, Mark",NO,11,7,68,9.7,6.2,78,0,23,0,0,11,1,63.6%,0,0,2,28.6%
"Toon, Nick",NO,8,4,68,17.0,8.5,10,0,35,1,0,12,2,33.3%,0,0,2,50.0%
"Page, Eric",TB,16,4,68,17.0,4.3,15,0,30,1,0,9,0,44.4%,0,0,3,75.0%
"Maehl, Jeff",PHI,16,4,67,16.8,4.2,35,1,37,1,0,9,1,44.4%,0,0,3,75.0%
"Ross, Jeremy",[],13,6,67,11.2,5.2,24,1,19,0,0,12,2,50.0%,0,0,6,100.0%
"Martin, Doug",TB,6,12,66,5.5,11.0,63,0,13,0,0,24,5,50.0%,0,0,1,8.3%
"White, Myles",GB,7,9,66,7.3,9.4,54,0,15,0,0,12,1,75.0%,0,0,1,11.1%
"Dwyer, Jonathan",PIT,15,8,64,8.0,4.3,56,0,23,0,0,11,1,72.7%,0,0,3,37.5%
"Ajirotutu, Seyi",SD,14,3,64,21.3,4.6,10,1,26,1,0,4,0,75.0%,0,0,3,100.0%
"Wheaton, Markus",PIT,12,6,64,10.7,5.3,41,0,21,0,0,13,2,46.2%,0,0,5,83.3%
"Jones, Felix",PIT,16,9,63,7.0,3.9,51,0,15,0,0,13,0,69.2%,0,0,2,22.2%
"Collie, Austin",NE,7,6,63,10.5,9.0,11,0,19,0,0,11,0,54.5%,0,0,6,100.0%
"Thomas, Daniel",MIA,15,15,63,4.2,4.2,83,2,16,0,0,17,0,88.2%,0,0,6,40.0%
"Olawale, Jamize",OAK,16,7,63,9.0,3.9,55,0,25,1,0,11,1,63.6%,0,0,3,42.9%
"Noble, Danny",JAX,8,2,63,31.5,7.9,50,1,62,1,0,3,1,66.7%,0,0,1,50.0%
"Sudfeld, Zach",[],14,5,63,12.6,4.5,32,0,25,1,0,10,0,50.0%,0,0,4,80.0%
"Moore, Marlon",[],14,7,62,8.9,4.4,13,0,13,0,0,15,2,46.7%,0,0,4,57.1%
"Jean, Lestar",HOU,13,4,35,8.8,2.7,8,0,11,0,0,8,0,50.0%,0,0,3,75.0%
"Jones, Greg",HOU,16,5,34,6.8,2.1,9,0,19,0,0,11,0,45.5%,0,0,1,20.0%
"Dickerson, Dorin",DET,5,2,34,17.0,6.8,25,0,26,1,0,5,1,40.0%,0,0,1,50.0%
"Jones, Dominique",[],8,2,34,17.0,4.3,27,0,21,0,0,3,1,66.7%,0,0,2,100.0%
"Patton, Quinton",SF,6,3,34,11.3,5.7,8,0,29,1,0,5,1,60.0%,0,0,1,33.3%
"Webb, Joe",MIN,16,5,33,6.6,2.1,4,0,15,0,0,11,0,45.5%,0,0,2,40.0%
"Tanner, Phillip",DAL,16,3,33,11.0,2.1,35,0,17,0,0,4,0,75.0%,0,0,1,33.3%
"Davis, Kellen",SEA,15,3,32,10.7,2.1,12,1,23,0,0,4,0,75.0%,0,0,2,66.7%
"Mooney, Collin",TEN,12,6,32,5.3,2.7,36,0,22,0,0,6,0,100.0%,0,0,1,16.7%
"Criner, Juron",OAK,1,3,32,10.7,32.0,13,0,20,0,0,8,0,37.5%,0,0,2,66.7%
"Sims, Dion",MIA,15,6,32,5.3,2.1,8,1,8,0,0,10,2,60.0%,0,0,3,50.0%
"Casey, James",PHI,15,3,31,10.3,2.1,32,0,12,0,0,6,1,50.0%,0,0,3,100.0%
"Conner, John",NYG,13,6,31,5.2,2.4,30,0,12,0,0,11,0,54.5%,0,0,2,33.3%
"Thomas, Lamaar",JAX,2,2,31,15.5,15.5,16,0,18,0,0,3,0,66.7%,0,0,2,100.0%
"Donnell, Larry",NYG,16,3,31,10.3,1.9,10,0,11,0,0,6,0,50.0%,0,0,2,66.7%
"Phillips, John",SD,15,4,30,7.5,2.0,22,0,13,0,0,6,0,66.7%,0,0,1,25.0%
"Dixon, Anthony",SF,16,3,30,10.0,1.9,28,0,19,0,0,3,0,100.0%,0,0,1,33.3%
"Taylor, Ryan",GB,14,6,30,5.0,2.1,18,0,8,0,0,9,1,66.7%,1,0,2,33.3%
"Franklin, Johnathan",GB,11,4,30,7.5,2.7,28,0,10,0,0,5,0,80.0%,0,0,2,50.0%
"Ewing, Bradie",ATL,2,2,29,14.5,14.5,27,0,15,0,0,2,0,100.0%,0,0,2,100.0%
"Baldwin, Jon",SF,7,3,28,9.3,4.0,6,0,15,0,0,9,0,33.3%,0,0,1,33.3%
"Smith, Brad",PHI,6,2,27,13.5,4.5,22,0,14,0,0,2,0,100.0%,0,0,2,100.0%
"Robinson, Michael",SEA,9,2,27,13.5,3.0,11,0,21,0,0,3,0,66.7%,0,0,1,50.0%
"Riddick, Theo",DET,14,4,26,6.5,1.9,17,0,8,0,0,8,1,50.0%,0,0,1,25.0%
"Hill, Michael",[],8,2,23,11.5,2.9,15,0,12,0,0,2,0,100.0%,0,0,1,50.0%
"Green-Ellis, BenJarvus",CIN,16,4,22,5.5,1.4,9,0,10,0,0,8,1,50.0%,0,0,1,25.0%
"Chekwa, Chimdi",OAK,15,1,22,22.0,1.5,14,0,22,0,0,1,0,100.0%,0,0,1,100.0%
"Crabtree, Tom",TB,7,4,21,5.3,3.0,13,1,14,0,0,7,1,57.1%,0,0,2,50.0%
"Demps, Jeff",TB,2,3,21,7.0,10.5,28,0,10,0,0,3,0,100.0%,0,0,1,33.3%
"McGahee, Willis",CLE,12,8,20,2.5,1.7,11,0,9,0,0,11,1,72.7%,0,0,0,0.0%
"Hall, Chad",KC,9,2,20,10.0,2.2,17,0,11,0,0,7,0,28.6%,0,0,2,100.0%
"Allen, Dwayne",IND,1,1,20,20.0,20.0,6,1,20,0,0,2,0,50.0%,0,0,1,100.0%
"Moye, Derek",PIT,7,2,20,10.0,2.9,0,1,19,0,0,6,1,33.3%,0,0,2,100.0%
"Goodson, Mike",NYJ,2,2,19,9.5,9.5,18,0,10,0,0,3,0,66.7%,0,0,2,100.0%
"Doyle, Jack",IND,15,5,19,3.8,1.3,13,0,8,0,0,7,0,71.4%,0,0,0,0.0%
"Bajema, Billy",BAL,6,2,18,9.0,3.0,9,0,18,0,0,2,0,100.0%,0,0,1,50.0%
"Ebert, Jeremy",JAX,5,3,18,6.0,3.6,6,0,8,0,0,8,0,37.5%,0,0,0,0.0%
"Osgood, Kassim",SF,14,1,17,17.0,1.2,5,0,17,0,0,1,0,100.0%,0,0,0,0.0%
"Harvin, Percy",SEA,1,1,17,17.0,17.0,7,0,17,0,0,1,0,100.0%,0,0,1,100.0%
"Sperry, Kory",ARZ,8,1,16,16.0,2.0,1,0,16,0,0,1,0,100.0%,0,0,1,100.0%
"Mulligan, Matthew",NE,15,2,16,8.0,1.1,18,1,15,0,0,3,0,66.7%,0,0,1,50.0%
"James, LaMichael",SF,10,2,16,8.0,1.6,13,0,12,0,0,3,1,66.7%,0,0,1,50.0%
"Choice, Tashard",[],15,5,15,3.0,1.0,24,0,5,0,0,9,3,55.6%,0,0,1,20.0%
"Gurley, Tori",CLE,3,1,15,15.0,5.0,2,0,15,0,0,3,0,33.3%,0,0,1,100.0%
"Williams, Nick",WSH,5,3,15,5.0,3.0,1,0,6,0,0,11,0,27.3%,0,0,2,66.7%
"Staley, Joe",SF,16,1,14,14.0,0.9,5,0,14,0,0,1,0,100.0%,0,0,1,100.0%
"Redman, Isaac",PIT,3,4,14,3.5,4.7,11,0,7,0,0,5,0,80.0%,0,0,1,25.0%
"Johnson, Damaris",PHI,13,2,14,7.0,1.1,5,0,8,0,0,3,0,66.7%,0,0,0,0.0%
"Jacobs, Brandon",NYG,7,2,13,6.5,1.9,16,0,8,0,0,7,3,28.6%,0,0,0,0.0%
"Rosario, Dante",CHI,15,1,13,13.0,0.9,16,0,13,0,0,4,0,25.0%,0,0,1,100.0%
"Gordon, Josh",CLE,14,87,1646,18.9,117.6,641,9,95,15,7,159,8,54.7%,0,0,64,73.6%
"Brown, Antonio",PIT,16,110,1499,13.6,93.7,608,8,56,12,5,166,7,66.3%,0,0,69,62.7%
"Johnson, Calvin",DET,14,84,1492,17.8,106.6,499,12,87,10,7,157,8,53.5%,1,1,69,82.1%
"Thomas, Demaryius",DEN,16,92,1430,15.5,89.4,718,14,78,17,6,142,8,64.8%,1,0,66,71.7%
"Green, A.J.",CIN,16,98,1426,14.6,89.1,419,11,82,12,6,178,7,55.1%,1,0,65,66.3%
"Jeffery, Alshon",CHI,16,89,1421,16.0,88.8,432,7,80,15,5,149,5,59.7%,3,1,62,69.7%
"Johnson, Andre",HOU,16,109,1407,12.9,87.9,421,5,62,12,6,181,8,60.2%,0,0,69,63.3%
"Garcon, Pierre",WSH,16,113,1346,11.9,84.1,672,5,53,14,5,181,7,62.4%,1,1,60,53.1%
"Jackson, DeSean",PHI,16,82,1332,16.2,83.3,507,9,61,16,5,126,3,65.1%,1,0,60,73.2%
"Nelson, Jordy",GB,16,85,1314,15.5,82.1,447,8,76,19,5,127,3,66.9%,0,0,60,70.6%
"Marshall, Brandon",CHI,16,100,1295,13.0,80.9,318,12,44,9,6,164,12,61.0%,0,0,70,70.0%
"Decker, Eric",DEN,16,87,1288,14.8,80.5,404,11,61,12,5,136,7,64.0%,2,1,63,72.4%
"Bryant, Dez",DAL,16,93,1233,13.3,77.1,517,13,79,12,4,160,6,58.1%,3,1,67,72.0%
"Jackson, Vincent",TB,16,78,1224,15.7,76.5,325,7,60,11,4,159,9,49.1%,1,0,60,76.9%
"Graham, Jimmy",NO,16,86,1215,14.1,75.9,449,16,56,13,6,143,3,60.1%,0,0,61,70.9%
"Boldin, Anquan",SF,16,85,1179,13.9,73.7,468,7,63,8,2,129,5,65.9%,0,0,62,72.9%
"Smith, Torrey",BAL,16,65,1128,17.4,70.5,404,4,74,13,2,137,7,47.4%,1,0,49,75.4%
"Hilton, T.Y.",IND,16,82,1083,13.2,67.7,402,5,73,9,5,138,4,59.4%,0,0,46,56.1%
"Wright, Kendall",TEN,16,94,1079,11.5,67.4,596,2,45,8,2,139,7,67.6%,2,0,52,55.3%
"Douglas, Harry",ATL,16,85,1067,12.6,66.7,533,2,80,10,3,132,6,64.4%,2,1,47,55.3%
"Edelman, Julian",NE,16,105,1056,10.1,66.0,500,6,44,5,4,151,8,69.5%,0,0,54,51.4%
"Allen, Keenan",SD,15,71,1046,14.7,69.7,438,8,43,8,5,104,2,68.3%,1,1,54,76.1%
"Floyd, Michael",ARZ,16,65,1041,16.0,65.1,286,5,91,8,2,112,5,58.0%,0,0,48,73.8%
"Hartline, Brian",MIA,16,76,1016,13.4,63.5,317,4,50,6,2,133,9,57.1%,0,0,53,69.7%
"Cruz, Victor",NYG,14,73,998,13.7,71.3,271,4,70,6,4,122,6,59.8%,1,1,45,61.6%
"Fitzgerald, Larry",ARZ,16,82,954,11.6,59.6,355,10,75,5,2,134,2,61.2%,1,1,49,59.8%
"Colston, Marques",NO,15,75,943,12.6,62.9,255,5,35,4,2,110,1,68.2%,0,0,54,72.0%
"Wallace, Mike",MIA,16,73,930,12.7,58.1,283,5,57,9,4,141,3,51.8%,0,0,46,63.0%
"Washington, Nate",TEN,16,58,919,15.8,57.4,243,3,77,11,3,105,0,55.2%,0,0,43,74.1%
"Cameron, Jordan",CLE,15,80,917,11.5,61.1,257,7,53,5,2,118,2,67.8%,1,0,47,58.8%
"Tate, Golden",SEA,16,64,898,14.0,56.1,515,5,80,11,2,98,2,65.3%,1,0,41,64.1%
"Nicks, Hakeem",NYG,15,56,896,16.0,59.7,283,0,57,10,3,101,5,55.4%,0,0,38,67.9%
"Streater, Rod",OAK,16,60,888,14.8,55.5,328,4,66,7,1,99,5,60.6%,1,1,39,65.0%
"Gates, Antonio",SD,16,77,872,11.3,54.5,410,4,56,4,2,113,4,68.1%,2,2,49,63.6%
"Gonzalez, Tony",ATL,16,83,859,10.4,53.7,241,8,25,1,1,121,3,68.6%,0,0,56,67.5%
"Witten, Jason",DAL,16,73,851,11.7,53.2,336,8,34,9,3,111,3,65.8%,0,0,44,60.3%
