Player,Team,Games Played,All Purpose Yards,Yards From Scrimmage,Yards From Scrimmage / Game,Touchdowns,Total Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Yards / Game,Rushing Touchdowns,Receiving Yards,Yards / Reception,Receiving Yards / Game,Receiving Touchdowns
"Smith, Geno",NYJ,16,379,379,23.7,6,3425,366,5.1,22.9,6,13,13.0,0.8,0
"Luck, Andrew",IND,16,377,377,23.6,4,4199,377,6.0,23.6,4,-,-,-,-
"Green, Ladarius",SD,16,376,376,23.5,3,376,0,-,0.0,0,376,22.1,23.5,3
"Graham, T.J.",BUF,16,394,375,23.4,2,394,14,3.5,0.9,0,361,15.7,22.6,2
"Taylor, Tyrod",BAL,3,70,70,23.3,0,72,64,8.0,21.3,0,6,6.0,2.0,0
"Todman, Jordan",JAX,16,1084,372,23.3,3,1084,256,3.4,16.0,2,116,8.3,7.3,1
"Dunbar, Lance",DAL,9,237,209,23.2,0,237,150,5.0,16.7,0,59,8.4,6.6,0
"Hunter, Kendall",SF,16,452,371,23.2,4,452,358,4.6,22.4,3,13,6.5,0.8,0
"Kearse, Jermaine",SEA,15,629,346,23.1,4,629,-,-,-,-,346,15.7,23.1,4
"Taylor, Kerry",[],10,289,229,22.9,1,289,-,-,-,-,229,10.4,22.9,1
"Cunningham, Benny",STL,14,619,320,22.9,1,619,261,5.6,18.6,1,59,9.8,4.2,0
"Leonard, Brian",TB,16,361,361,22.6,0,361,182,3.9,11.4,0,179,6.2,11.2,0
"Robinson, Aldrick",WSH,16,361,361,22.6,2,361,-4,-1.3,-0.3,0,365,20.3,22.8,2
"Robinson, Khiry",NO,10,224,224,22.4,1,224,224,4.2,22.4,1,-,-,-,-
"Fasano, Anthony",KC,9,200,200,22.2,3,200,-,-,-,-,200,8.7,22.2,3
"Austin, Miles",DAL,11,244,244,22.2,0,244,-,-,-,-,244,10.2,22.2,0
"Locker, Jake",TEN,7,155,155,22.1,2,1411,155,6.5,22.1,2,-,-,-,-
"Meachem, Robert",NO,15,323,323,21.5,2,323,-1,-0.5,-0.1,0,324,20.3,21.6,2
"Johnson, Darius",ATL,10,210,210,21.0,1,210,-,-,-,-,210,9.6,21.0,1
"Heyward-Bey, Darrius",IND,16,335,335,20.9,1,335,26,8.7,1.6,0,309,10.7,19.3,1
"Fitzpatrick, Ryan",TEN,11,225,225,20.5,3,2679,225,5.2,20.5,3,0,0.0,0.0,0
"Gates, Clyde",NYJ,6,331,122,20.3,0,331,-,-,-,-,122,10.2,20.3,0
"Doss, Tandon",BAL,15,664,305,20.3,1,664,-,-,-,-,305,16.1,20.3,0
"Turbin, Robert",SEA,16,501,324,20.3,0,501,264,3.4,16.5,0,60,7.5,3.8,0
"Allen, Dwayne",IND,1,20,20,20.0,1,20,-,-,-,-,20,20.0,20.0,1
"Graham, Ray",HOU,1,20,20,20.0,0,20,8,2.0,8.0,0,12,12.0,12.0,0
"Jones, Taiwan",OAK,16,701,78,4.9,0,701,23,4.6,1.4,0,55,27.5,3.4,0
"Smith, Brad",PHI,6,135,29,4.8,0,135,2,1.0,0.3,0,27,13.5,4.5,0
"Peterson, Patrick",ARZ,16,291,75,4.7,0,308,21,5.3,1.3,0,54,9.0,3.4,0
"Ajirotutu, Seyi",SD,14,64,64,4.6,1,64,-,-,-,-,64,21.3,4.6,1
"Hanna, James",DAL,16,73,73,4.6,0,73,-,-,-,-,73,6.1,4.6,0
"Develin, James",NE,16,72,72,4.5,1,72,10,2.5,0.6,1,62,15.5,3.9,0
"Sudfeld, Zach",[],14,63,63,4.5,0,63,-,-,-,-,63,12.6,4.5,0
"Bradford, Sam",STL,7,31,31,4.4,0,1718,31,2.1,4.4,0,-,-,-,-
"Leach, Vonta",BAL,16,70,70,4.4,1,70,23,2.1,1.4,0,47,4.3,2.9,1
"Gray, Cyrus",KC,16,70,70,4.4,0,70,24,2.7,1.5,0,46,6.6,2.9,0
"Stafford, Matthew",DET,16,69,69,4.3,2,4719,69,1.9,4.3,2,-,-,-,-
"Olawale, Jamize",OAK,16,75,69,4.3,0,75,6,2.0,0.4,0,63,9.0,3.9,0
"Egnew, Michael",MIA,16,69,69,4.3,0,69,-,-,-,-,69,9.9,4.3,0
"Jones, Dominique",[],8,34,34,4.3,0,34,-,-,-,-,34,17.0,4.3,0
"Gray, MarQueis",CLE,12,51,51,4.3,0,51,43,7.2,3.6,0,8,4.0,0.7,0
"Maehl, Jeff",PHI,16,67,67,4.2,1,67,-,-,-,-,67,16.8,4.2,1
"Robinson, Denard",JAX,16,154,66,4.1,0,154,66,3.3,4.1,0,0,-,0.0,0
"Baldwin, Jon",SF,7,28,28,4.0,0,28,-,-,-,-,28,9.3,4.0,0
"Cunningham, Justice",IND,1,4,4,4.0,0,4,-,-,-,-,4,4.0,4.0,0
"Rivers, Philip",SD,16,63,63,3.9,0,4541,72,2.6,4.5,0,-9,-,-0.6,0
"Cox, Michael",NYG,14,491,55,3.9,0,491,43,2.0,3.1,0,12,4.0,0.9,0
"McGloin, Matt",OAK,7,27,27,3.9,0,1574,27,2.5,3.9,0,-,-,-,-
"Dawson, Skye",TB,7,111,27,3.9,0,111,15,7.5,2.1,0,12,6.0,1.7,0
"Hixon, Domenik",CAR,15,55,55,3.7,1,55,-,-,-,-,55,7.9,3.7,1
"Banyard, Joe",MIN,3,17,11,3.7,0,17,-,-,-,-,11,11.0,3.7,0
"Riddick, Theo",DET,14,63,51,3.6,1,63,25,2.8,1.8,1,26,6.5,1.9,0
"Dreessen, Joel",DEN,13,47,47,3.6,1,47,-,-,-,-,47,6.7,3.6,1
"Ebert, Jeremy",JAX,5,18,18,3.6,0,18,-,-,-,-,18,6.0,3.6,0
"Fiammetta, Tony",CHI,16,57,57,3.6,0,57,-,-,-,-,57,14.3,3.6,0
"DiMarco, Patrick",ATL,14,70,49,3.5,0,70,-,-,-,-,49,6.1,3.5,0
"Ryan, Matt",ATL,16,55,55,3.4,0,4570,55,3.2,3.4,0,-,-,-,-
"Toilolo, Levine",ATL,16,55,55,3.4,2,55,-,-,-,-,55,5.0,3.4,2
"Paul, Niles",WSH,15,462,51,3.4,0,462,-,-,-,-,51,12.8,3.4,0
"Green, Alex",NYJ,13,65,43,3.3,0,65,35,3.2,2.7,0,8,4.0,0.6,0
"Brees, Drew",NO,16,52,52,3.3,3,5214,52,1.5,3.3,3,-,-,-,-
"Celek, Garrett",SF,12,38,38,3.2,0,38,-,-,-,-,38,19.0,3.2,0
"Lorig, Erik",TB,15,53,47,3.1,0,53,-,-,-,-,47,4.3,3.1,0
"Bajema, Billy",BAL,6,18,18,3.0,0,18,-,-,-,-,18,9.0,3.0,0
"Robinson, Michael",SEA,9,31,27,3.0,0,31,0,0.0,0.0,0,27,13.5,3.0,0
"Crabtree, Tom",TB,7,21,21,3.0,1,21,-,-,-,-,21,5.3,3.0,1
"Leshoure, Mikel",DET,3,9,9,3.0,0,9,9,4.5,3.0,0,-,-,-,-
"Wingo, Ronnie",BUF,2,6,6,3.0,0,6,4,4.0,2.0,0,2,2.0,1.0,0
"Williams, Nick",WSH,5,203,15,3.0,0,203,-,-,-,-,15,5.0,3.0,0
"Wood, Cierre",HOU,3,29,9,3.0,0,29,9,3.0,3.0,0,-,-,-,-
"Moye, Derek",PIT,7,20,20,2.9,1,20,-,-,-,-,20,10.0,2.9,1
"Felton, Jerome",MIN,13,59,37,2.8,0,59,-,-,-,-,37,6.2,2.8,0
"Glennon, Mike",TB,13,37,37,2.8,0,2645,37,1.4,2.8,0,-,-,-,-
"Tanner, Phillip",DAL,16,45,45,2.8,1,45,12,1.3,0.8,1,33,11.0,2.1,0
"Green, Virgil",DEN,16,45,45,2.8,0,45,-,-,-,-,45,5.0,2.8,0
"Cousins, Kirk",WSH,5,14,14,2.8,0,868,14,3.5,2.8,0,-,-,-,-
"Fleener, Coby",IND,16,608,608,38.0,4,608,-,-,-,-,608,11.7,38.0,4
"Jones, Jacoby",BAL,12,1584,455,37.9,3,1584,0,0.0,0.0,0,455,12.3,37.9,2
"Avery, Donnie",KC,16,602,602,37.6,2,602,6,3.0,0.4,0,596,14.9,37.3,2
"Griffin III, Robert",WSH,13,489,489,37.6,0,3692,489,5.7,37.6,0,-,-,-,-
"Hankerson, Leonard",WSH,10,375,375,37.5,3,375,-,-,-,-,375,12.5,37.5,3
"Stewart, Jonathan",CAR,6,224,224,37.3,0,224,180,3.8,30.0,0,44,6.3,7.3,0
"Cotchery, Jerricho",PIT,16,597,597,37.3,10,597,-5,-5.0,-0.3,0,602,13.1,37.6,10
"Brown, Marlon",BAL,14,522,522,37.3,7,522,-2,-2.0,-0.1,0,524,10.7,37.4,7
"Underwood, Tiquan",TB,12,440,440,36.7,4,440,-,-,-,-,440,18.3,36.7,4
"Ginn Jr., Ted",CAR,16,1496,585,36.6,5,1496,29,7.3,1.8,0,556,15.4,34.8,5
"Newton, Cam",CAR,16,585,585,36.6,6,3964,585,5.3,36.6,6,-,-,-,-
"Ogbonnaya, Chris",CLE,16,583,583,36.4,2,583,240,4.9,15.0,0,343,7.2,21.4,2
"Givens, Chris",STL,16,577,577,36.1,0,577,8,2.7,0.5,0,569,16.7,35.6,0
"Williams, Mike",TB,6,216,216,36.0,2,216,-,-,-,-,216,9.8,36.0,2
"Jacobs, Brandon",NYG,7,251,251,35.9,4,251,238,4.1,34.0,4,13,6.5,1.9,0
"Wright, Tim",TB,16,573,573,35.8,5,573,2,2.0,0.1,0,571,10.6,35.7,5
"Nelson, David",NYJ,12,423,423,35.3,2,423,-,-,-,-,423,11.8,35.3,2
"Bolden, Brandon",NE,12,423,423,35.3,3,423,271,4.9,22.6,3,152,7.2,12.7,0
"Moore, Lance",NO,13,457,457,35.2,2,457,-,-,-,-,457,12.4,35.2,2
"Scott, Da'Rel",NYG,5,175,175,35.0,1,175,73,3.7,14.6,0,102,9.3,20.4,1
"Housler, Rob",ARZ,13,454,454,34.9,1,454,-,-,-,-,454,11.6,34.9,1
"McCluster, Dexter",KC,15,1205,516,34.4,4,1205,5,0.6,0.3,0,511,9.6,34.1,2
"Reece, Marcel",OAK,16,549,549,34.3,4,571,218,4.7,13.6,2,331,10.3,20.7,2
"Tolbert, Mike",CAR,16,545,545,34.1,7,545,361,3.6,22.6,5,184,6.8,11.5,2
"Pierce, Bernard",BAL,16,540,540,33.8,2,540,436,2.9,27.3,2,104,5.2,6.5,0
"Hillman, Ronnie",DEN,10,337,337,33.7,1,337,218,4.0,21.8,1,119,9.9,11.9,0
"Wilson, Russell",SEA,16,539,539,33.7,1,3896,539,5.6,33.7,1,-,-,-,-
"McGahee, Willis",CLE,12,397,397,33.1,2,397,377,2.7,31.4,2,20,2.5,1.7,0
"Helu Jr., Roy",WSH,16,525,525,32.8,4,525,274,4.4,17.1,4,251,8.1,15.7,0
"Kaepernick, Colin",SF,16,524,524,32.8,4,3721,524,5.7,32.8,4,-,-,-,-
"Gresham, Jermaine",CIN,14,458,458,32.7,4,458,-,-,-,-,458,10.0,32.7,4
"Lewis, Marcedes",JAX,11,359,359,32.6,4,359,-,-,-,-,359,14.4,32.6,4
"Myers, Brandon",NYG,16,522,522,32.6,4,522,-,-,-,-,522,11.1,32.6,4
"Sanders, Ace",JAX,15,703,488,32.5,1,724,4,2.0,0.3,0,484,9.5,32.3,1
"Winslow, Kellen",NYJ,12,388,388,32.3,2,388,-,-,-,-,388,12.5,32.3,2
"Criner, Juron",OAK,1,32,32,32.0,0,32,-,-,-,-,32,10.7,32.0,0
"Celek, Brent",PHI,16,502,502,31.4,6,502,-,-,-,-,502,15.7,31.4,6
"Thomas, Daniel",MIA,15,469,469,31.3,6,469,406,3.7,27.1,4,63,4.2,4.2,2
"Wilson, David",NYG,5,376,154,30.8,1,376,146,3.3,29.2,1,8,4.0,1.6,0
"Durham, Kris",DET,16,490,490,30.6,2,490,-,-,-,-,490,12.9,30.6,2
"Greene, Shonn",TEN,11,334,334,30.4,4,334,295,3.8,26.8,4,39,6.5,3.5,0
"Stephens-Howling, LaRod",PIT,1,55,30,30.0,0,55,19,3.2,19.0,0,11,5.5,11.0,0
"Moss, Santana",WSH,16,622,477,29.8,2,622,25,8.3,1.6,0,452,10.8,28.3,2
"Pettigrew, Brandon",DET,14,416,416,29.7,2,416,-,-,-,-,416,10.2,29.7,2
"Eifert, Tyler",CIN,15,445,445,29.7,2,445,-,-,-,-,445,11.4,29.7,2
"Brown, Vincent",SD,16,472,472,29.5,1,472,-,-,-,-,472,11.5,29.5,1
"Roberts, Andre",ARZ,16,471,471,29.4,2,471,-,-,-,-,471,11.0,29.4,2
"Sanu, Mohamed",CIN,16,471,471,29.4,2,496,16,4.0,1.0,0,455,9.7,28.4,2
"Ertz, Zach",PHI,16,469,469,29.3,4,469,-,-,-,-,469,13.0,29.3,4
"Little, Greg",CLE,16,616,465,29.1,2,616,-,-,-,-,465,11.3,29.1,2
"Cruz, Victor",NYG,14,998,998,71.3,4,998,-,-,-,-,998,13.7,71.3,4
"Smith, Torrey",BAL,16,1128,1128,70.5,4,1128,-,-,-,-,1128,17.4,70.5,4
"Allen, Keenan",SD,15,1171,1046,69.7,8,1171,-,-,-,-,1046,14.7,69.7,8
"Jennings, Rashad",OAK,15,1025,1025,68.3,6,1025,733,4.5,48.9,6,292,8.1,19.5,0
"Ellington, Andre",ARZ,15,1044,1023,68.2,4,1044,652,5.5,43.5,3,371,9.5,24.7,1
"Hilton, T.Y.",IND,16,1248,1089,68.1,5,1248,6,3.0,0.4,0,1083,13.2,67.7,5
"Wright, Kendall",TEN,16,1079,1079,67.4,2,1079,-,-,-,-,1079,11.5,67.4,2
"Douglas, Harry",ATL,16,1124,1067,66.7,2,1124,0,-,0.0,0,1067,12.6,66.7,2
"Edelman, Julian",NE,16,1441,1067,66.7,6,1441,11,5.5,0.7,0,1056,10.1,66.0,6
"Thomas, Pierre",NO,16,1074,1062,66.4,5,1074,549,3.7,34.3,2,513,6.7,32.1,3
"Rice, Ray",BAL,15,981,981,65.4,4,981,660,3.1,44.0,4,321,5.5,21.4,0
"Tate, Ben",HOU,14,911,911,65.1,4,911,771,4.3,55.1,4,140,4.1,10.0,0
"Floyd, Michael",ARZ,16,1041,1041,65.1,5,1041,-,-,-,-,1041,16.0,65.1,5
"Woodhead, Danny",SD,16,1296,1034,64.6,8,1296,429,4.1,26.8,2,605,8.0,37.8,6
"Hartline, Brian",MIA,16,1016,1016,63.5,4,1016,-,-,-,-,1016,13.4,63.5,4
"Colston, Marques",NO,15,943,943,62.9,5,943,-,-,-,-,943,12.6,62.9,5
"Jackson, Steven",ATL,12,734,734,61.2,7,734,543,3.5,45.3,6,191,5.8,15.9,1
"Cameron, Jordan",CLE,15,917,917,61.1,7,917,-,-,-,-,917,11.5,61.1,7
"Powell, Bilal",NYJ,16,969,969,60.6,1,999,697,4.0,43.6,1,272,7.6,17.0,0
"Wallace, Mike",MIA,16,963,963,60.2,5,963,33,11.0,2.1,0,930,12.7,58.1,5
"Fitzgerald, Larry",ARZ,16,962,962,60.1,10,962,8,4.0,0.5,0,954,11.6,59.6,10
"Welker, Wes",DEN,13,848,778,59.8,10,848,-,-,-,-,778,10.7,59.8,10
"Shorts III, Cecil",JAX,13,777,777,59.8,3,777,-,-,-,-,777,11.8,59.8,3
"Nicks, Hakeem",NYG,15,896,896,59.7,0,896,-,-,-,-,896,16.0,59.7,0
"Ridley, Stevan",NE,14,835,835,59.6,7,835,773,4.3,55.2,7,62,6.2,4.4,0
"Jones, James",GB,14,817,817,58.4,3,817,-,-,-,-,817,13.9,58.4,3
"Tate, Golden",SEA,16,1571,929,58.1,5,1571,31,10.3,1.9,0,898,14.0,56.1,5
"Ballard, Vick",IND,1,58,58,58.0,0,58,63,4.9,63.0,0,-5,-5.0,-5.0,0
"Reed, Jordan",WSH,9,517,517,57.4,3,517,18,18.0,2.0,0,499,11.1,55.4,3
"Washington, Nate",TEN,16,919,919,57.4,3,919,-,-,-,-,919,15.8,57.4,3
"Crabtree, Michael",SF,5,284,284,56.8,1,284,-,-,-,-,284,15.0,56.8,1
"Davis, Vernon",SF,15,850,850,56.7,13,850,-,-,-,-,850,16.4,56.7,13
"Streater, Rod",OAK,16,905,905,56.6,4,905,17,8.5,1.1,0,888,14.8,55.5,4
"Thomas, Julius",DEN,14,788,788,56.3,12,788,-,-,-,-,788,12.1,56.3,12
"Ivory, Chris",NYJ,15,843,843,56.2,3,843,833,4.6,55.5,3,10,5.0,0.7,0
"Richardson, Trent",[],16,879,879,54.9,4,879,563,3.0,35.2,3,316,9.0,19.8,1
"Miller, Lamar",MIA,16,879,879,54.9,2,879,709,4.0,44.3,2,170,6.5,10.6,0
"Sproles, Darren",NO,15,1273,824,54.9,4,1273,220,4.2,14.7,2,604,8.5,40.3,2
"Mendenhall, Rashard",ARZ,15,821,821,54.7,8,821,687,3.2,45.8,8,134,7.4,8.9,0
"White, Roddy",ATL,13,711,711,54.7,3,711,-,-,-,-,711,11.3,54.7,3
"Gates, Antonio",SD,16,872,872,54.5,4,872,-,-,-,-,872,11.3,54.5,4
"Gonzalez, Tony",ATL,16,859,859,53.7,8,859,-,-,-,-,859,10.4,53.7,8
"Jennings, Greg",MIN,15,804,804,53.6,4,804,-,-,-,-,804,11.8,53.6,4
"Moore, Denarius",OAK,13,695,695,53.5,5,695,-,-,-,-,695,15.1,53.5,5
"Cooper, Riley",PHI,16,849,853,53.3,8,849,18,-,1.1,0,835,17.8,52.2,8
"Witten, Jason",DAL,16,851,851,53.2,8,851,-,-,-,-,851,11.7,53.2,8
"Amendola, Danny",NE,12,647,634,52.8,2,647,1,1.0,0.1,0,633,11.7,52.8,2
"Pryor, Terrelle",OAK,11,576,576,52.4,2,2374,576,6.9,52.4,2,-,-,-,-
"Olsen, Greg",CAR,16,816,816,51.0,6,816,-,-,-,-,816,11.2,51.0,6
"Blount, LeGarrette",NE,16,1304,810,50.6,7,1304,772,5.1,48.3,7,38,19.0,2.4,0
"Johnson, Stevie",BUF,12,607,607,50.6,3,607,10,10.0,0.8,0,597,11.5,49.8,3
"Daniels, Owen",HOU,5,252,252,50.4,3,252,-,-,-,-,252,10.5,50.4,3
"Burleson, Nate",DET,9,453,453,50.3,1,453,-8,-4.0,-0.9,0,461,11.8,51.2,1
"Hopkins, DeAndre",HOU,16,802,802,50.1,2,802,-,-,-,-,802,15.4,50.1,2
"Finley, Jermichael",GB,6,300,300,50.0,3,300,-,-,-,-,300,12.0,50.0,3
"Smith Sr., Steve",CAR,15,745,745,49.7,4,745,-,-,-,-,745,11.6,49.7,4
"Hillis, Peyton",NYG,7,343,343,49.0,2,343,247,3.4,35.3,2,96,7.4,13.7,0
"Baldwin, Doug",SEA,16,841,784,49.0,5,841,6,3.0,0.4,0,778,15.6,48.6,5
"McFadden, Darren",OAK,10,487,487,48.7,5,503,379,3.3,37.9,5,108,6.4,10.8,0
"Green-Ellis, BenJarvus",CIN,16,778,778,48.6,7,778,756,3.4,47.3,7,22,5.5,1.4,0
"Jones, Marvin",CIN,16,777,777,48.6,10,777,65,8.1,4.1,0,712,14.0,44.5,10
"Clay, Charles",MIA,16,797,774,48.4,7,797,15,2.1,0.9,1,759,11.0,47.4,6
"Sanders, Emmanuel",PIT,16,1033,765,47.8,6,1033,25,25.0,1.6,0,740,11.0,46.3,6
"Bennett, Martellus",CHI,16,759,759,47.4,5,759,-,-,-,-,759,11.7,47.4,5
"Brown, Donald",IND,16,751,751,46.9,8,751,537,5.3,33.6,6,214,7.9,13.4,2
"Gibson, Brandon",MIA,7,326,326,46.6,3,326,-,-,-,-,326,10.9,46.6,3
"Williams, Terrance",DAL,16,882,740,46.3,5,882,4,1.3,0.3,0,736,16.7,46.0,5
"Simpson, Jerome",MIN,16,726,726,45.4,1,726,0,-,0.0,0,726,15.1,45.4,1
"Bowe, Dwayne",KC,15,673,673,44.9,5,673,-,-,-,-,673,11.8,44.9,5
"Rodgers, Jacquizz",ATL,15,1248,673,44.9,4,1248,332,3.5,22.1,2,341,6.6,22.7,2
"Starks, James",GB,13,582,582,44.8,4,582,493,5.5,37.9,3,89,8.9,6.8,1
"Kerley, Jeremy",NYJ,12,668,534,44.5,3,668,11,2.8,0.9,0,523,12.2,43.6,3
"Ball, Montee",DEN,16,704,704,44.0,4,704,559,4.7,34.9,4,145,7.3,9.1,0
"Austin, Tavon",STL,13,1247,569,43.8,6,1247,151,16.8,11.6,1,418,10.5,32.2,4
"Royal, Eddie",SD,15,693,652,43.5,8,693,21,7.0,1.4,0,631,13.4,42.1,8
"Vick, Michael",PHI,7,304,304,43.4,2,1519,306,8.5,43.7,2,-2,-,-0.3,0
"Dobson, Aaron",NE,12,519,519,43.3,4,519,-,-,-,-,519,14.0,43.3,4
"Holmes, Andre",OAK,10,431,431,43.1,1,431,-,-,-,-,431,17.2,43.1,1
"Woods, Robert",BUF,14,612,603,43.1,3,612,16,8.0,1.1,0,587,14.7,41.9,3
"Boykin, Jarrett",GB,16,681,681,42.6,4,681,0,-,0.0,0,681,13.9,42.6,3
"Miller, Heath",PIT,14,593,593,42.4,1,593,-,-,-,-,593,10.2,42.4,1
"Pitta, Dennis",BAL,4,169,169,42.3,1,169,-,-,-,-,169,8.5,42.3,1
"James, Mike",TB,8,338,338,42.3,0,340,295,4.9,36.9,0,43,4.3,5.4,0
"Richardson, Daryl",STL,8,336,336,42.0,0,336,215,3.1,26.9,0,121,8.6,15.1,0
"Cook, Jared",STL,16,671,671,41.9,5,671,-,-,-,-,671,13.2,41.9,5
"Graham, Garrett",HOU,13,545,545,41.9,5,545,-,-,-,-,545,11.1,41.9,5
"Holmes, Santonio",NYJ,11,456,456,41.5,1,456,-,-,-,-,456,19.8,41.5,1
"Ingram, Mark",NO,11,454,454,41.3,1,454,386,5.0,35.1,1,68,9.7,6.2,0
"Chandler, Scott",BUF,16,655,655,40.9,2,655,-,-,-,-,655,12.4,40.9,2
"Rainey, Bobby",[],15,774,612,40.8,6,774,566,3.8,37.7,5,46,3.1,3.1,1
"Stills, Kenny",NO,16,651,651,40.7,5,651,10,3.3,0.6,0,641,20.0,40.1,5
"Brown, Mike",JAX,11,446,446,40.5,2,446,-,-,-,-,446,13.9,40.5,2
"LaFell, Brandon",CAR,16,642,642,40.1,5,642,15,7.5,0.9,0,627,12.8,39.2,5
"Goodson, Mike",NYJ,2,80,80,40.0,0,80,61,8.7,30.5,0,19,9.5,9.5,0
"Patterson, Cordarrelle",MIN,16,2020,627,39.2,9,2020,158,13.2,9.9,3,469,10.4,29.3,4
"Rudolph, Kyle",MIN,8,313,313,39.1,3,313,-,-,-,-,313,10.4,39.1,3
"Thompkins, Kenbrell",NE,12,466,466,38.8,4,466,-,-,-,-,466,14.6,38.8,4
"Rogers, Da'Rick",IND,5,192,192,38.4,2,192,0,0.0,0.0,0,192,13.7,38.4,2
"Randle, Rueben",NYG,16,848,611,38.2,6,848,-,-,-,-,611,14.9,38.2,6
"Walker, Delanie",TEN,15,571,571,38.1,6,571,-,-,-,-,571,9.5,38.1,6
"McCoy, LeSean",PHI,16,2146,2146,134.1,11,2146,1607,5.1,100.4,9,539,10.4,33.7,2
"Charles, Jamaal",KC,15,1980,1980,132.0,19,1980,1287,5.0,85.8,12,693,9.9,46.2,7
"Gordon, Josh",CLE,14,1734,1734,123.9,9,1734,88,17.6,6.3,0,1646,18.9,117.6,9
"Forte, Matt",CHI,16,1933,1933,120.8,12,1933,1339,4.6,83.7,9,594,8.0,37.1,3
"Jones, Julio",ATL,5,587,587,117.4,2,587,7,7.0,1.4,0,580,14.2,116.0,2
"Bush, Reggie",DET,14,1512,1512,108.0,7,1512,1006,4.5,71.9,4,506,9.4,36.1,3
"Johnson, Calvin",DET,14,1492,1492,106.6,12,1492,-,-,-,-,1492,17.8,106.6,12
"Murray, DeMarco",DAL,14,1471,1471,105.1,10,1471,1121,5.2,80.1,9,350,6.6,25.0,1
"Blackmon, Justin",JAX,4,414,414,103.5,1,414,-1,-1.0,-0.3,0,415,14.3,103.8,1
"Peterson, Adrian",MIN,14,1437,1437,102.6,11,1437,1266,4.5,90.4,10,171,5.9,12.2,1
"Moreno, Knowshon",DEN,16,1586,1586,99.1,13,1586,1038,4.3,64.9,10,548,9.1,34.3,3
"Lynch, Marshawn",SEA,16,1573,1573,98.3,14,1573,1257,4.2,78.6,12,316,8.8,19.8,2
"Bell, Le'Veon",PIT,13,1259,1259,96.8,8,1259,860,3.5,66.2,8,399,8.9,30.7,0
"Lacy, Eddie",GB,15,1435,1435,95.7,11,1435,1178,4.2,78.5,11,257,7.3,17.1,0
"Jeffery, Alshon",CHI,16,1526,1526,95.4,7,1526,105,6.6,6.6,0,1421,16.0,88.8,7
"Brown, Antonio",PIT,16,1928,1503,93.9,9,1943,4,0.6,0.3,0,1499,13.6,93.7,8
"Foster, Arian",HOU,8,725,725,90.6,2,725,542,4.5,67.8,1,183,8.3,22.9,1
"Mathews, Ryan",SD,16,1444,1444,90.3,7,1444,1255,4.4,78.4,6,189,7.3,11.8,1
"Thomas, Demaryius",DEN,16,1430,1430,89.4,14,1430,-,-,-,-,1430,15.5,89.4,14
