,Unnamed: 0,Fantasy,Passing,Passing.1,Passing.2,Passing.3,Passing.4,Receiving,Receiving.1,Receiving.2,Receiving.3,Rushing,Rushing.1,Rushing.2,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 1,Unnamed: 2
34,34,0.6,1.0,1.0,10.0,0.0,0.0,,,,,2.0,2.0,0.0,EJ Manuel,EJ Manuel,BUF,1
35,35,0.44,1.0,4.0,11.0,0.0,0.0,,,,,0.0,0.0,0.0,Drew Stanton,Drew Stanton,ARI,1
36,36,-0.1,0.0,0.0,0.0,0.0,0.0,,,,,1.0,-1.0,0.0,Matt Cassel,Matt Cassel,TEN,1
37,37,-0.1,0.0,1.0,0.0,0.0,0.0,,,,,2.0,-1.0,0.0,Kellen Clemens,Kellen Clemens,SD,1
38,0,33.3,,,,,,3.0,2.0,9.0,0.0,30.0,100.0,3.0,Matt Forte,Matt Forte,NYJ,1
39,1,23.4,,,,,,1.0,1.0,15.0,0.0,18.0,133.0,1.0,Isaiah Crowell,Isaiah Crowell,CLE,1
40,2,13.9,,,,,,5.0,4.0,38.0,1.0,32.0,94.0,0.0,DeAngelo Williams,DeAngelo Williams,PIT,1
41,3,21.3,,,,,,0.0,0.0,0.0,0.0,29.0,123.0,1.0,LeGarrette Blount,LeGarrette Blount,NE,1
42,4,22.5,,,,,,3.0,3.0,18.0,0.0,24.0,102.0,1.0,Melvin Gordon,Melvin Gordon,SD,1
43,5,14.8,,,,,,11.0,9.0,100.0,1.0,5.0,17.0,0.0,Giovani Bernard,Giovani Bernard,CIN,1
44,6,18.3,,,,,,6.0,6.0,44.0,0.0,8.0,57.0,1.0,Latavius Murray,Latavius Murray,OAK,1
45,7,16.3,,,,,,1.0,1.0,3.0,0.0,9.0,32.0,2.0,Ryan Mathews,Ryan Mathews,PHI,1
46,8,16.9,,,,,,5.0,3.0,19.0,0.0,20.0,74.0,1.0,C.J. Anderson,C.J. Anderson,DEN,1
47,9,16.5,,,,,,2.0,2.0,4.0,0.0,21.0,83.0,1.0,Ezekiel Elliott,Ezekiel Elliott,DAL,1
48,10,16.6,,,,,,7.0,7.0,56.0,0.0,12.0,89.0,0.0,DeMarco Murray,DeMarco Murray,TEN,1
49,11,8.0,,,,,,5.0,3.0,98.0,0.0,12.0,45.0,0.0,David Johnson,David Johnson,ARI,1
50,12,12.8,,,,,,2.0,2.0,25.0,0.0,12.0,46.0,1.0,Tevin Coleman,Tevin Coleman,ATL,1
51,13,16.4,,,,,,4.0,3.0,31.0,0.0,16.0,100.0,0.0,Fozzy Whittaker,Fozzy Whittaker,CAR,1
52,14,13.2,,,,,,1.0,1.0,4.0,0.0,13.0,61.0,1.0,Matt Jones,Matt Jones,WAS,1
53,15,7.7,,,,,,3.0,3.0,19.0,1.0,13.0,44.0,0.0,Frank Gore,Frank Gore,IND,1
54,16,11.4,,,,,,0.0,0.0,0.0,0.0,16.0,54.0,1.0,Chris Johnson,Chris Johnson,ARI,1
55,17,8.0,,,,,,3.0,2.0,48.0,0.0,10.0,57.0,0.0,Spencer Ware,Spencer Ware,KC,1
56,18,10.5,,,,,,2.0,2.0,14.0,0.0,25.0,83.0,0.0,Lamar Miller,Lamar Miller,HOU,1
57,19,10.0,,,,,,2.0,1.0,6.0,0.0,11.0,28.0,1.0,Jeremy Langford,Jeremy Langford,CHI,1
58,20,9.3,,,,,,0.0,0.0,0.0,0.0,17.0,93.0,0.0,Devonta Freeman,Devonta Freeman,ATL,1
59,21,10.4,,,,,,5.0,4.0,31.0,0.0,15.0,59.0,0.0,LeSean McCoy,LeSean McCoy,BUF,1
60,22,9.4,,,,,,4.0,3.0,26.0,0.0,10.0,60.0,0.0,Christine Michael,Christine Michael,SEA,1
61,23,9.4,,,,,,2.0,2.0,6.0,0.0,2.0,12.0,1.0,Kenyan Drake,Kenyan Drake,MIA,1
62,24,1.1,,,,,,1.0,1.0,18.0,1.0,0.0,0.0,0.0,Mike Gillislee,Mike Gillislee,BUF,1
63,25,1.1,,,,,,1.0,1.0,15.0,1.0,0.0,0.0,0.0,Corey Grant,Corey Grant,JAC,1
64,26,6.2,,,,,,1.0,1.0,19.0,0.0,19.0,51.0,0.0,Todd Gurley,Todd Gurley,LAR,1
65,27,7.1,,,,,,1.0,0.0,0.0,0.0,3.0,10.0,1.0,Robert Turbin,Robert Turbin,IND,1
66,28,6.7,,,,,,0.0,0.0,0.0,0.0,5.0,7.0,1.0,Alfred Morris,Alfred Morris,DAL,1
67,29,7.5,,,,,,3.0,3.0,24.0,0.0,14.0,42.0,0.0,Shane Vereen,Shane Vereen,NYG,1
68,30,8.2,,,,,,5.0,4.0,28.0,0.0,11.0,37.0,0.0,Theo Riddick,Theo Riddick,DET,1
69,31,7.3,,,,,,2.0,1.0,2.0,0.0,6.0,61.0,0.0,Charcandrick West,Charcandrick West,KC,1
70,32,5.7,,,,,,5.0,3.0,37.0,0.0,11.0,22.0,0.0,Jeremy Hill,Jeremy Hill,CIN,1
71,33,3.5,,,,,,4.0,3.0,57.0,0.0,2.0,1.0,0.0,Chris Thompson,Chris Thompson,WAS,1
72,34,5.5,,,,,,3.0,1.0,15.0,0.0,11.0,42.0,0.0,Terrance West,Terrance West,BAL,1
73,35,5.7,,,,,,5.0,4.0,44.0,0.0,3.0,12.0,0.0,Duke Johnson,Duke Johnson,CLE,1
74,36,6.7,,,,,,3.0,3.0,18.0,0.0,14.0,34.0,0.0,Carlos Hyde,Carlos Hyde,SF,1
75,37,5.7,,,,,,1.0,1.0,6.0,0.0,6.0,46.0,0.0,DeAndre Washington,DeAndre Washington,OAK,1
76,38,5.7,,,,,,1.0,1.0,5.0,0.0,9.0,46.0,0.0,Devontae Booker,Devontae Booker,DEN,1
77,39,5.1,,,,,,1.0,0.0,0.0,0.0,12.0,50.0,0.0,Eddie Lacy,Eddie Lacy,GB,1
78,40,5.1,,,,,,1.0,1.0,9.0,0.0,9.0,40.0,0.0,Derrick Henry,Derrick Henry,TEN,1
79,41,6.2,,,,,,2.0,2.0,8.0,0.0,12.0,40.0,0.0,Darren Sproles,Darren Sproles,PHI,1
80,42,7.4,,,,,,4.0,4.0,17.0,0.0,9.0,30.0,0.0,Mark Ingram,Mark Ingram,NO,1
81,43,7.2,,,,,,5.0,3.0,9.0,0.0,14.0,37.0,0.0,Justin Forsett,Justin Forsett,BAL,1
82,44,5.8,,,,,,4.0,4.0,31.0,0.0,5.0,14.0,0.0,Jay Ajayi,Jay Ajayi,MIA,1
