,Unnamed: 0,playerId,rushAtt,rushYds,rushTds,rec,recYds,recTds,fumbles,analyst,player,position,games,rush40,rec40,returnYds,returnTds,twoPts,Fantasy Points
50,51,2535696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Joe Banyard,RB,,,,,,,
51,52,2535708,2.3,9.4,0.1,2.0,21.9,0.0,0.1,-1,Lance Dunbar,RB,,,,,,,
52,53,2535890,3.7,13.9,0.1,3.2,28.4,0.3,0.1,-1,Travaris Cadet,RB,,,,,,,
53,54,2536044,1.4,6.3,0.2,0.6,6.7,0.0,0.0,-1,Jamize Olawale,RB,,,,,,,
54,55,2539217,2.2,10.4,0.1,1.3,10.7,0.0,0.1,-1,Andre Ellington,RB,,,,,,,
55,56,2539260,0.9,3.9,0.0,0.2,1.3,0.0,0.0,-1,Denard Robinson,RB,,,,,,,
56,57,2539265,0.1,0.2,0.0,0.1,0.7,0.0,0.0,-1,Rex Burkhead,RB,,,,,,,
57,58,2539289,2.9,11.5,0.1,0.6,3.8,0.0,0.2,-1,Kenjon Barner,RB,,,,,,,
58,59,2539303,0.1,0.2,0.0,0.2,1.7,0.0,0.0,-1,Zach Line,RB,,,,,,,
59,60,2539315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Stepfan Taylor,RB,,,,,,,
60,61,2539322,10.3,53.6,0.2,1.2,9.1,0.1,0.2,-1,Christine Michael,RB,,,,,,,
61,62,2539663,5.2,22.9,0.2,1.2,7.0,0.2,0.2,-1,Mike Gillislee,RB,,,,,,,
62,63,2539980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Kerwynn Williams,RB,,,,,,,
63,64,2540011,7.5,30.2,0.2,3.4,29.2,0.1,0.1,-1,Chris Thompson,RB,,,,,,,
64,65,2540020,9.9,35.1,0.2,4.9,45.1,0.2,0.1,-1,Theo Riddick,RB,,,,,,,
65,66,2540037,14.2,58.8,0.3,1.3,10.1,0.1,0.1,-1,Fozzy Whittaker,RB,,,,,,,
66,67,2540156,9.0,33.2,0.2,3.2,25.6,0.1,0.2,-1,Giovani Bernard,RB,,,,,,,
67,68,2540168,15.2,69.2,0.4,1.6,15.1,0.1,0.2,-1,Eddie Lacy,RB,,,,,,,
68,69,2540178,0.7,2.3,0.0,0.1,0.8,0.0,0.0,-1,Knile Davis,RB,,,,,,,
69,70,2540204,10.2,40.5,0.4,1.9,32.8,0.1,0.2,-1,Spencer Ware,RB,,,,,,,
70,71,2540225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Tommy Bohanon,RB,,,,,,,
71,72,2540230,0.2,0.3,0.0,1.4,10.9,0.1,0.0,-1,Kyle Juszczyk,RB,,,,,,,
72,73,2540269,14.7,64.6,0.3,2.3,16.3,0.1,0.1,-1,C.J. Anderson,RB,,,,,,,
73,74,2541161,12.0,50.7,0.5,2.3,15.3,0.1,0.1,-1,Latavius Murray,RB,,,,,,,
74,75,2541544,4.4,13.7,0.1,1.8,14.7,0.0,0.1,-1,Benny Cunningham,RB,,,,,,,
75,76,2541910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,George Winn,RB,,,,,,,
76,77,2542022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Khiry Robinson,RB,,,,,,,
77,78,2543551,4.2,15.2,0.1,1.0,6.0,0.1,0.1,-1,KaDeem Carey,RB,,,,,,,
78,79,2543565,1.1,4.4,0.0,0.0,0.1,0.0,0.0,-1,Andre Williams,RB,,,,,,,
79,80,2543583,11.5,54.7,0.4,3.9,30.7,0.1,0.2,-1,Devonta Freeman,RB,,,,,,,
80,81,2543596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Dri Archer,RB,,,,,,,
81,82,2543600,3.1,11.9,0.1,0.9,6.2,0.0,0.1,-1,Alfred Blue,RB,,,,,,,
82,83,2543603,13.2,45.2,0.5,1.2,8.0,0.0,0.2,-1,Jeremy Hill,RB,,,,,,,
83,84,2543664,10.8,39.9,0.3,1.3,8.3,0.1,0.1,-1,Terrance West,RB,,,,,,,
84,85,2543682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Bishop Sankey,RB,,,,,,,
85,86,2543695,0.7,3.0,0.0,0.0,0.7,0.0,0.0,-1,Jay Prosch,RB,,,,,,,
86,87,2543715,15.7,58.5,0.4,1.7,10.0,0.1,0.1,-1,Jerick McKinnon,RB,,,,,,,
87,88,2543743,14.5,44.1,0.3,1.5,6.1,0.0,0.2,-1,Carlos Hyde,RB,,,,,,,
88,89,2543770,7.8,33.1,0.1,3.7,35.2,0.3,0.2,-1,Charles Sims,RB,,,,,,,
89,90,2543773,5.2,17.3,0.1,2.6,22.9,0.2,0.1,-1,James White,RB,,,,,,,
90,91,2550189,16.3,67.6,0.4,0.9,8.5,0.0,0.1,-1,Isaiah Crowell,RB,,,,,,,
91,92,2550235,0.0,0.1,0.0,0.1,0.6,0.0,0.0,-1,Roosevelt Nix,RB,,,,,,,
92,93,2550263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Juwan Thompson,RB,,,,,,,
93,94,2550268,5.3,22.6,0.2,1.6,12.9,0.1,0.1,-1,Charcandrick West,RB,,,,,,,
94,95,2550474,1.6,6.5,0.0,0.2,1.9,0.0,0.0,-1,Antonio Andrews,RB,,,,,,,
95,96,2550481,4.2,15.7,0.1,1.3,9.0,0.1,0.1,-1,Orleans Darkwa,RB,,,,,,,
96,97,2550512,3.9,16.9,0.1,1.5,15.3,0.1,0.1,-1,Damien Williams,RB,,,,,,,
97,98,2550540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,George Atkinson,RB,,,,,,,
98,99,2550738,3.0,12.5,0.1,1.5,12.5,0.1,0.2,-1,Fitzgerald Toussaint,RB,,,,,,,
99,100,2552375,7.8,35.0,0.2,1.4,11.4,0.1,0.1,-1,Cameron Artis-Payne,RB,,,,,,,
100,101,2552376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,David Cobb,RB,,,,,,,
101,102,2552379,11.8,45.5,0.3,1.6,14.9,0.1,0.1,-1,Jeremy Langford,RB,,,,,,,
102,103,2552453,8.3,40.5,0.4,1.9,28.8,0.1,0.3,-1,Tevin Coleman,RB,,,,,,,
103,104,2552461,9.6,36.8,0.1,2.8,25.4,0.1,0.1,-1,Duke Johnson,RB,,,,,,,
104,105,2552464,0.2,0.3,0.0,0.1,0.8,0.0,0.0,-1,Jalston Fowler,RB,,,,,,,
105,106,2552469,15.8,62.2,0.6,2.1,12.2,0.1,0.2,-1,Melvin Gordon,RB,,,,,,,
106,107,2552471,9.6,38.9,0.3,3.3,18.1,0.0,0.1,-1,T.J. Yeldon,RB,,,,,,,
107,108,2552475,17.0,60.9,0.5,1.9,16.3,0.0,0.1,-1,Todd Gurley,RB,,,,,,,
108,109,2552477,0.1,0.2,0.0,0.1,0.7,0.0,0.0,-1,Aaron Ripkowski,RB,,,,,,,
109,110,2552582,8.9,40.7,0.2,1.6,17.3,0.1,0.2,-1,Jay Ajayi,RB,,,,,,,
110,111,2552631,1.4,5.0,0.0,0.3,2.3,0.0,0.0,-1,Javorius Allen,RB,,,,,,,
111,112,2552634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Joey Iosefa,RB,,,,,,,
112,113,2552635,14.1,57.3,0.2,1.2,16.9,0.1,0.3,-1,Matt Jones,RB,,,,,,,
113,114,2552636,0.1,0.0,0.0,0.1,1.0,0.0,0.0,-1,Michael Burton,RB,,,,,,,
114,115,2552647,0.3,1.2,0.0,0.1,0.7,0.0,0.0,-1,Marcus Murphy,RB,,,,,,,
115,116,2553435,15.9,67.2,0.5,3.8,47.9,0.2,0.1,-1,David Johnson,RB,,,,,,,
116,117,2553439,0.6,1.0,0.0,0.1,0.8,0.0,0.0,-1,Mike Davis,RB,,,,,,,
117,118,2553446,0.1,0.2,0.0,0.2,0.8,0.0,0.0,-1,Malcolm Johnson,RB,,,,,,,
118,119,2553618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Brandon Wegher,RB,,,,,,,
119,120,2553631,0.3,1.0,0.0,0.0,0.2,0.0,0.0,-1,Zach Zenner,RB,,,,,,,
120,121,2553650,0.3,0.5,0.0,0.1,0.9,0.0,0.0,-1,Corey Grant,RB,,,,,,,
121,122,2553662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Gus Johnson,RB,,,,,,,
122,123,2553728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Raheem Mostert,RB,,,,,,,
123,124,2553733,10.2,51.4,0.2,1.5,11.5,0.1,0.1,-1,Thomas Rawls,RB,,,,,,,
124,125,2553743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Rod Smith,RB,,,,,,,
125,126,2553762,0.4,1.6,0.0,0.2,1.4,0.0,0.0,-1,Terron Ward,RB,,,,,,,
126,127,2555219,0.5,1.6,0.0,0.1,1.0,0.0,0.0,-1,Daniel Lasco,RB,,,,,,,
127,128,2555223,8.9,37.8,0.2,0.8,6.0,0.0,0.1,-1,Devontae Booker,RB,,,,,,,
128,129,2555224,17.8,79.3,0.6,2.3,16.7,0.1,0.2,-1,Ezekiel Elliott,RB,,,,,,,
129,130,2555227,0.7,2.3,0.0,0.1,0.7,0.0,0.0,-1,Jonathan Williams,RB,,,,,,,
130,131,2555230,7.2,34.4,0.3,1.1,8.9,0.0,0.1,-1,Kenyan Drake,RB,,,,,,,
131,132,2555234,2.7,10.3,0.1,0.6,4.8,0.0,0.1,-1,Tyler Ervin,RB,,,,,,,
132,133,2555417,2.9,14.3,0.1,1.3,11.3,0.1,0.1,-1,C.J. Prosise,RB,,,,,,,
133,134,2555418,7.7,32.5,0.2,0.6,4.3,0.0,0.1,-1,Jordan Howard,RB,,,,,,,
134,135,2555430,0.8,3.0,0.0,0.1,0.9,0.0,0.0,-1,Alex Collins,RB,,,,,,,
135,136,2555432,1.2,8.2,0.1,0.6,5.0,0.0,0.0,-1,Andy Janovich,RB,,,,,,,
136,137,2555460,2.6,10.9,0.1,0.5,4.1,0.0,0.1,-1,Paul Perkins,RB,,,,,,,
137,138,2555461,3.6,13.3,0.1,0.6,4.3,0.0,0.1,-1,Wendell Smallwood,RB,,,,,,,
138,139,2555464,5.4,22.8,0.2,1.3,10.0,0.1,0.1,-1,DeAndre Washington,RB,,,,,,,
139,140,2556075,9.0,36.2,0.3,1.1,11.6,0.0,0.1,-1,Derrick Henry,RB,,,,,,,
140,141,2556118,7.8,30.4,0.2,1.8,13.7,0.1,0.1,-1,Dwayne Washington,RB,,,,,,,
141,142,2556273,0.7,2.5,0.0,0.1,0.9,0.0,0.0,-1,Darius Jackson,RB,,,,,,,
142,143,2556411,2.8,13.7,0.1,1.7,13.4,0.1,0.1,-1,Josh Ferguson,RB,,,,,,,
143,144,2556414,0.6,1.8,0.0,0.1,0.6,0.0,0.0,-1,Rob Kelley,RB,,,,,,,
144,145,2556454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Brandon Wilds,RB,,,,,,,
145,146,2556466,0.6,2.2,0.0,0.1,0.9,0.0,0.0,-1,Peyton Barber,RB,,,,,,,
146,147,2556507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Marshaun Coprich,RB,,,,,,,
147,148,2556544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,Glenn Gronkowski,RB,,,,,,,
148,149,2556801,3.3,13.7,0.1,1.8,13.7,0.1,0.1,-1,Kenneth Farrow,RB,,,,,,,
149,150,2556885,5.3,25.7,0.2,1.8,13.5,0.1,0.1,-1,Jalen Richard,RB,,,,,,,
150,151,2557531,0.7,2.6,0.0,0.1,0.8,0.0,0.0,-1,Troymaine Pope,RB,,,,,,,
151,152,230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Jerome Felton,RB,,0.0,0.0,0.0,0.0,0.0,0.0
152,153,234,20.1,64.1,0.6,2.9,23.1,0.1,0.2,3,Matt Forte,RB,1.0,0.1,0.0,0.0,0.0,0.0,15.62
153,154,262,5.0,17.6,0.2,0.2,1.1,0.0,0.0,3,Chris Johnson,RB,1.0,0.0,0.0,0.0,0.0,0.0,3.27
154,155,284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Darren McFadden,RB,,0.0,0.0,0.0,0.0,0.0,0.0
155,156,925,14.3,52.9,0.5,2.8,21.8,0.1,0.1,3,Jamaal Charles,RB,1.0,0.1,0.0,0.0,0.0,0.0,13.77
156,157,927,15.8,52.3,0.5,2.2,15.8,0.1,0.1,3,Justin Forsett,RB,1.0,0.1,0.0,0.0,0.0,0.0,12.51
157,158,949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Jonathan Stewart,RB,,0.0,0.0,0.0,0.0,0.0,0.0
158,159,4327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Danny Woodhead,RB,,0.0,0.0,0.0,0.0,0.0,0.0
159,160,4383,6.1,20.5,0.2,0.7,7.1,0.0,0.0,3,Tim Hightower,RB,1.0,0.0,0.0,0.0,0.0,0.0,4.66
160,161,4433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Marcel Reece,RB,,0.0,0.0,0.0,0.0,0.0,0.0
161,162,71345,17.5,66.1,0.6,1.9,15.0,0.1,0.2,3,Rashad Jennings,RB,1.0,0.1,0.0,0.0,0.0,0.0,14.01
162,163,79555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Arian Foster,RB,1.0,0.0,0.0,0.0,0.0,0.0,0.0
163,164,79607,20.7,69.0,0.6,2.4,17.6,0.1,0.2,3,LeSean McCoy,RB,1.0,0.1,0.0,0.0,0.0,0.0,15.06
164,165,79629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Cedric Peerman,RB,,0.0,0.0,0.0,0.0,0.0,0.0
165,166,89798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Antone Smith,RB,,0.0,0.0,0.0,0.0,0.0,0.0
166,167,163982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Will Johnson,RB,,0.0,0.0,0.0,0.0,0.0,0.0
167,168,497145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Joique Bell,RB,,0.0,0.0,0.0,0.0,0.0,0.0
168,169,497149,21.3,72.6,0.6,1.1,5.8,0.0,0.1,3,LeGarrette Blount,RB,1.0,0.1,0.0,0.0,0.0,0.0,12.44
169,170,497172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Anthony Dixon,RB,,0.0,0.0,0.0,0.0,0.0,0.0
170,171,497176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Toby Gerhart,RB,,0.0,0.0,0.0,0.0,0.0,0.0
171,172,497188,16.4,54.0,0.4,1.6,13.3,0.1,0.1,3,Ryan Mathews,RB,1.0,0.1,0.0,0.0,0.0,0.0,11.23
172,173,497190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dexter McCluster,RB,,0.0,0.0,0.0,0.0,0.0,0.0
173,174,497204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,C.J. Spiller,RB,,0.0,0.0,0.0,0.0,0.0,0.0
174,175,497206,8.3,27.5,0.3,1.1,9.9,0.0,0.1,3,James Starks,RB,1.0,0.0,0.0,0.0,0.0,0.0,6.54
175,176,2495161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Roy Helu,RB,,0.0,0.0,0.0,0.0,0.0,0.0
176,177,2495172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Kendall Hunter,RB,,0.0,0.0,0.0,0.0,0.0,0.0
177,178,2495207,16.9,52.7,0.5,3.0,22.9,0.1,0.1,3,DeMarco Murray,RB,1.0,0.1,0.0,0.0,0.0,0.0,14.06
178,179,2495241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Daniel Thomas,RB,,0.0,0.0,0.0,0.0,0.0,0.0
179,180,2495258,12.0,37.9,0.1,2.4,18.3,0.0,0.1,3,Matt Asiata,RB,1.0,0.1,0.0,0.0,0.0,0.0,8.52
180,181,2495328,4.4,14.3,0.1,1.6,14.0,0.1,0.0,3,Bilal Powell,RB,1.0,0.0,0.0,0.0,0.0,0.0,5.63
181,182,2495340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Anthony Sherman,RB,,0.0,0.0,0.0,0.0,0.0,0.0
182,183,2495461,7.4,20.8,0.2,1.9,14.0,0.0,0.1,3,Shaun Draughn,RB,1.0,0.0,0.0,0.0,0.0,0.0,6.48
183,184,2495466,18.9,66.7,0.7,3.0,25.2,0.1,0.1,3,Mark Ingram,RB,1.0,0.1,0.1,0.0,0.0,0.0,16.89
184,185,2495467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Taiwan Jones,RB,1.0,0.0,0.0,29.7,0.0,0.0,0.0
185,186,2495469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dion Lewis,RB,,0.0,0.0,0.0,0.0,0.0,0.0
186,187,2495470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Stevan Ridley,RB,,0.0,0.0,0.0,0.0,0.0,0.0
187,188,2495471,9.7,29.8,0.1,1.2,8.8,0.0,0.1,3,Jacquizz Rodgers,RB,1.0,0.0,0.0,0.0,0.0,0.0,5.56
188,189,2495472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Jordan Todman,RB,,0.0,0.0,0.0,0.0,0.0,0.0
189,190,2495473,7.3,27.2,0.3,3.3,30.2,0.2,0.1,3,Shane Vereen,RB,1.0,0.0,0.1,0.0,0.0,0.0,11.94
190,191,2495560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Ahmad Bradshaw,RB,,0.0,0.0,0.0,0.0,0.0,0.0
191,192,2495663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Marshawn Lynch,RB,,0.0,0.0,0.0,0.0,0.0,0.0
192,193,2495979,20.2,85.5,1.1,3.4,28.3,0.2,0.2,3,DeAngelo Williams,RB,1.0,0.1,0.1,0.0,0.0,0.0,22.38
193,194,2505936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Steven Jackson,RB,,0.0,0.0,0.0,0.0,0.0,0.0
194,195,2506147,1.5,4.6,0.1,0.8,4.9,0.0,0.0,3,John Kuhn,RB,1.0,0.0,0.0,0.0,0.0,0.0,2.35
195,196,2506404,15.7,56.4,0.5,1.6,13.7,0.1,0.1,3,Frank Gore,RB,1.0,0.1,0.0,0.0,0.0,0.0,12.11
196,197,2506467,4.5,13.4,0.1,3.6,31.3,0.2,0.1,3,Darren Sproles,RB,1.0,0.0,0.0,60.9,0.1,0.0,10.37
197,198,2506871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Fred Jackson,RB,,0.0,0.0,0.0,0.0,0.0,0.0
198,199,2506874,3.8,11.8,0.1,0.8,5.3,0.0,0.0,3,Reggie Bush,RB,1.0,0.0,0.0,53.7,0.0,0.0,3.11
199,200,2507141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Pierre Thomas,RB,,0.0,0.0,0.0,0.0,0.0,0.0
200,201,2507164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Adrian Peterson,RB,,0.0,0.0,0.0,0.0,0.0,0.0
201,202,2507428,4.7,16.5,0.1,1.5,13.2,0.1,0.0,3,Mike Tolbert,RB,1.0,0.0,0.0,0.0,0.0,0.0,5.67
202,203,2507737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Darrel Young,RB,,0.0,0.0,0.0,0.0,0.0,0.0
203,204,2507779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Donald Brown,RB,,0.0,0.0,0.0,0.0,0.0,0.0
204,205,2507999,12.5,40.8,0.4,0.8,6.7,0.0,0.1,3,Chris Ivory,RB,1.0,0.1,0.0,0.0,0.0,0.0,7.85
205,206,2508096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Tyler Clutts,RB,,0.0,0.0,0.0,0.0,0.0,0.0
206,207,2508101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,James Develin,RB,,0.0,0.0,0.0,0.0,0.0,0.0
207,208,2527672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Will Tukuafu,RB,,0.0,0.0,0.0,0.0,0.0,0.0
208,209,2530690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,DuJuan Harris,RB,,0.0,0.0,0.0,0.0,0.0,0.0
209,210,2530763,0.3,1.0,0.0,0.3,2.4,0.0,0.0,3,Patrick DiMarco,RB,1.0,0.0,0.0,0.0,0.0,0.0,0.64
210,211,2531218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Chase Reynolds,RB,,0.0,0.0,0.0,0.0,0.0,0.0
211,212,2532797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Brandon Bolden,RB,,0.0,0.0,0.0,0.0,0.0,0.0
212,213,2532851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Cyrus Gray,RB,,0.0,0.0,0.0,0.0,0.0,0.0
213,214,2532864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dan Herron,RB,,0.0,0.0,0.0,0.0,0.0,0.0
214,215,2532899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Doug Martin,RB,1.0,0.0,0.0,0.0,0.0,0.0,0.0
215,216,2532926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Isaiah Pead,RB,,0.0,0.0,0.0,0.0,0.0,0.0
216,217,2533012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Vick Ballard,RB,,0.0,0.0,0.0,0.0,0.0,0.0
217,218,2533030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Jonas Gray,RB,,0.0,0.0,0.0,0.0,0.0,0.0
218,219,2533032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Trent Richardson,RB,,0.0,0.0,0.0,0.0,0.0,0.0
