,Unnamed: 0,playerId,rec,recYds,recTds,fumbles,analyst,player,position,games,rushAtt,rushYds,rushTds,rush40,rec40,returnYds,returnTds,twoPts,Fantasy Points
92,93,2555289,0.3,2.7,0.0,0.0,-1,Nick Vannett,TE,,,,,,,,,,
93,94,2555306,0.2,1.9,0.0,0.0,-1,David Morgan,TE,,,,,,,,,,
94,95,2555311,0.0,0.0,0.0,0.0,-1,Jerell Adams,TE,,,,,,,,,,
95,96,2555341,2.4,21.8,0.2,0.0,-1,Hunter Henry,TE,,,,,,,,,,
96,97,2555364,1.1,9.6,0.1,0.0,-1,Tyler Higbee,TE,,,,,,,,,,
97,98,2555415,1.7,20.4,0.1,0.0,-1,Austin Hooper,TE,,,,,,,,,,
98,99,2555486,0.2,2.0,0.0,0.0,-1,Temarrick Hemingway,TE,,,,,,,,,,
99,100,2556463,1.9,18.6,0.1,0.0,-1,Stephen Anderson,TE,,,,,,,,,,
100,101,2556708,0.0,0.0,0.0,0.0,-1,Cole Wick,TE,,,,,,,,,,
101,102,324,3.8,49.3,0.2,0.0,3,Jacob Tamme,TE,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,9.93
102,103,1060,3.5,42.8,0.2,0.0,3,Gary Barnidge,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,8.98
103,104,1062,3.1,27.7,0.2,0.0,3,Martellus Bennett,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.07
104,105,1992,0.0,0.0,0.0,0.0,3,Craig Stevens,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,106,71255,0.0,0.0,0.0,0.0,3,Chase Coffman,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,107,71265,2.6,34.3,0.3,0.0,3,Jared Cook,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.83
107,108,71431,0.0,0.0,0.0,0.0,3,Brandon Pettigrew,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,109,71435,0.2,1.6,0.0,0.0,3,John Phillips,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
109,110,79589,0.5,3.9,0.1,0.0,3,David Johnson,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49
110,111,79625,0.0,0.0,0.0,0.0,3,Bear Pascoe,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,112,89766,0.0,0.0,0.0,0.0,3,Brandon Myers,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,113,238457,3.8,41.7,0.2,0.0,3,Zach Miller,TE,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,9.17
113,114,497224,1.0,9.5,0.1,0.0,3,Ed Dickson,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55
114,115,497226,0.2,1.3,0.0,0.0,3,Jim Dray,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
115,116,497234,0.0,0.0,0.0,0.0,3,Garrett Graham,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,117,497236,3.0,37.8,0.3,0.0,3,Jimmy Graham,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,8.58
117,118,497238,1.0,10.8,0.1,0.0,3,Jermaine Gresham,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68
118,119,497240,4.8,56.6,0.4,0.0,3,Rob Gronkowski,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,12.86
119,120,497242,0.3,2.2,0.0,0.0,3,Clay Harbor,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
120,121,497246,0.0,0.0,0.0,0.0,3,Michael Hoomanawanui,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,122,497250,0.0,0.0,0.0,0.0,3,Anthony McCoy,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,123,497254,4.1,44.5,0.3,0.0,3,Dennis Pitta,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10.35
123,124,497256,0.0,0.0,0.0,0.0,3,Tony Moeaki,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,125,497258,0.0,0.0,0.0,0.0,3,Andrew Quarless,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,126,2495139,3.4,36.5,0.2,0.0,3,Charles Clay,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,8.25
126,127,2495187,2.6,30.4,0.1,0.0,3,Lance Kendricks,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.24
127,128,2495211,0.2,2.3,0.0,0.0,3,Niles Paul,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
128,129,2495234,0.2,2.2,0.0,0.0,3,Luke Stocker,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
129,130,2495267,2.5,34.6,0.3,0.0,3,Jordan Cameron,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.76
130,131,2495288,3.5,25.7,0.1,0.0,3,Virgil Green,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67
131,132,2495347,1.3,12.0,0.1,0.0,3,Lee Smith,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1
132,133,2495353,3.2,39.5,0.4,0.0,3,Julius Thomas,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,9.55
133,134,2495438,4.3,42.1,0.3,0.0,3,Kyle Rudolph,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10.31
134,135,2495573,0.0,0.0,0.0,0.0,3,Scott Chandler,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,136,2495620,0.0,0.0,0.0,0.0,3,Clark Harris,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,137,2495700,4.2,60.7,0.4,0.0,3,Greg Olsen,TE,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,12.67
137,138,2495825,0.0,0.0,0.0,0.0,3,Owen Daniels,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,139,2495826,1.5,14.5,0.1,0.0,3,Vernon Davis,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55
139,140,2495835,0.2,1.9,0.0,0.0,3,Anthony Fasano,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39
140,141,2495888,1.1,11.6,0.1,0.0,3,Marcedes Lewis,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86
141,142,2495966,4.3,52.6,0.3,0.0,3,Delanie Walker,TE,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,11.36
142,143,2505299,4.8,60.3,0.3,0.0,3,Antonio Gates,TE,1.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,12.63
143,144,2505629,4.8,47.0,0.4,0.0,3,Jason Witten,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,11.9
144,145,2506122,0.0,0.0,0.0,0.0,3,Benjamin Watson,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,146,2506619,0.0,0.0,0.0,0.0,3,Daniel Fells,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,147,2507182,0.0,0.0,0.0,0.0,3,Matt Spaeth,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,148,2507218,2.4,23.1,0.1,0.0,3,Brent Celek,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5.31
148,149,2507405,0.0,0.0,0.0,0.0,3,Matthew Mulligan,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,150,2507486,0.7,4.8,0.0,0.0,3,Kellen Davis,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18
150,151,2507828,0.0,0.0,0.0,0.0,3,Logan Paulsen,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,152,2507883,0.5,4.5,0.0,0.0,3,Jeff Cumberland,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
152,153,2508112,0.0,0.0,0.0,0.0,3,Rob Housler,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,154,2532835,0.5,4.7,0.0,0.0,3,Rhett Ellison,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97
154,155,2532838,4.1,45.5,0.4,0.0,3,Coby Fleener,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,11.05
155,156,2532853,0.0,0.0,0.0,0.0,3,Ladarius Green,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,157,2533028,0.0,0.0,0.0,0.0,3,James Hanna,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,158,2533046,3.4,45.2,0.4,0.0,3,Dwayne Allen,TE,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10.32
158,159,2533047,0.0,0.0,0.0,0.0,3,Orson Charles,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,160,2533353,0.3,2.4,0.0,0.0,3,Cory Harkey,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54
160,161,2534241,0.0,0.0,0.0,0.0,3,Derek Carrier,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,162,2534244,0.0,0.0,0.0,0.0,3,Chase Ford,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,163,2534820,1.1,11.1,0.0,0.0,3,Garrett Celek,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21
163,164,2535535,0.2,2.8,0.0,0.0,3,Phillip Supernaw,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
164,165,2535943,0.5,5.2,0.0,0.0,3,Sean McGrath,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02
