Player,Team,Games Played,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Yards,Interception Touchdowns,Interception Return Long,Forced Fumbles,Fumbles Recovered,Fumble Recovery Touchdowns,Passes Defensed,Safeties,Stuffs,Stuff Yards
"Butler, Mario",BUF,13,5,4,1,0.0,0,0,0,0,0,0,0,0,5,0,0.0,0.0
"Banjo, Chris",GB,16,5,5,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
"Melvin, Rashaan",[],9,5,3,2,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Okine, Earl",IND,5,5,4,1,0.0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
"Crichton, Scott",MIN,13,5,3,2,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Thornton, Khyri",DET,6,5,3,2,0.0,0,0,0,0,0,0,0,0,0,0,2.0,5.0
"Huff, Marqueston",TEN,16,5,4,1,0.0,0,0,0,0,0,0,0,0,2,0,0.0,0.0
"Goodson, Demetri",GB,14,5,3,2,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
"Grissom, Geneo",NE,14,5,3,2,1.0,8,0,0,0,0,0,0,0,0,0,0.0,0.0
"Dawson, P.J.",CIN,11,5,3,2,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
"Ball, Neiron",OAK,6,5,4,1,1.0,6,0,0,0,0,0,1,0,0,0,0.0,0.0
"Philon, Darius",SD,8,5,4,1,0.0,0,0,0,0,0,0,0,0,1,0,1.0,1.0
"Barnes, Tavaris",NO,12,5,3,2,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Tarpley, AJ",BUF,15,5,3,2,1.0,0,2,40,0,37,1,0,0,2,0,0.0,0.0
"Everett, Deshazor",WSH,11,5,3,2,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Keyes, Josh",TB,7,5,2,3,0.0,0,0,0,0,0,0,0,0,0,0,0.5,1.0
"Fluellen, Andre",DET,4,4,4,0,0.0,0,0,0,0,0,0,0,0,0,0,2.0,3.0
"Mays, Joe",SD,9,4,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Stuckey, Darrell",SD,14,4,2,2,1.0,2,0,0,0,0,0,0,0,0,0,0.0,0.0
"Rogers, Justin",WSH,1,4,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Kearse, Frank",WSH,4,4,1,3,1.0,5,0,0,0,0,0,0,0,0,0,0.0,0.0
"White, Corey",[],10,4,4,0,0.0,0,0,0,0,0,0,0,0,3,0,0.0,0.0
"Hurst, Demontre",CHI,7,4,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Barnes, T.J.",[],10,4,1,3,0.0,0,0,0,0,0,0,0,0,1,0,0.5,0.5
"Gilbert, Justin",CLE,9,4,4,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
"Clarke, Will",CIN,12,4,3,1,0.5,2,0,0,0,0,0,0,0,1,0,0.0,0.0
"Reilly, Trevor",NYJ,15,4,2,2,1.0,7,0,0,0,0,1,0,0,0,0,0.5,0.5
"Coleman, Deandre",MIA,4,4,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
