"","playerId","rec","recYds","recTds","fumbles","analyst","player","position","games","rushAtt","rushYds","rushTds","rush40","rec40","returnYds","returnTds","twoPts"
"349",2535535,NA,4,NA,NA,5,"Phillip Supernaw","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"350",2535943,NA,7,NA,NA,5,"Sean McGrath","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"351",2536071,NA,NA,NA,NA,5,"Cooper Helfet","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"352",2536342,NA,1,NA,NA,5,"Brandon Bostick","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"353",2537933,NA,31,NA,NA,5,"Larry Donnell","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"354",2539202,NA,NA,NA,NA,5,"Chris Gragg","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"355",2539645,NA,1,NA,NA,5,"Brandon Williams","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"356",2539995,NA,17,NA,NA,5,"Mychal Rivera","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"357",2540148,NA,49,1,NA,5,"Tyler Eifert","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"358",2540158,NA,49,NA,NA,5,"Zach Ertz","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"359",2540160,NA,64,1,NA,5,"Jordan Reed","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"360",2540200,NA,12,NA,NA,5,"Dion Sims","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"361",2540203,NA,4,NA,NA,5,"Levine Toilolo","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"362",2540211,NA,4,NA,NA,5,"Gavin Escobar","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"363",2540215,NA,29,NA,NA,5,"Vance McDonald","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"364",2540232,NA,17,1,NA,5,"Jack Doyle","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"365",2540257,NA,NA,NA,NA,5,"Justice Cunningham","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"366",2540258,NA,65,NA,NA,5,"Travis Kelce","TE",NA,NA,1,NA,NA,NA,NA,NA,NA
"367",2540259,NA,2,NA,NA,5,"MarQueis Gray","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"368",2540928,NA,19,1,NA,5,"Darren Fells","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"369",2541096,NA,NA,NA,NA,5,"Ifeanyi Momah","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"370",2541187,NA,6,NA,NA,5,"Demetrius Harris","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"371",2541199,NA,13,NA,NA,5,"Luke Willson","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"372",2541316,NA,12,NA,NA,5,"Ryan Griffin","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"373",2541834,NA,8,1,NA,5,"Josh Hill","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"374",2543466,NA,30,NA,NA,5,"Eric Ebron","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"375",2543481,NA,26,NA,NA,5,"Jace Amaro","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"376",2543628,NA,3,NA,NA,5,"Troy Niklas","TE",NA,NA,1,NA,NA,NA,NA,NA,NA
"377",2543683,NA,36,NA,NA,5,"Austin Seferian-Jenkins","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"378",2543721,NA,8,NA,NA,5,"C.J. Fiedorowicz","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"379",2543794,NA,15,NA,NA,5,"Crockett Gillmore","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"380",2550206,NA,3,NA,NA,5,"Ryan Hewitt","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"381",2550243,NA,3,NA,NA,5,"Justin Perillo","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"382",2550284,NA,4,NA,NA,5,"Trey Burton","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
