"","playerId","dstInt","dstFumlRec","dstSack","dstTd","dstSafety","dstPtsAllow","analyst","player","position","games","dstBlk","returnYds","dstRetTd"
"101",100010,0.4,0.3,2.8,0,0,28.8,6,"Lions","DST",NA,163.2,NA,43.4
"102",100011,1.1,0.3,3.1,0.1,0,17.9,6,"Packers","DST",NA,125.2,NA,37.2
"103",100012,0.7,0.4,2.3,0,0,22.5,6,"Titans","DST",NA,137.7,NA,40.9
"104",100013,1.2,0.3,3.2,0,0.1,19.3,6,"Texans","DST",NA,137.3,NA,39.5
"105",100014,1.3,0.4,2.5,0,0,21.4,6,"Colts","DST",NA,125.4,NA,39.4
"106",100015,0.7,0.4,2,0,0,24.3,6,"Jaguars","DST",NA,149.3,NA,42.8
"107",100016,1.3,0.3,2.8,0,0,20.3,6,"Chiefs","DST",NA,128,NA,39.6
"108",100017,0.9,0.4,2.8,0,0.1,22.5,6,"Rams","DST",NA,146,NA,41.5
"109",100018,1,0.3,2.7,0,0,19.8,6,"Raiders","DST",NA,124.3,NA,42.1
"110",100019,1.4,0.4,2.2,0.1,0,18,6,"Dolphins","DST",NA,127.7,NA,37.1
"111",100020,0.6,0.4,3.1,0,0.1,21.2,6,"Vikings","DST",NA,160,NA,41.7
"112",100021,0.9,0.3,3.2,0,0.1,20.7,6,"Patriots","DST",NA,140,NA,41.9
"113",100022,0.8,0.3,2.1,0,0,29,6,"Saints","DST",NA,141.9,NA,42.7
"114",100023,1.1,0.4,1.4,0.1,0,25.5,6,"Giants","DST",NA,146.1,NA,43.1
"115",100024,0.9,0.3,2,0,0,22.6,6,"Jets","DST",NA,137.1,NA,42.1
"116",100025,1.1,0.3,2.6,0.1,0,26.8,6,"Eagles","DST",NA,146.4,NA,41.6
"117",100026,1,0.4,2.1,0,0,19.6,6,"Cardinals","DST",NA,135.1,NA,42.7
"118",100027,1.1,0.4,3,0,0,17.8,6,"Steelers","DST",NA,137.3,NA,40.4
"119",100028,0.8,0.3,2.2,0,0,26.4,6,"Chargers","DST",NA,132.1,NA,41.3
"120",100029,0.3,0.4,1.8,0,0,29.5,6,"49ers","DST",NA,145.9,NA,42.7
"121",100030,1,0.4,2.1,0.1,0,19.7,6,"Seahawks","DST",NA,136.9,NA,40.3
"122",100031,1.1,0.3,2.4,0.1,0,20.5,6,"Buccaneers","DST",NA,140.5,NA,41.8
"123",100032,0.9,0.3,2.3,0,0,25.5,6,"Redskins","DST",NA,133.6,NA,39.5
"124",100001,0.6,0.5,1.2,0,0,22.1,18,"Falcons","DST",NA,NA,NA,NA
"125",100002,0.4,0.5,1.9,0.1,0,25.5,18,"Ravens","DST",NA,NA,NA,NA
"126",100003,1.3,0.4,0.9,0,0,19,18,"Bills","DST",NA,NA,NA,NA
"127",100004,1.7,1.2,3.3,0.2,0,18.8,18,"Panthers","DST",NA,NA,NA,NA
"128",100005,0.6,0.6,2.9,0,0,19.4,18,"Bears","DST",NA,NA,NA,NA
"129",100006,1.5,0.5,2.2,0,0,20.7,18,"Bengals","DST",NA,NA,NA,NA
"130",100007,0.9,0.3,1.7,0.1,0,24.7,18,"Browns","DST",NA,NA,NA,NA
"131",100008,0.6,0.3,2.2,0,0.2,21.5,18,"Cowboys","DST",NA,NA,NA,NA
"132",100009,0.6,0.8,3,0.1,0,19.2,18,"Broncos","DST",NA,NA,NA,NA
"133",100010,0.9,0.2,3.3,0,0.2,16.3,18,"Lions","DST",NA,NA,NA,NA
"134",100011,1.2,0.6,3.6,0.1,0,19.2,18,"Packers","DST",NA,NA,NA,NA
"135",100012,0.3,0.5,1.9,0.1,0,29.6,18,"Titans","DST",NA,NA,NA,NA
"136",100013,0.8,0.9,2.5,0.1,0,17.6,18,"Texans","DST",NA,NA,NA,NA
"137",100014,0.7,0.6,2.7,0.2,0.1,30.6,18,"Colts","DST",NA,NA,NA,NA
"138",100015,1.1,0.7,2.3,0.2,0,24.5,18,"Jaguars","DST",NA,NA,NA,NA
"139",100016,1.7,0.4,2.3,0.3,0,12.1,18,"Chiefs","DST",NA,NA,NA,NA
"140",100018,0.6,0.7,1.8,0.1,0.2,30.3,18,"Raiders","DST",NA,NA,NA,NA
"141",100019,0.8,0.1,1.4,0.1,0,27.1,18,"Dolphins","DST",NA,NA,NA,NA
"142",100020,1.5,0.7,4.3,0.3,0,10.7,18,"Vikings","DST",NA,NA,NA,NA
"143",100021,0.4,0.8,2.8,0.2,0,19.4,18,"Patriots","DST",NA,NA,NA,NA
"144",100022,0.9,0.7,1.9,0.1,0,22.2,18,"Saints","DST",NA,NA,NA,NA
"145",100023,0.2,1.1,2.5,0.1,0,24.7,18,"Giants","DST",NA,NA,NA,NA
"146",100024,0.9,0.4,2.9,0,0,18.2,18,"Jets","DST",NA,NA,NA,NA
"147",100025,0.5,0.5,2.7,0.4,0.1,26.8,18,"Eagles","DST",NA,NA,NA,NA
"148",100026,1,1.3,2.5,0.2,0,18.4,18,"Cardinals","DST",NA,NA,NA,NA
"149",100027,0.9,0.9,2.6,0.1,0,21.8,18,"Steelers","DST",NA,NA,NA,NA
"150",100028,0.8,0.7,1.7,0,0,23.8,18,"Chargers","DST",NA,NA,NA,NA
"151",100029,0.3,0.3,1.8,0.1,0,21.6,18,"49ers","DST",NA,NA,NA,NA
"152",100030,0.8,0.6,2.3,0,0,14.6,18,"Seahawks","DST",NA,NA,NA,NA
"153",100031,0.6,0.5,2.3,0.1,0,21.4,18,"Buccaneers","DST",NA,NA,NA,NA
"154",100032,0.5,1.1,2.4,0.1,0.3,31.5,18,"Redskins","DST",NA,NA,NA,NA
