,player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
69,Marcus Mariota,QB,15.1526666667,3.79904022967,7.55458620732,22.750747126,14.589505409278615,16.512
3,Joe Flacco,QB,14.7108571429,1.74488580606,11.2210855307,18.200628755,14.620120982288816,15.748
20,Jay Cutler,QB,14.3891428571,1.54554407125,11.2980547146,17.4802309997,14.316710426610314,14.2
16,Blaine Gabbert,QB,14.1836666667,2.71797260227,8.74772146214,19.6196118712,13.937584065147488,14.738
45,Robert Griffin,QB,13.8973333333,3.39187727765,7.11357877802,20.6810878886,13.488468046661382,13.933
73,Carson Wentz,QB,13.723,4.03747658817,5.64804682367,21.7979531763,13.09374812972152,15.015
41,Ryan Tannehill,QB,13.4094285714,2.95840085503,7.49262686137,19.3262302815,13.0554800402379,13.984
72,Trevor Siemian,QB,10.7133333333,2.32893612335,6.05546108662,15.37120558,10.45131570950208,11.294
40,Case Keenum,QB,10.6013333333,3.04486654333,4.51160024668,16.69106642,10.122204826270963,11.485
22,Shaun Hill,QB,7.868,6.35286480259,-4.83772960518,20.5737296052,6.901901693056334,9.055
8,Sam Bradford,QB,7.562,6.30190553193,-5.04181106385,20.1658110639,9.4173425880218,7.505
12,Colin Kaepernick,QB,6.44,6.93384184033,-7.42768368065,20.3076836807,4.482105506999793,3.514
23,Josh McCown,QB,5.44666666667,4.12215493806,-2.79764320944,13.6909765428,4.578294881627094,3.128
52,Geno Smith,QB,5.1795,4.34214459302,-3.50478918603,13.863789186,2.994683985881841,4.963
77,Paxton Lynch,QB,4.146,4.31230472022,-4.47860944043,12.7706094404,2.7969105161667454,2.338
7,Brian Hoyer,QB,2.184,1.85403667709,-1.52407335418,5.89207335418,1.235679256118675,2.49
4,Mark Sanchez,QB,1.946,1.5582015274,-1.17040305481,5.06240305481,2.455674054966603,2.019
9,Colt McCoy,QB,1.794,1.42583589519,-1.05767179037,4.64567179037,1.0670720312599216,2.31
39,Nick Foles,QB,1.722,1.72303569319,-1.72407138638,5.16807138638,0.7615168229431956,1.57
50,Mike Glennon,QB,1.7,1.51477655118,-1.32955310236,4.72955310236,0.959715384377034,1.756
34,Matt Cassel,QB,1.502,1.43631333629,-1.37062667258,4.37462667258,0.9345150682007729,1.238
57,AJ McCarron,QB,1.416,1.08517832636,-0.754356652719,3.58635665272,0.8898153553744402,1.924
49,E.J. Manuel,QB,1.17333333333,1.50689260843,-1.84045188352,4.18711855019,0.6142889492940454,0.424
55,Matt McGloin,QB,1.056,0.996176691155,-0.936353382309,3.04835338231,0.5892761399467651,0.98
17,Ryan Mallett,QB,1.014,1.13469467259,-1.25538934518,3.28338934518,0.5479442286112265,0.642
51,Landry Jones,QB,0.989333333333,0.243099430961,0.503134471412,1.47553219525,0.970034912832728,0.938
19,Drew Stanton,QB,0.809,0.694637555372,-0.580275110744,2.19827511074,0.5091936865503186,0.77
25,Matt Schaub,QB,0.756666666667,1.09817363533,-1.43968060399,2.95301393733,0.2741659534210105,0.196
32,Dan Orlovsky,QB,0.614,0.718183820481,-0.822367640961,2.05036764096,0.35886531623737944,0.298
0,Chad Henne,QB,0.546666666667,0.515194461668,-0.483722256669,1.57705559,0.39885267894907994,0.346
61,Tom Savage,QB,0.531333333333,0.667953092165,-0.804572850997,1.86723951766,0.289086303810378,0.202
83,Trevone Boykin,QB,0.514,0.781160674893,-1.04832134979,2.07632134979,0.4689989339007074,0.156
6,Chase Daniel,QB,0.481333333333,0.697757359928,-0.914181386522,1.87684805319,0.471932198520084,0.174
53,Ryan Nassib,QB,0.472666666667,0.290284917509,-0.107903168352,1.05323650169,0.3870050677380568,0.58
80,Cody Kessler,QB,0.430666666667,0.745936547793,-1.06120642892,1.92253976225,1.292,0.0
15,Scott Tolzien,QB,0.388,0.481547505445,-0.575095010889,1.35109501089,0.22498545420369678,0.116
36,Kellen Clemens,QB,0.335333333333,0.274286954362,-0.213240575391,0.883907242058,0.2732850096341734,0.182
70,Sean Mannion,QB,0.233333333333,0.110586316212,0.0121607009094,0.454505965757,0.21781191869146033,0.184
27,Luke McCown,QB,0.1685,0.255991536318,-0.343483072637,0.680483072637,0.06522635089789526,0.066
37,Matt Moore,QB,0.116666666667,0.0587990929635,-0.000931519260385,0.234264852594,0.10736435026419122,0.1
33,Derek Anderson,QB,0.1155,0.149705265995,-0.18391053199,0.41491053199,0.10271394535405738,0.065
71,Brett Hundley,QB,0.08,0.0635295206971,-0.0470590413941,0.207059041394,0.05048069712879983,0.096
75,Jacoby Brissett,QB,0.0593333333333,0.102768347916,-0.146203362498,0.264870029165,0.178,0.0
60,Zach Mettenberger,QB,0.0493333333333,0.0854478398401,-0.121562346347,0.220229013013,0.14800000000000002,0.0
68,Bryce Petty,QB,0.00666666666667,0.0115470053838,-0.0164273441009,0.0297606774343,0.02,0.0
81,Christian Hackenberg,QB,0.00666666666667,0.0115470053838,-0.0164273441009,0.0297606774343,0.02,0.0
42,Brandon Weeden,QB,0.00466666666667,0.00808290376865,-0.0114991408706,0.020832474204,0.013999999999999993,0.0
46,Austin Davis,QB,0.00133333333333,0.00230940107676,-0.00328546882018,0.00595213548685,0.004000000000000002,0.0
66,Stephen Morris,QB,0.0,0.0,0.0,0.0,--,0.0
64,Keith Wenning,QB,0.0,0.0,0.0,0.0,--,0.0
63,Logan Thomas,QB,0.0,0.0,0.0,0.0,--,0.0
62,David Fales,QB,0.0,0.0,0.0,0.0,--,0.0
13,Christian Ponder,QB,0.0,0.0,0.0,0.0,--,0.0
11,Jerrod Johnson,QB,0.0,0.0,0.0,0.0,--,0.0
59,Aaron Murray,QB,0.0,0.0,0.0,0.0,--,0.0
76,Jeff Driskel,QB,0.0,0.0,0.0,0.0,--,0.0
1,Josh Johnson,QB,0.0,0.0,0.0,0.0,--,0.0
78,Connor Cook,QB,0.0,0.0,0.0,0.0,--,0.0
79,Jared Goff,QB,0.0,0.0,0.0,0.0,--,0.0
48,Matt Simms,QB,0.0,0.0,0.0,0.0,--,0.0
82,Cardale Jones,QB,0.0,0.0,0.0,0.0,--,0.0
54,Ryan Griffin,QB,0.0,0.0,0.0,0.0,--,0.0
