,player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
62,Jace Amaro,TE,0.6075,0.810118304118,-1.01273660824,2.22773660824,0.254672941438507,0.3
39,Cory Harkey,TE,0.6,0.871779788708,-1.14355957742,2.34355957742,0.5656854249492381,0.2
63,Troy Niklas,TE,0.505,0.407635458059,-0.310270916117,1.32027091612,0.6337410732364092,0.525
6,David Johnson,TE,0.4975,0.277893864632,-0.0582877292636,1.05328772926,0.42276440260574527,0.545
7,Brandon Myers,TE,0.466666666667,0.808290376865,-1.14991408706,2.0832474204,1.4,0.0
41,Phillip Supernaw,TE,0.31,0.62,-0.93,1.55,1.2400000000000002,0.0
5,John Phillips,TE,0.2775,0.187149672722,-0.0967993454443,0.651799345444,0.36887655332588665,0.36
54,MarQueis Gray,TE,0.26,0.314801524774,-0.369603049548,0.889603049548,0.3220248437620924,0.17
75,Nick OLeary,TE,0.2375,0.246627249103,-0.255754498206,0.730754498206,0.10487221590056167,0.225
70,Asante Cleveland,TE,0.235,0.332340187158,-0.429680374315,0.899680374315,0.47,0.235
93,Temarrick Hemingway,TE,0.19,0.212837966538,-0.235675933076,0.615675933076,0.2509980079602227,0.15
89,Jerell Adams,TE,0.186666666667,0.323316150746,-0.459965634826,0.833298968159,0.56,0.0
88,David Morgan,TE,0.183333333333,0.1960442127,-0.208755092068,0.575421758734,0.2497999199359359,0.16
42,Sean McGrath,TE,0.0733333333333,0.127017059222,-0.18070078511,0.327367451777,0.22,0.0
34,Logan Paulsen,TE,0.0166666666667,0.0288675134595,-0.0410683602523,0.0744016935856,0.05000000000000001,0.0
16,Tony Moeaki,TE,0.0,0.0,0.0,0.0,--,0.0
85,Mitchell Henry,TE,0.0,0.0,0.0,0.0,--,0.0
72,Jerome Cunningham,TE,0.0,0.0,0.0,0.0,--,0.0
87,Brian Parker,TE,0.0,0.0,0.0,0.0,--,0.0
68,Nic Jacobs,TE,0.0,0.0,0.0,0.0,--,0.0
35,Rob Housler,TE,0.0,0.0,0.0,0.0,--,0.0
69,Marcel Jensen,TE,0.0,0.0,0.0,0.0,--,0.0
3,Chase Coffman,TE,0.0,0.0,0.0,0.0,--,0.0
56,Ifeanyi Momah,TE,0.0,0.0,0.0,0.0,--,0.0
94,Stephen Anderson,TE,0.0,0.0,0.0,0.0,--,0.0
83,Geoff Swaim,TE,0.0,0.0,0.0,0.0,--,0.0
