,player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median
13,Jeremy Maclin,WR,13.685,1.49029079936,10.7044184013,16.6655815987,13.623086700677362,13.76
10,Michael Crabtree,WR,13.65,0.923616081858,11.8027678363,15.4972321637,13.625452919042056,14.06
117,John Brown,WR,12.9275,0.783469846261,11.3605603075,14.4944396925,12.909090844672912,13.195
6,Pierre Garcon,WR,12.78,3.39865414539,5.98269170921,19.5773082908,12.466094740919196,11.81
164,Corey Coleman,WR,12.7725,1.20640996349,10.359680073,15.185319927,12.729284858937783,12.83
52,Doug Baldwin,WR,12.754,3.76845857082,5.21708285836,20.2909171416,12.13029509293965,14.14
57,Marvin Jones,WR,12.4325,1.1204872452,10.1915255096,14.6734744904,12.395660490349453,12.215
4,DeSean Jackson,WR,12.1,1.24153131253,9.61693737493,14.5830626251,12.052648408702192,11.935
20,Emmanuel Sanders,WR,12.065,0.868504461704,10.3279910766,13.8020089234,12.041480065402997,12.1
15,Julian Edelman,WR,12.006,4.25116807478,3.50366385045,20.5083361496,11.070952504454251,13.99
143,Stefon Diggs,WR,11.9275,0.936709666866,10.0540806663,13.8009193337,11.899316686522493,12.085
119,Willie Snead,WR,11.765,1.43230583326,8.90038833347,14.6296116665,11.697714691189192,11.955
31,Torrey Smith,WR,11.52,0.871818023825,9.77636395235,13.2636360477,11.495321968664886,11.455
55,Michael Floyd,WR,11.492,1.43915600266,8.61368799467,14.3703120053,11.416891665820055,12.2
134,Tyler Lockett,WR,11.415,1.78776396652,7.83947206695,14.990527933,11.305040108426507,11.69
79,Tavon Austin,WR,11.4075,1.59809000581,8.21131998838,14.6036800116,11.31898102204572,11.66
38,Vincent Jackson,WR,11.332,3.20467939114,4.92264121772,17.7413587823,10.955656978586491,11.35
161,Sterling Shepard,WR,11.1825,1.18370534059,8.81508931883,13.5499106812,11.135213681545475,11.225
34,Steve Smith,WR,11.1175,1.02180803807,9.07388392386,13.1611160761,11.083313990108117,10.875
98,Kelvin Benjamin,WR,11.0925,0.847599551675,9.39730089665,12.7876991034,11.068541598928945,10.995
123,Allen Hurns,WR,10.9925,1.37390865781,8.24468268438,13.7403173156,10.929315605222566,10.78
60,Rishard Matthews,WR,10.3625,2.20790058653,5.94669882694,14.7783011731,10.185831045575164,10.245
54,Travis Benjamin,WR,10.1075,0.521368391831,9.06476321634,11.1502367837,10.097362645273584,10.15
78,Markus Wheaton,WR,10.044,1.62996318977,6.78407362046,13.3039263795,9.934546902959116,10.19
65,Mohamed Sanu,WR,10.015,1.67061864789,6.67376270423,13.3562372958,9.896449804268684,10.825
50,Kamar Aiken,WR,9.8225,0.980964661273,7.86057067745,11.7844293225,9.785555607758589,9.875
131,Phillip Dorsett,WR,9.5075,1.10942552702,7.28864894596,11.726351054,9.457855068312568,9.6
9,Kenny Britt,WR,9.395,0.996443676281,7.40211264744,11.3878873526,9.357014540824917,9.15
53,Terrelle Pryor,WR,9.1425,1.50944526234,6.12360947532,12.1613905247,9.048727469486316,9.1
178,Michael Thomas,WR,8.9625,2.01140705312,4.93968589376,12.9853141062,8.790767181737193,9.06
165,Will Fuller,WR,8.925,1.64662280643,5.63175438713,12.2182456129,8.797083264470167,9.505
43,Victor Cruz,WR,8.704,5.91672460066,-3.12944920131,20.5374492013,7.4990702494158725,7.01
87,Kenny Stills,WR,8.685,2.39040442882,3.90419114236,13.4658088576,8.380842219410487,9.675
36,Anquan Boldin,WR,8.5325,1.13167648498,6.26914703003,10.79585297,8.474462655621494,8.695
136,Devin Funchess,WR,8.3675,1.49834074896,5.37081850208,11.3641814979,8.25955283214904,8.595
58,Jermaine Kearse,WR,8.25,1.27140342404,5.70719315192,10.7928068481,8.176202882970736,8.24
75,Terrance Williams,WR,8.234,1.9207238219,4.39255235621,12.0754476438,8.01629570548835,8.62
7,Danny Amendola,WR,8.222,7.22674338828,-6.23148677655,22.6754867766,5.829375929544549,6.28
162,Tajae Sharpe,WR,8.1675,0.623985843857,6.91952831229,9.41547168771,8.149143875541377,8.285
86,Robert Woods,WR,8.064,0.922024945433,6.21995010913,9.90804989087,8.02298386092738,7.81
170,Tyler Boyd,WR,7.9975,0.779374749399,6.4387505012,9.5562494988,7.968246601864847,8.1
42,Mike Wallace,WR,7.985,1.07463171986,5.83573656028,10.1342634397,7.93423072598172,7.635
158,Laquon Treadwell,WR,7.9,2.90122962437,2.09754075126,13.7024592487,7.442820758408494,8.445
76,Quinton Patton,WR,7.632,0.791751223554,6.04849755289,9.21550244711,7.598678772088331,7.73
48,Chris Hogan,WR,7.415,1.59320431835,4.22859136331,10.6014086367,7.284161115520649,7.465
128,Jamison Crowder,WR,7.31,1.4487465847,4.41250683061,10.2074931694,7.1928326794019535,7.68
19,Brandon LaFell,WR,7.24,1.8333575756,3.57328484881,10.9067151512,7.084219036635616,6.66
126,Seth Roberts,WR,7.21,1.10661646472,4.99676707055,9.42323292945,7.148913605118592,6.93
40,Ted Ginn,WR,6.802,2.93133416724,0.93933166553,12.6646683345,6.206242822455667,6.82
153,Eli Rogers,WR,6.79,2.61983460038,1.55033079925,12.0296692008,6.318434170945328,7.27
144,Chris Conley,WR,6.7375,1.81281319133,3.11187361734,10.3631263827,6.57853499670546,6.0
