ï»¿Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted
54,466407375,jayjay1174 (5/5),0,219.78,QB Dak Prescott RB Lamar Miller RB Spencer Ware WR Michael Crabtree WR Antonio Brown WR Willie Snead TE Dwayne Allen FLEX DeAngelo Williams DST Eagles ,,Gary Barnidge,5.58%
55,462855675,sirlobo15,0,219.66,QB Derek Carr RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Willie Snead WR Donte Moncrief TE Dwayne Allen FLEX Terrance West DST Texans ,,Mark Ingram,5.48%
56,467407653,PetrGibbons (2/50),0,219.2,QB Andrew Luck RB Lamar Miller RB David Johnson WR Marvin Jones Jr. WR Willie Snead WR Will Fuller TE Dwayne Allen FLEX DeAngelo Williams DST Seahawks ,,Travis Benjamin,5.24%
57,464401567,JBuck1642 (2/3),0,219.06,QB Derek Carr RB DeAngelo Williams RB Spencer Ware WR Brandin Cooks WR Amari Cooper WR Corey Coleman TE Jason Witten FLEX Brandon LaFell DST Vikings ,,Matthew Stafford,5.17%
58,466332345,cmonster4 (2/3),0,218.66,QB Derek Carr RB DeAngelo Williams RB Spencer Ware WR Willie Snead WR Donte Moncrief WR Amari Cooper TE Dwayne Allen FLEX Lamar Miller DST Packers ,,Eddie Lacy,5.15%
59,466018230,Staib91 (19/34),0,218.6,QB Andrew Luck RB DeAngelo Williams RB Spencer Ware WR Michael Crabtree WR Marvin Jones Jr. WR Donte Moncrief TE Greg Olsen FLEX Willie Snead DST Panthers ,,Demaryius Thomas,5.10%
60,465667611,daneydaney (11/50),0,218.52,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Marvin Jones Jr. WR Brandin Cooks WR Amari Cooper TE Delanie Walker FLEX Dwayne Allen DST Eagles ,,Drew Brees,5.06%
61,466357585,Beanman14 (1/6),0,218.3,QB Ben Roethlisberger RB DeAngelo Williams RB Spencer Ware WR Emmanuel Sanders WR Jordan Matthews WR Willie Snead TE Greg Olsen FLEX DeMarco Murray DST Texans ,,Allen Hurns,4.96%
62,463504404,kissnation2003 (1/6),0,217.9,QB Andrew Luck RB DeAngelo Williams RB Latavius Murray WR Michael Crabtree WR Marvin Jones Jr. WR Brandin Cooks TE Dwayne Allen FLEX Willie Snead DST Texans ,,Aaron Rodgers,4.82%
63,464316940,Gamechangers77 (7/12),0,217.82,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Willie Snead WR Brandin Cooks WR Amari Cooper TE Coby Fleener FLEX Clive Walford DST Packers ,,Steve Smith Sr.,4.80%
64,466142459,Eli73 (1/8),0,217.8,QB Matthew Stafford RB DeAngelo Williams RB Spencer Ware WR Marvin Jones Jr. WR Willie Snead WR Amari Cooper TE Greg Olsen FLEX LeSean McCoy DST Eagles ,,Mike Evans,4.80%
64,466142465,Eli73 (2/8),0,217.8,QB Matthew Stafford RB DeAngelo Williams RB Spencer Ware WR Marvin Jones Jr. WR Willie Snead WR Amari Cooper TE Greg Olsen FLEX LeSean McCoy DST Eagles ,,James White,4.78%
64,466152210,Eli73 (3/8),0,217.8,QB Matthew Stafford RB DeAngelo Williams RB Spencer Ware WR Marvin Jones Jr. WR Willie Snead WR Amari Cooper TE Greg Olsen FLEX LeSean McCoy DST Eagles ,,David Johnson,4.76%
64,466168845,Eli73 (4/8),0,217.8,QB Matthew Stafford RB DeAngelo Williams RB Spencer Ware WR Marvin Jones Jr. WR Willie Snead WR Amari Cooper TE Greg Olsen FLEX LeSean McCoy DST Eagles ,,LeSean McCoy,4.64%
68,466956921,mikegaddis6891 (6/12),0,217.74,QB Andy Dalton RB DeAngelo Williams RB Spencer Ware WR A.J. Green WR Sammy Watkins WR Will Fuller TE Delanie Walker FLEX Willie Snead DST Texans ,,Stefon Diggs,4.62%
69,466514601,wildcatfam (3/5),0,217.6,QB Ben Roethlisberger RB DeAngelo Williams RB Latavius Murray WR Willie Snead WR Donte Moncrief WR Amari Cooper TE Dwayne Allen FLEX Spencer Ware DST Panthers ,,Jarvis Landry,4.57%
70,463292029,TatumRose (2/7),0,217.46,QB Matt Ryan RB DeAngelo Williams RB Spencer Ware WR Michael Crabtree WR Mohamed Sanu WR Brandin Cooks TE Dwayne Allen FLEX Lamar Miller DST Bengals ,,T.J. Yeldon,4.54%
71,466265240,49ers_FTW (1/2),0,217.44,QB Jameis Winston RB DeAngelo Williams RB Ameer Abdullah WR A.J. Green WR Willie Snead WR Sammy Watkins TE Jason Witten FLEX Jermaine Kearse DST Vikings ,,Vikings ,4.45%
72,467238943,MikeD_Yall (4/6),0,217.32,QB Drew Brees RB Ryan Mathews RB Spencer Ware WR Victor Cruz WR Brandin Cooks WR Amari Cooper TE Coby Fleener FLEX Willie Snead DST Vikings ,,Russell Wilson,4.39%
73,466813671,bigdaddyjoneshoo (3/3),0,217.3,QB Ben Roethlisberger RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Willie Snead WR Sterling Shepard TE Julius Thomas FLEX Antonio Gates DST Eagles ,,Julian Edelman,4.38%
74,461062123,FriscoCowboy (2/5),0,217.2,QB Ben Roethlisberger RB DeAngelo Williams RB Spencer Ware WR Michael Crabtree WR Antonio Brown WR Willie Snead TE Jesse James FLEX Terrelle Pryor DST Seahawks ,,Pierre Garcon,4.37%
74,465954773,macjd (4/9),0,217.2,QB Matthew Stafford RB Theo Riddick RB Spencer Ware WR Antonio Brown WR Odell Beckham Jr. WR Willie Snead TE Eric Ebron FLEX Eddie Royal DST Eagles ,,Dwayne Allen,4.37%
76,465492212,Willisd12 (2/4),0,217,QB Ben Roethlisberger RB DeAngelo Williams RB Spencer Ware WR Michael Crabtree WR Antonio Brown WR Willie Snead TE Jesse James FLEX Jason Witten DST Steelers ,,Brock Osweiler,4.35%
77,462919842,FriscoCowboy (4/5),0,216.9,QB Ben Roethlisberger RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Willie Snead WR Sammie Coates TE Austin Seferian-Jenkins FLEX Michael Crabtree DST Seahawks ,,Zach Ertz,4.32%
77,466015657,SteelersChick287,0,216.9,QB Ben Roethlisberger RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Jermaine Kearse WR Jamison Crowder TE Greg Olsen FLEX DeMarco Murray DST Vikings ,,Eric Decker,4.05%
79,464559614,steelerfanmike,0,216.86,QB Derek Carr RB Latavius Murray RB Spencer Ware WR Doug Baldwin WR Antonio Brown WR Willie Snead TE Jared Cook FLEX DeMarco Murray DST Vikings ,,Julius Thomas,4.04%
80,464068576,edgarprier (3/3),0,216.82,QB Drew Brees RB DeAngelo Williams RB Matt Forte WR Anquan Boldin WR Doug Baldwin WR Amari Cooper TE Kyle Rudolph FLEX Spencer Ware DST Vikings ,,Brandin Cooks,4.01%
